Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,3711.98928625519,1.55853183520329,0.0524068905824654,0.0,4397.87055031981,890.47016159304,189.004489183754,6928.76114301257,472.01787098524,192.151058846061,263.931633020773,0.0100031894330493,2.09996005043228,133.214687081221,34.0908650831549,0.0,0.248371281624814,18.712389259882,1.19850571498636,0.0,0.743262044257514,0.0,0.000898930831329386,0.158438999682863,0.00371958015500754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588211872025852,0.0,3.68720706547913,0.00582277115751166,0.0,0.0,0.00447679561311963,145.500593433531,17388.0745450957,5409.57238270712,1109.72567223865,906.869815796413,-685.658704631813,24128.5837112061
Caza y pesca,0.0506137786021807,30.69869821671,0.0,0.0,4.54514764331384,0.0,0.0,105.687517732221,0.0,0.0,0.0,3.88101469446162,9.33723210152146,0.0,0.0,0.0,0.0,0.575264861796564,0.0,0.0,0.687848388504386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.263789219609645,155.727126636741,573.392840185978,53.3226089592101,0.0,2.95767655810369,785.400252340033
Minería (energía),0.131934589966267,0.00152569546104264,385.87163428701,0.0,0.0,0.0,0.0,0.34602694235759,0.0,0.0,0.0,0.0,0.0,0.0,0.153237834438664,5880.4195255154,33.0020093140243,10.8942415754398,0.0,0.0,0.665620785382444,18.1300398901428,0.0,0.525385369881111,0.0159153220771834,0.0,0.0,0.0283574151803201,0.0,0.0,0.0377045419812495,0.0,0.0,1102.8518708562,0.0503082501587271,4.06207547141309,0.0,0.0,9.5058139648529e-05,0.667496948220669,7437.85500566288,1245.17474915152,258.111767091348,312.236116573895,1746.38266685744,10999.7603053371
Minería (no energía),0.215385767746086,0.00174511386124782,53.5195401343942,20.4034768917135,0.0562365665477427,0.200726826774124,0.27837412389612,0.350667987460555,1.81123236804526,0.0,0.632941667938624,0.0,0.0,0.0413610237318046,0.99191805109285,0.0,16.2423138048065,9.44814883653447,0.0897208283787871,1.942508078221,61.4275126169363,3.39900061953894,0.552146690801268,7.63998641081652,0.408991625532818,0.0,0.0100657205032131,0.0,0.035672927439344,1.00098101205586,0.037858889165665,0.0,0.0,0.0,374.223585021478,0.0,0.0,0.0,0.0,1.61931876920318,556.581418374614,1255.32503340081,33.8355453514474,69.1928673716072,8.89814453959252,1923.83300903808
Carne y derivados,4.34901925381907,0.0,0.0,0.0,344.558171987516,58.124301751749,1.52993206260562,18.5773746988064,0.0,0.0,0.0,13.2887515448006,381.090782018703,0.0,0.0,0.0,0.0491053589442331,17.1522038569405,0.0,0.0,0.0076108462212019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.13222653992,1067.85947992003,1490.04432285484,3478.73507650283,0.0,-14.1428028923119,6022.49607638538
"Molinería, panadería y pastas",6.46157800866883,0.0,0.0,0.0,0.112684107510189,876.440419360493,1.6790958206896,76.5670279025487,64.4093041294561,0.0,0.0,0.0,0.0,0.0,11.0052500215721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00397217262234872,608.609002503355,1645.28833402692,420.039948450211,3342.08341907722,0.0,-89.4335997584158,5317.97810179593
Azúcar y productos de confitería,0.0,0.0,0.0,0.0,0.0,132.382530823396,117.260817703901,82.1897456220779,110.883371509405,0.227580828453963,0.0,0.0,0.0,0.0,73.1766239470364,0.0,8.07197487648045,10.6428994561547,13.0978304295925,0.0,0.000891512113078243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5999767925447,614.534243501156,241.52401472588,505.566138846049,0.0,-1.30792555050743,1360.31647152258
Otros productos alimenticios,346.783382175751,2.04443410066333,0.0,0.0,22.1250268842663,266.291592108912,25.6527485034227,756.656759075881,119.130932839281,0.0,11.1591922067502,0.0,0.0,0.0,0.0,0.0,9.41603561121286,23.4538602149884,1.23806305752431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0278533272056458,0.0,0.0,0.0,0.0,595.251976724104,2179.23185682996,10301.2033157808,4713.10595199624,0.0,-425.318460038081,16768.2226645689
Bebidas,0.0,0.0,0.0,0.0,0.025933150010107,0.878855441899991,2.40028446066586,18.5531933657269,659.270187500711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44819461748457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.76927651092,1532.34592504742,398.673196935006,3079.00376837619,0.0,-163.055754377907,4846.96713598071
Productos de tabaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.933245190347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.1543285269359,210.087573717283,287.619668010325,843.014377134718,0.0,-58.4451279461584,1282.27649091617
