Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,186.5866144615683,0.018631040609260963,0.8210485922820361,12.687585000176556,272.2541512249139,152.73481698418493,13.468159958399465,250.31048666549222,12.873641997304112,2.3163108927773326,4.7940187422451945,3.9900005100263196,2.5533925776671276,48.46656646122659,1.090241797762035,0.000769396696071345,0.5195088472619241,1.1627028317474646,0.9996975341467377,2.138943900488654,0.0011892159419356135,0.13376948598450394,1.0979663225778105,0.000439326311854227,8.736578902733224e-05,0.0,5.781678052239157e-05,0.0,2.9948660085577498e-05,0.00013202436464694953,0,4.270930645347719e-06,0.0016974550946894586,0.006972950206743793,15.395509136184733,0.009148355083437504,0.0016262158785205468,0.008721284425420285,0.005278250870603883,60.71977871980249,1047.1696975618643,147.75369752328365,502.81762628583994,-9.363488837765512,-18.626647361711093,1669.750885171511
Caza y pesca,0.0,0.006407850934199935,0.0,0.0,0.0,0.0,0.0,0.0031990398781706927,0.0,0.0,0.0,0.0,0.3787496324433664,0.0,0.0,0.0,0.013275007485534637,0.02971054078530066,0.025545267071029384,0.05465642489012269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9073874903417384,1.418931253829463,0.009655050933361053,0.1779101336857319,0.060639714495126965,-4.012906404748939e-05,1.6670960238796353
Minería (energía),0.0011038091892387049,0.0,165.29665032038346,0.07894749284466383,0.02438256371454074,0.027203356450298404,29.180606263081046,17.763259355683076,7.8321586552863804,0.0006326381970732433,1.1770408423208443,0.9796360451821062,0.7308240740112443,0.009097114169970192,0.01110474441021562,217.193598537232,0.11070436971581363,0.24776533611274387,0.21302983771587244,0.45579673495280487,53.79018468782745,0.0039312876567516785,0.03226760886245163,0.004137754043703371,0.0008228465654684677,0.0,0.0005445419747128999,0.0,0.00028206867203008334,0.001243459210033718,0,4.022536340602324e-05,0.0021679833681994567,44.99533384218261,0.008876933578908938,0.010777107734633981,0.02429699444944221,0.028368902547029118,0.10674697127927725,5.793290993456893,546.1368562994264,1029.4499253240642,1.6622853994585693,35.67753402307922,-133.1304685026621,1479.7961325433664
Minería (no energía),0.49016664996201365,0.0,0.16388178522159758,0.11680483985139864,0.03597858698694211,0.04014091126111463,0.039806982488113075,0.13680830374574568,0.07377007517423906,0.0009335125162038615,0.02366503724614195,0.019696107954237294,0.014693609864677012,0.013423580773798089,0.01638601327605418,0.10919167791748745,0.07156925665068294,0.16017778679302389,0.13772163798844814,0.2946679845440719,18.523442588326528,11.568026953373943,94.94918755199757,0.006105614878519643,0.0012141814568481456,0.0,0.0008035189012370152,0.0,0.0004162167839173323,0.0018348318854687377,0,5.935601167000679e-05,2.9091377784033035,0.03218415985122376,43.251781631841716,0.017238653218389355,0.035852322116528966,0.0488477551115583,0.16217837470521276,0.6630990056684378,174.13089483474806,343.0590261014278,2.4528462446251176,-20.333344374237935,-1.9508567442996423,497.35856606226344
Carne y derivados,0.19089313281251,3.095721603548944e-06,6.579722980003872e-05,4.706763558499995e-05,5.665561733959476,1.4970682273926905,0.0036151145685627056,3.017651721716342,5.155333209964634e-05,3.77172004379965e-07,4.485671778406094,3.733367274085552,2.785151377846926,5.423600410842402e-06,6.620527699251974e-06,4.36773871308896e-05,0.0008223050443085554,0.0018403852188791316,0.0015823721375378718,0.003385629269135544,1.2067611317725707e-05,2.343790893675014e-06,1.9237597045994643e-05,2.46688390538996e-06,4.905721624629961e-07,0.0,3.246499958770435e-07,0.0,1.6816627085522696e-07,7.413368411563796e-07,0,2.39819236539171e-08,1.2925280772313971e-06,9.422197692215104e-06,5.29233113996952e-06,6.425194280863379e-06,1.4485603523942813e-05,1.6913230793246085e-05,6.364138192280894e-05,62.57568350340209,83.96267350552422,2.5761028764665355,428.7840591563458,0.04840586608668558,1.0235992070117845,516.394840611435
"Molinería, panadería y pastas",1.9343058109737683,2.4238206107404944e-06,0.00017925923376167638,0.0011163623684937488,0.000653505768494232,79.69724322294685,0.0591095366405725,13.114361511390815,0.9343578387821515,5.301520092231476e-05,5.261670849706183e-05,4.3792213803665734e-05,3.2669688155479346e-05,9.554310087067632e-05,0.00011071182121584049,7.341918213080009e-05,0.00018970234697980845,0.00042456920066918214,0.00036504665800609314,0.0007810505636610795,0.00016139252910015567,2.165295240970502e-06,1.7772522900319875e-05,5.452551647347083e-05,1.0843112830465336e-05,0.0,7.175736425872755e-06,0.0,3.7169778244385477e-06,1.638576264434027e-05,0,5.300722787967885e-07,0.00011502460482944337,9.27985431966161e-05,0.001215112439421789,0.0027618389043604094,3.264752463250257e-05,3.2049301547975653e-06,0.00017325621126364218,36.52360404782671,132.27182404712073,44.481223530828885,325.34870120262735,17.37417256976456,31.811658806085575,551.2875801564271
Azúcar y productos de confitería,0.044106004634339425,4.3092718471754e-05,0.10988054327319167,0.09880156978976842,0.024163276004711076,2.124413649302294,3.6166699794175123,10.975924266300469,9.170886713147958,0.0037131469737877194,0.017966244153442477,0.01495307531941778,0.011155232065702984,0.010708369822147927,0.012950640504999436,0.07200902078900075,0.0067840261396051454,0.015183199371368689,0.013054588461957341,0.027931480683230953,0.02277984889274574,0.0038278330578491774,0.03141846404684023,0.005096881254429648,0.0010135815687716376,0.0,0.0006707662547965722,0.0,0.00034745190548959057,0.00153169179978526,0,4.95495620404928e-05,0.004437837492880596,0.017107182437764705,0.03338252985164698,0.06682925426683851,0.024051416192528145,0.04307426480587649,0.10627765548590293,9.482788798093393,36.21598312584296,22.65713893506319,98.63359859711657,0.33299207466170927,-6.530562382575738,151.30915035010872
Otros productos alimenticios,47.51297098832576,0.0007278428640781975,0.0023197625763837367,0.014446651309231237,1.3752699350514697,5.751144864950025,0.8962953186133288,4.395054857650451,0.0073079529441344255,5.8752270744708455e-05,0.0006809036762159284,0.0005667074246998014,0.000422772754155387,0.0012364066563294387,0.0014327024289373046,0.0009501048705929653,0.20471774409980273,0.45817487426501186,0.39394097916001974,0.8428725947054015,0.0020885526578352763,2.802070923444411e-05,0.00022999112875210297,0.0007056052283550137,0.00014031883785167287,0.0,9.285995744500326e-05,0.0,4.810076375671846e-05,0.00021204530539488165,0,6.859573196469376e-06,0.0014885134118191022,0.001200889812664489,0.015724558807478518,0.03574047706158192,0.00042248593985810546,4.147444389340338e-05,0.0022420785059796234,35.28152495341023,97.20253050215211,823.2489825484599,230.290681765345,12.3093328745785,-517.6979254919183,645.3536021986172
Bebidas,0.1727435941253676,5.8042742823224216e-06,0.03742336039071823,0.02831701787341344,0.013088766725882519,0.14753414359393022,0.012376711098181965,0.06721511293829195,3.0172046541514477,0.002343099200592967,0.07587583680760568,0.06315048894014866,0.04711126936377908,0.0032270128697541147,0.003914174357994224,0.024775907908800493,0.009174233806887967,0.020532677513774765,0.0176540957151544,0.037772545253702446,0.007069191382605875,0.0013266641685522756,0.010889124434625015,0.0014791517759894215,0.00029414869656924753,0.0,0.00019466121487406483,0.0,0.0001008330540620663,0.0004445080300726621,0,1.4379641006546154e-05,0.0009137069285729082,0.005467017945234008,0.004920446042724777,0.008290163385777745,0.008241302612158857,0.7690931994699031,0.036195313580554306,146.6436993250766,151.3000736443496,29.40749015690791,146.33577080298593,13.479199441341512,-1.4113655128912228,339.11116853269374
Productos de tabaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3036323039181665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3036323039181665,0.492022440581934,25.390226744938307,3.4992315610602933,-1.7805518482185647,31.904561202280135
