Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,980.2047939690336,0.014396697300670148,1.7662302310869913,0.0,2994.1029384732587,882.1023464516949,510.7036343321038,2674.209220735001,55.574010088469784,56.90231925949914,99.55504827602056,13.24692642023036,1.3393137341770776,109.77172980708403,15.804394953898207,0.0,9.954649131538144,4.827125069604773,1.634000641444645,2.1172861111569863,0.4087221477454604,0.0,0.0,0.30738960234196105,0.013290241326249624,0.0,0.013162751789895588,0.0,0.0,0.000721316254499419,0.0,0.000721316254499419,6.884088864698901,2.410703472946745,123.8526770188967,0.6663112576552099,0.6129320539765438,0.9221820677988243,3.3735116161010543,780.1799866013632,9333.476764711753,1814.7313910748614,4183.175923109448,1078.54689933133,-130.28947484619493,16279.641503381197
Caza y pesca,0.16029109651254886,32.33124878166469,0.4165705435351578,0.0,0.0,0.0,0.0,168.84091739733276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472148987670519,0.5678167201487205,0.15124856768860584,0.08762142317073784,0.0,0.0,62.837178331833826,265.9401077606541,10.985282475567658,158.97417854365577,29.646142434832434,-0.6455054209775426,464.9002057937324
Minería (energía),2.906489561485454,0.062323707042326336,764.0363547694766,16.792535985679383,3.474677574660062,5.605185671644358,6.139645490454001,8.08379320288451,6.59245795477637,0.06951359214865736,9.534221784057907,7.800887799701151,1.0609967350696032,1.447281155241085,16.732489977948926,1873.9666789891999,11.524976893798307,0.03131318209345422,0.0015550844071963148,1.2948723173107344,45.85969985617644,20.755789467637552,0.0,0.0,0.525870685204559,0.0,0.5056765098059208,0.0,0.0,1.4328813818546817,0.0,0.0,0.8408139004034656,359.16206532014917,6.219125061841243,7.752848887647477,1.5748783201297645,1.9529577167459264,2.2939981287863174,17.263552354849896,3203.2984090203126,6468.697771831345,56.327566635703256,101.74215009298894,79.83191112060013,9909.89780870095
Minería (no energía),2.3772528716236834,0.39335477306687283,21.476660232544617,10.590320813338895,0.0,1.8174278609787322,0.0,1.5651558471119331,0.280869323081629,0.0,0.35203854728907374,0.0,0.0,0.0,0.6973497984819187,0.0,12.294151127113436,12.335609321633187,0.0,0.28443386020755684,142.56890313991954,533.8669672794256,1.7929384883068797,77.02889344299724,2.3665691088901317,0.09026244780462851,0.24759559221038363,0.08308138967409782,0.0,16.417039750236132,0.0,0.40505636810843926,3.2529641762387453,0.0,324.81689030709873,0.0,0.0,0.0,0.0,0.0,1167.4017858673822,658.0073273493568,0.0,8.684017110906382,217.85853724220442,2051.9516675698496
Carne y derivados,0.04115768242358792,0.05776343579532684,0.08560153775564937,0.2598296721642245,180.12612533692305,27.739675876100254,0.5835002251057135,19.48026430303619,0.7858784601476723,0.029553566902351513,0.26122969183853567,6.668130236759511,135.09987909058728,7.484612859101056,1.0851661868959035,0.08538852097288752,0.011052338465744651,6.073703636215185,0.0222253411858283,0.5247898503531683,0.5895076869831455,0.0,0.0,3.4617746401001193,1.2066767216278842,0.0,0.5762957178215511,0.0,0.0,0.8041073312658552,0.0,0.0,0.6624761628487255,0.4780525878540568,6.667479692018046,0.9998711720360531,0.9467014179146811,1.3810086890087379,1.3312583186793223,703.6834094637294,1109.2941474506167,38.513998291591804,2992.802325455946,-27.79305784654163,-7.199070110658795,4105.618343240954
"Molinería, panadería y pastas",4.346215186701315,0.0,0.2734616864331264,0.4881932749757841,6.6166243262086955,250.21248112938983,24.823507794689228,55.42269670063745,25.804938797813424,0.10517592927013332,6.499580078395667,4.272855410327865,1.0193997152251164,1.033400058448501,7.170599298187163,0.28224294614911205,1.675159132649025,9.912524905069905,0.31154274402790216,2.304579243314504,1.706926434591169,0.0,0.0,2.3918953498975664,0.8648725226703337,0.0,0.7897800311485978,0.0,0.0,1.8954179864850407,0.0,0.0,1.3832877669585013,1.5595916517733088,9.099939427534988,3.4023141614112067,3.094819312993159,4.490609537445446,0.0,505.2612346622554,938.5158672030784,95.83599412574,2537.0719498270637,16.154683189022954,24.794920919766355,3612.373415264671
Azúcar y productos de confitería,7.368094600406841,0.19449719569261784,0.34606183334422297,0.9876733504274855,1.4295681174185872,35.88914844279604,47.275026826713116,48.27653769148295,115.18412011669594,0.7599014762195739,1.235213000267828,3.6326471570261347,0.5692931680595457,0.4646782323852079,9.987910178871081,0.43127979958052076,12.03787053171621,4.691453345271954,2.965852159988052,2.2722750612309053,3.5948764130140543,0.0,0.0,1.2466525753601512,1.1627283099694905,0.0,1.0826437965963427,0.0,0.0,1.450139541129004,0.0,0.0,1.0738827210003166,13.946093892418858,7.737404537585473,3.4502180875851485,4.845010130834162,7.59285492206028,12.070256764121522,161.1440760390585,516.3959400163282,532.5562300936374,745.3309806830682,18.191854540267638,-49.60218306436013,1762.8728222689415
Otros productos alimenticios,1007.1260393371336,25.365665091525038,0.4674746528094413,0.700082685241897,24.061555180647147,364.18728549137717,21.26197744778229,1032.694907028641,43.39864710245506,0.17414958651634727,1.672135620627582,3.9053707638299997,1.1257708632068122,0.6261467114819702,4.6728981624624195,0.46017635937642487,11.280414176880084,54.59840239355779,38.52803996780504,6.945109556473531,2.384976293891126,0.0,0.0,2.8354499550865637,1.264200644944025,0.0,1.0906429292033557,0.0,0.0,2.130153761204125,0.0,0.0,4.390528911543866,1.772429112523417,10.760884903125557,3.399507159941379,3.9351630892689555,5.765666460110333,11.765397181978042,608.048991141008,3302.7962397236597,1826.3935023645245,3126.562461700337,-20.324940360399594,441.60161708862506,8677.028880516746
Bebidas,8.139860892567489,0.1570853068079574,0.33913245478678145,0.6299000444467102,4.081674269519389,0.8836855716122785,2.6691691682002743,9.586771321900155,89.61918388659555,0.18062396288017557,0.8700290418682262,3.0399394404597184,0.7392883155414852,1.1371645468912792,4.714749127401217,0.827970471300278,3.0153712364246656,9.829064849867349,1.591102492231826,2.5525286070946716,1.8694357852742807,0.0,0.0,0.0,1.2268637927332842,0.0,1.197138843911625,0.0,0.0,0.0,0.0,0.0,1.5968140038013068,1.2306083713475968,14.549681271850854,7.412160907143711,2.7443248185691034,3.4599243616080946,3.4697084338889295,706.5020755134528,889.8630311119791,43.69960015626864,1977.734441926334,68.0395258681109,7.999695544433507,2987.336294607126
Productos de tabaco,0.13602429562016802,0.003528283258381867,0.03487858149652576,0.05431123180574992,0.1068342884469429,0.13584316414622416,0.09602399691529767,0.24867875368265047,0.14398959128413652,0.44288705150289476,0.11963866332442723,0.46694936162604594,0.057731839138810886,0.0337242393975927,0.48929068363923056,0.034426483058910155,0.4733011727756352,0.0,0.0,0.18575025544292692,0.22246713851504904,0.0,0.0,0.0,0.0907495266317651,0.0,0.07964807970824561,0.0,0.0,0.12577618245123248,0.0,0.0,0.09624203710977189,0.24550314753076546,0.8730382981290017,0.32339224473119776,0.4662462692407942,0.7047040990781067,0.6891316994081192,3.6708549723231267,10.851565631419728,39.49050692169952,188.60727402070668,3.0285964332887776,-1.498152531621713,240.47979047549302
