Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,567.6414309718341,0.0,0.05271235134926554,6.413755497902694,619.0672980821704,363.64589404693777,157.5345988857617,415.48210240778445,134.3726326218168,8.416295453241267,33.96628377277719,0.0,16.896439891095863,159.15300736752843,0.008889663914705973,0.0,2.673567816898176e-06,15.074647461345242,2.2771274273267386,2.256056195855463,0.0018943828024526506,0.0,0.0,1.2937343611059829e-08,1.142238912801823e-08,0.00018987152901578518,0.0017454660389483706,0.0007545815092423921,0.0009782904313439206,0.029409193313737682,0.0001713558077946303,0.0005462271131080775,2.1978571008089296,0.0,135.1379792825436,0.0,0.0,0.0017368456619958536,0.0,33.61476932880208,2673.247206722932,1601.4584994760419,833.0793360205365,558.572918204643,-28.539490261809988,5637.818470162343
Caza y pesca,0.0,57.294384980003194,0.0,0.0,0.0,0.0,0.0,585.2972207139942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.721073025850304,650.3126787198477,41.197699766376104,195.25154522679875,1.73848373274022,-6.448078532048271,882.0523289137144
Minería (energía),0.0,0.0,875.1145565019393,0.0,3.476632143173774e-20,5.935915695098518e-06,9.103571087567172e-19,2.5699861506218487e-06,0.0,0.0,0.0,0.0,0.0,6.577176238401064e-06,0.0018226193037230512,551.592966609009,2.0275279997514118e-15,0.06137634976289088,0.0,0.0,0.002034272991761855,0.022380065457518156,0.0,0.0,0.0,0.08229277322389929,0.7565075272620491,0.32704537294724895,0.42400370940818066,0.0,0.0,0.0,4.6172386085444476e-05,35.362587421148106,0.0,4.513520453440088,0.0,1.0743551104987549e-06,0.0,1.3099365786834432e-05,1468.261169105079,5430.702914850853,0.0,-550.8926481334789,94.32011264204812,6442.3915484645
Minería (no energía),0.0,0.0,0.0,0.0,6.14709206955413e-12,1.0969571906837307e-11,1.6096177948214195e-10,1.1854937010334665e-06,0.0,0.0,0.00023630332420817963,0.0,0.0,0.0018729959700025404,0.0009095307502690932,0.0,3.5849065344868904e-07,0.0,0.0,0.005438159289738304,26.112598838188706,0.0,111.41917520302559,2.492486992267852e-07,2.2006183941708644e-07,0.0,0.0,0.0,0.0,0.1196068231829454,0.000696901937622659,0.002221498870719798,0.013202058099141895,0.0,46.98452222175688,0.0,0.0,6.803276486906743e-06,0.0,0.0019525026531163044,184.66244185379844,0.9720980090626318,0.0,2.860659841174394,0.682880260212329,189.1780799642478
Carne y derivados,0.0,0.0,0.0,0.0,81.1880163220888,0.18835330052148128,0.0,33.738645081487086,0.0,0.0,0.00010027878060231802,0.0,4.960725129797201,2.1164895198208665e-09,0.0,0.0,0.0,0.7576619617646843,0.0,7.710824635144458e-05,3.030744276122779e-06,1.3329877906308431e-07,3.4709538660099244e-08,0.0,0.0,1.0455954435816758e-05,9.612032655508051e-05,4.1553728037300165e-05,5.3873059474215114e-05,0.003976839550738711,2.3171480646092533e-05,7.38632156251399e-05,3.594082845104269,0.0,0.0,0.0,0.0,0.0,0.0,119.65517038861105,244.08711149458617,1.5397531513217473,1065.8792157185776,0.2754518759632483,0.17124774280432575,1311.952779983253
"Molinería, panadería y pastas",0.19866451250024492,0.0,0.006825261690358323,0.0,7.6781234476295435,100.26025139537597,0.281616810212901,9.717908571010485,4.600338686333512,0.0,4.448158957221154e-07,0.0,0.0,1.746743961224954,0.00590109408668552,0.0,0.02578903314713876,0.033254425318465196,0.0,2.917422517381438e-07,2.93287519653793e-06,1.3108420426229444e-09,3.4132887694471713e-10,4.492127775714345e-06,3.966102548526564e-06,2.632842648687843e-07,2.4203404549385874e-06,1.0463361146048624e-06,1.3565408061949987e-06,6.28282968716112e-05,3.660757861646871e-07,1.1669316752610992e-06,0.0016419679625628352,0.0,0.0,0.0,0.0,0.0002550807808148097,0.0,43.78688592984708,168.3442817542425,55.021271865902776,943.5885721924674,7.814039576970506,-0.5562601577610167,1174.2119052318221
Azúcar y productos de confitería,0.3162954880558686,0.35299220104006024,0.0,0.0,2.0315084792655964e-05,17.096659671059065,93.73770379854484,9.068875029236937,26.038093776200554,0.0,9.79175613112311e-07,0.0,0.0,4.5994379829868264e-14,2.6407023714210585e-08,0.0,1.154689149778606e-13,1.8493797994734715,0.0,0.0013713306176795748,1.1730253503559813e-05,2.896775352615068e-12,7.542884998491357e-13,6.305450709170455e-08,5.5670865513777035e-08,2.4883766332722137e-10,2.2875345914174636e-09,9.889228812930383e-10,1.2821064129670668e-09,3.852504929772257e-08,2.2447031689425863e-10,7.155390573195873e-10,5.48705150081963e-10,0.0,0.0,0.0,0.0,0.0,0.0,9.251374597339485,157.7127789060393,162.80741034689535,300.11001537723246,33.88880769132427,-8.065118362442945,646.4538939590484
Otros productos alimenticios,133.24869325995607,54.07695673834367,0.05309655243933182,0.0,8.335876799695562,28.02310147324405,1.7264942703815411,263.99791588650476,0.21443210299382187,0.0,1.363454472547677e-06,0.004188354601149982,0.0,0.0009226825026077842,1.6441688249125658e-06,0.4350804309297199,0.0008641450270671021,1.4146379670599274,0.0,0.0012043070523246673,0.05479432386027471,1.5879791171844531e-09,4.1349232863760264e-10,5.787826727191904e-08,5.1100759994512026e-08,1.364099691347816e-07,1.2540003745319914e-06,5.421162452263933e-07,7.028361136407237e-07,2.1118992679433337e-05,1.2305206782746856e-07,3.9225035110530826e-07,2.476328110433161e-10,9.25457074033533e-09,0.0,0.281394603274887,0.036454514604725624,0.0010563619301038963,0.0,149.24162656381662,641.1488187359821,1564.1877922007013,1050.06,69.97921406437875,-28.118974890265235,3297.2568501107967
Bebidas,0.0,0.0,0.0,0.0,0.005130584186910816,0.002264685813550727,0.0023228008909773113,0.2333896415942409,9.173285681105662,0.0,6.731527684918253e-07,0.0,0.0,4.491303726552204e-12,0.0,0.0,2.083011906746338e-08,2.460525144605403,0.36224071027754856,0.0007034400120779912,1.8360127581392744e-05,2.82867123859683e-10,7.365549362333048e-11,3.238683805185028e-08,2.8594360478923437e-08,2.4298745192336965e-08,2.2337543044043288e-07,9.65673153577734e-08,1.251963895721886e-07,3.761931960879272e-06,2.1919298606663415e-08,6.987166267291726e-08,3.110923821210663e-10,0.0,0.0,0.0,0.0,0.0,0.14914550811249036,38.4183867652835,50.80741840080694,48.722475842604965,597.6855008924499,19.429840856001245,-30.63392516550823,686.0113108263548
Productos de tabaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009374872545523932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009374872545523932,7.339321973227925,32.97131742544638,-0.05658075685353833,5.352266256863913e-07,40.25499666430195
Textiles,0.0,0.39461855368233895,1.8292682778170961,0.10285797084027548,0.0,0.2890676849564046,0.00016736459786733328,0.29217802555878764,0.0,0.0,73.96072080131748,161.5149400839166,13.434480088678267,0.15835887824966216,2.299848490580197,0.68815918684468,0.0725803326576376,1.1184814982703748,0.0,0.06734583910657534,0.04351999119533155,1.2690902940162139,0.3304571799751131,1.623130360890848,1.433062856253312,0.0,0.0,0.0,0.0,0.47624547084422636,0.0027748951320921093,0.008845471750784897,11.912241334662017,0.8856885198000085,0.0,0.0,1.4182247561216148,0.05023864456668541,1.5521499450500043,15.101330502516568,292.33007329984906,53.01948786718904,147.15765865066666,18.866384805167066,-12.779725505186207,498.5938791176857
Confecciones,0.0,0.0,3.022940318289795,0.0,0.0,2.988647174213156e-06,0.000143435377327592,3.11138336266389e-10,0.0,0.0,0.46380988355264535,3.2067502010684454,0.0,0.0,0.00014634261003005963,1.1420340314505821,0.0,0.0,0.0,0.0,6.336660808001181e-06,1.138114446809115,0.2963525072682266,1.0717408428895192,0.9462406905084506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353671186925871,0.0010597012125685339,0.0,0.131009306441786,6.805899485980532,0.7782301373421836,0.0,27.66767819014705,47.02583003349325,37.297851869706015,449.82116133201134,12.451585677600582,-8.359950007053612,538.2364789057576
Calzado,0.0,0.0,7.376676384155059,0.0,4.363201302115983e-11,8.539231469793834e-08,1.1425054934606331e-09,8.414619667346747e-06,0.0,0.0,0.0006405461877874926,5.299725126539989,43.012572231245606,2.44657683438405e-07,0.020437035698646917,0.0,2.544563947026075e-06,0.0,0.0,0.0005024251466613755,0.04040102798651926,1.5408803202343336e-05,4.012283189814401e-06,0.0,0.0,0.00015203330661765828,0.0013976238294688467,0.0006042060258182591,0.0007833334986061359,0.8489683264035381,0.00494660468279417,0.01576818218386774,0.08106488729810338,0.5176184426282805,0.0,0.354500170405198,3.825821723366006,2.1448217004643037e-09,0.0,5.141779199546196,66.54439022378574,32.94114820458624,141.4029282524773,5.376677410121629,-0.6392549576959254,245.62588913327497
Madera y productos de madera y corcho,0.10089042696429082,0.0,0.0,0.11188680312879218,0.0,0.0,1.9485328575537033,0.9286513818899169,0.0,0.0,0.0,0.0,0.0,149.78459202874356,0.0,0.02649735262662563,0.0,0.0,0.0,0.0,0.2683694156376437,0.020544838860672134,0.005349650489765773,0.0,0.0,0.7941144717383237,7.30019844808557,3.1559449681669327,4.0915802022574335,0.0,0.0,0.0,279.45376811642535,0.0,444.7916609172936,0.0,0.0,0.0,0.02478226261374858,14.621551642665587,907.4289157851415,114.58027113577764,4.9107610685559235,66.03780085598312,-2.0739624509533314,1090.8837863945048
