Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,160.05610322351853,0.15263952697976998,0,0.0,484.84189722878585,63.82140531364651,54.45613651054709,229.8395933677684,10.697540947118036,7.102028016472708,54.19033700585572,22.198054010601552,0.0,76.7086406722588,0.0,0.0,0.0,0.0,0.0,0.0,7.9579860781939376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1.7360135393446339,0.0,0.0,0.061701088065767476,0.0,0.0,0.0,114.38348380795651,1288.2035603371137,759.3178992035303,409.8827569720467,-18.900312659085287,-125.1082922109349,2313.3956116426707
Caza y pesca,0.0,0.13758991503005802,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.580269119051794,2.7178590340818523,0.09742104066538104,6.765653605449517,0.5149580440143278,-0.0006109685007302801,10.095280755710348
Minería (energía),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minería (no energía),0.018894971948350624,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6345278523479674,0.0,0.0,0.0,0.0,0.6672931164692952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.3519324542915146,0.0222764220910012,5.597783186544325,0.0,0.0,0.0,0.03692169672137013,0.010982195982060555,7.340611896395884,1.548565359422355,0.0,58.85018555934977,-9.049827522960321,58.68953529220769
Carne y derivados,0.0,0.0,0,0.0,8.503901839185435,2.765711453208298,0.0,4.58767908348293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.25856389599684,108.11585627187351,169.89165532248094,599.2858183700087,85.93242539221964,-10.308124127886572,952.9176312286962
"Molinería, panadería y pastas",0.0,0.0,0,0.0,0.0,37.40158423707421,0.0,2.3142945780180737,7.236772421546149,4.8044462499116705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.72767182688842,77.48476931343852,0.5808759231103586,157.20800687990396,-26.634108127765263,1.9555043024292615,210.59504829111683
Azúcar y productos de confitería,0.0,0.0,0,0.0,0.0,2.4144887631749867,0.0,8.927460361821662,29.340490500009395,19.478961247094425,0.0,0.0,0.0,0.0,0.0,0.0,0.22235812992536141,0.18039930734183302,0.7309301639293527,0.35800661090417263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.500495999810882,68.15359108401206,17.281686941843326,58.57862364822479,25.781327485869795,-6.71931336299366,163.07591579695628
Otros productos alimenticios,42.9284603054754,0.0,0,0.0,23.52740129430203,7.890576439486679,0.0,47.122407315931014,1.2506835831569074,0.8303207149411085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.271138921397814,163.82098857469094,344.26498029312825,355.9606685873327,-29.333715798216964,-37.316676245681265,797.3962454112536
Bebidas,2.6777923842974194,0.0,0,0.3212335913201654,0.0,0.0,0.6598974112666043,0.0,5.157412462269883,3.423972666298973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,16.49680562446805,0.0,0.009467744191048157,3.1748529441765414,43.19735276905572,75.11878759734441,381.48449548911594,201.60039180813442,4.109341065551551,-60.86437209783389,601.4486438623125
Productos de tabaco,1.777768987245708,0.0,0,0.2132648967333544,0.0,0.0,0.4381016091437191,0.0,3.423972666298973,2.2731532343648766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,10.952122203265812,0.0,0.006285573930496199,2.1077642674316803,28.67844218777575,49.87087562619037,262.69862246513367,133.84119189924397,2.728164867146552,-49.84099350758862,399.29786135012597
