Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,628.2,0.62,0.02,0.08,1329.93,545.56,127.12,778.3,30.06,0.0,180.22,3.27,1.35,188.0,0.33,0.0,3.27,3.3,2.91,2.18,0.45,0.01,0.01,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0,0.0,181.96,0.01,1.04,0.04,0.01,0.02,0.02,242.96,4251.3,431.73722577008573,1568.2830772336076,72.40464925828277,-41.08807215249544,6282.63688010948
Caza y pesca,0.13,4.87,0.08,0.26,1.0,0.08,0.02,821.33,0.07,0.0,0.07,0.06,0.02,0.02,0.02,0.02,0.03,0.07,0.04,0.03,0.05,0.02,0.06,0.05,0.0,0.0,0.07,0.0,0.0,0.01,0,0.01,0.03,0.1,0.19,0.24,0.21,0.15,0.5,28.14,858.05,6.53581138366097,128.62062150238458,0.228455810839049,-3.7340698199169537,989.7008188769676
Minería (energía),0.55,3.33,343.19,12.02,4.65,16.63,0.67,15.42,1.93,0.0,0.65,0.47,0.08,2.41,2.23,985.42,3.06,0.66,0.2,4.09,34.66,4.94,6.33,3.39,0.28,0.0,0.15,0.0,0.02,0.05,0,0.07,0.55,127.99,2.66,32.75,1.25,0.71,3.3,11.59,1628.3500000000001,281.46706436061976,32.805072866397495,305.33655791361275,248.75232573923404,2496.711020879864
Minería (no energía),3.15,0.35,0.61,509.87,0.14,0.66,0.77,5.62,0.23,0.0,1.64,0.79,0.15,0.28,0.36,0.32,6.53,1.38,0.37,0.32,197.3,26.16,2040.61,1.74,0.79,0.01,7.01,0.02,0.03,0.04,0,0.04,3.35,3.32,107.7,1.55,0.74,0.66,0.7,21.08,2946.3899999999994,9404.500044220167,27.28340273214468,731.8112700573646,1168.162429746224,14278.147146755899
Carne y derivados,11.06,1.13,0.12,0.42,133.2,16.66,1.84,38.88,0.79,0.0,2.55,0.16,30.51,2.59,0.04,0.02,0.07,0.3,0.37,0.06,0.1,0.05,0.06,0.1,0.0,0.0,0.19,0.0,0.0,0.01,0,0.01,2.54,0.08,0.29,0.28,0.06,0.06,0.15,387.45,632.1999999999999,21.411816654479786,1478.7968128805173,0.6034712271448446,10.719837953054594,2143.7319387151965
"Molinería, panadería y pastas",3.44,1.23,0.04,0.32,0.65,369.52,1.85,27.5,2.57,0.0,0.12,0.14,0.03,0.08,0.73,0.02,0.16,0.37,1.35,0.05,0.3,0.06,0.09,0.07,0.0,0.0,0.05,0.0,0.0,0.01,0,0.01,0.07,0.06,0.28,0.44,0.06,0.04,0.17,208.29,620.17,62.87719557397091,1894.8859659225307,-12.564575814882469,-3.6803305678708966,2561.688255113748
Azúcar y productos de confitería,2.05,0.56,0.72,4.37,0.14,11.43,40.4,26.29,20.94,0.0,1.36,0.51,0.33,0.53,17.62,0.14,3.61,0.79,0.29,1.17,0.78,0.29,0.63,0.5,0.02,0.01,1.32,0.0,0.02,0.05,0,0.06,1.05,1.36,0.96,0.46,0.22,0.22,0.32,30.45,171.97000000000003,43.17655169299024,320.1341001959945,-8.811368870137901,0.9103396166460698,527.3796226354929
Otros productos alimenticios,218.35,8.89,1.4,8.03,64.15,107.61,14.01,174.09,32.83,0.0,2.34,1.6,0.59,2.24,2.46,0.36,2.68,21.38,5.17,1.54,1.34,0.53,1.28,1.36,0.03,0.02,1.13,0.01,0.04,0.22,0,0.25,4.05,1.71,6.14,4.86,3.45,2.96,8.91,361.11,1069.1200000000001,2248.1360511901976,2042.700318684488,-54.64841742467653,-49.97839549236778,5255.329556957641
Bebidas,1.1,0.04,0.1,0.33,0.55,1.71,0.25,0.39,18.47,0.0,0.1,0.1,0.03,0.03,0.04,0.02,0.05,0.11,0.07,0.07,0.06,0.03,0.08,0.07,0.0,0.0,0.05,0.0,0.0,0.01,0,0.02,0.06,0.08,0.3,0.45,0.32,0.63,0.79,368.98,395.49,6.07904317233076,775.15689740725,-26.913441350408586,0.9685765270951379,1150.7810757562672
Productos de tabaco,0.03,0.01,0.01,0.05,0.05,0.02,0.01,0.06,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.0,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0,0.0,0.02,0.0,0.01,0.01,0.0,0.0,0.0,0.04,0.47000000000000014,0.6382516730087651,0.6266470875947372,0.06962745417719302,3.312105700814527e-09,1.8045262180928012
