Sector,Agricultura y forestal,Caza y pesca,Minería (energía),Minería (no energía),Carne y derivados,"Molinería, panadería y pastas",Azúcar y productos de confitería,Otros productos alimenticios,Bebidas,Productos de tabaco,Textiles,Confecciones,Calzado,Madera y productos de madera y corcho,"Pulpa de madera, papel, imprentas y editoriales","Coque, petróleo refinado y combustible nuclear",Productos químicos básicos,Otros productos químicos (excluye farmacéuticos),Productos farmacéuticos,Productos de caucho y plástico,Productos minerales no metálicos,Hierro y acero,Metales no ferrosos,Productos fabricados de metal (excepto maquinarias y equipos),Maquinarias y equipos (excluye maquinaria eléctrica),Equipos de oficina (incluye equipo computacional),Maquinarias y aparatos eléctricos,"Radio, televisión y equipos de telecomunicaciones",Equipo médico e instrumentos ópticos y de precisión,"Vehículos de motor, remolques y semirremolques",Aeronaves y naves espaciales,Otro equipo de transporte,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),Electricidad y gas,Construcción,Transporte,Correo y telecomunicaciones,Finanzas y seguros,Servicios a empresas de todo tipo,Otros servicios,DI,X,Consumo,FBK,Ajuste Preliminar,DT a PB
Agricultura y forestal,78.52927886193493,0.0,0,0.016373554128612966,829.9895728048556,166.45746629828,1.147126159000029,208.6081290265762,56.51728574673628,0.06778260619479513,35.328544378992476,2.2717494834185006,5.514031134142242,21.999893048937572,4.102142220856537,0.00015787321148410708,0.17755188949211106,0.08675533137579289,0.34817473431893997,2.4127726614333143,2.0391675277764536,0.015644208441863528,0.03176248380620776,0.0731690584456897,0.020472078391668286,0.012756496459650261,0.02143742261239692,0.0002764554540089154,0.016147428087602635,3.219741441310834e-05,0,1.638522004143249e-05,0.28649441029874734,0.0,0.06659582747286265,4.051762831666408,2.0565020589883802e-05,0.0,0.3087735080476714,28.017070403656383,1448.5363871021582,260.63045151252595,126.87638532916327,403.0226362518305,-6.468465753482633,2232.5973944421953
Caza y pesca,0.0,0.0,0,0.0,0.7896223700876174,0.010902765912904231,2.2029584292794168e-07,46.30327200050582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1620689767563966e-07,6.419958225535713e-07,1.4789218043813722e-06,4.137897050693361e-07,2.5783932665600555e-07,4.3330162236192797e-07,5.587826433182998e-09,3.263781711932433e-07,0.0,0,0.0,0.0,0.0,0.0,0.7026486070476806,0.0,0.0,0.0,0.9552808599883084,48.76173069785935,5.988383809404297,8.009881757369216,0.0,-0.4740556989761515,62.28594056565671
Minería (energía),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00012986491911443857,0.00012986491911443857,0.0
Minería (no energía),0.0,0.0,0,1.541482184725842,0.04050844237982312,0.09873519412970337,0.004099692026033354,0.08512425346220352,0.2833512524872965,0.0,0.1891245295094705,0.005666582991267876,0.6354608654937416,0.0022815458314125307,0.7090104138795407,0.0047233593558165905,2.1550867708984573,1.564000148615765,0.10586886109366597,0.2541820047496739,22.353725177640953,0.025674624059078017,0.05212726702903719,0.12008201471687976,0.033597923370001274,0.020935431289450808,0.035182206144480775,0.0004537071899251133,0.02650048720654929,0.02429145982645212,0,0.012361890593984825,0.18410445235177872,0.014666561520220087,16.556772639104004,0.14772604420885202,0.0,0.0,0.03390648176345987,0.7023372711306334,48.023151740775454,5.23845364465694,8.881784197001252e-16,8.617623267264708,-0.8057069112837709,61.07352174141334
Carne y derivados,0.0,0.44677418417922865,0,0.0,56.96023597654249,11.859363887416288,0.010295690352302656,4.038784095456393,0.0,0.0,0.006452905162475139,1.0042617996168257,52.851676314544875,0.0008451483259093369,2.3100595371120093e-05,0.0023972390438838243,1.0361800458589983,0.7746222661613698,0.627431661608075,0.0011804635560023638,1.1585837719159608e-06,0.0008742045261518687,0.0017749000985507635,0.004088715789309256,0.0011439877994619987,0.0007128380438235936,0.001197931614528873,1.5448439598083943e-05,0.0009023246380506887,0.0,0,0.0,0.021282661027633928,0.0,0.0,0.47532322745779715,6.43505292234265e-05,0.0,0.12309575694575982,72.08243096971083,202.33343325362503,783.4380955970817,373.62109141716155,0.0,-5.631000215640142,1353.761620052228
"Molinería, panadería y pastas",6.65671355309536,0.23156783237607406,0,0.0013899528799508403,0.2261983669970174,38.90657021174532,0.012360611409076365,2.78745975865381,0.815347247100488,0.0,0.0,0.0,0.0,0.00875743935970258,0.0,9.422847989294586e-06,0.008620988486502206,0.0045345720141771306,2.6349653474025422e-05,1.42673200384392e-05,0.17309178827080518,0.0012255582948573218,0.002488254719861835,0.005732021970830595,0.0016037708509903837,0.0009993365984313199,0.0016793953622274392,2.1657361321811568e-05,0.001264980232583515,0.0,0,0.0,0.0004935635947396834,0.0,0.0,0.3731278391906806,8.372979730796127e-05,0.045119324030319756,0.030493551925070275,42.570358124474595,92.86735347061361,169.74057055357332,257.56151474184475,0.0,25.07448040915233,545.2439191751839
Azúcar y productos de confitería,0.0,0.1340983352882656,0,0.0,0.0844734903767344,1.2858396304789421,0.17100622883104616,1.4065124763512156,1.8137917221405877,0.0,0.0,0.0,6.756044365101957e-07,3.515977413127079e-05,0.0,0.00012068134571836993,0.05216310263872413,0.03899582978233105,0.020277061438356506,2.6032735916724302e-05,2.371330156671344e-05,0.0002933825419775373,0.0005956554640150001,0.0013721706943929195,0.00038392165512438086,0.00023922804224755275,0.0004020251687929161,5.184487546435961e-06,0.0003028196355440553,2.2443022844039907e-06,0,1.1421223548459115e-06,1.528722076985259e-06,0.0,0.0,0.008677826648575108,6.157804061885494e-07,0.009596210886806785,0.0023251156360066466,1.8545553621116937,6.886118573987818,25.427646766553405,40.6569925954808,0.0,4.081290633819123,77.05204856984115
Otros productos alimenticios,51.19141881849793,1.18317624660477,0,0.0,1.8545865421548169,25.720667537922512,1.4876372059406058,46.13994486491367,16.725169188900118,0.0,0.0,5.478809323176745e-05,0.01690333685982343,0.0010681622367385033,0.7477220431643646,0.003666698796774808,1.5848897827112247,1.184823930731937,0.7916945000367245,0.008205150291228383,0.00026741701901125074,0.0075829658515969515,0.015395718547181688,0.03546606232261852,0.009923101698122381,0.006183251610269563,0.010391017495078465,0.00013400181127908964,0.007826883426824416,5.948492358545905e-05,0,3.0271796038961777e-05,0.00019140152847586575,0.0,0.0,0.5576155437905004,5.214504222154043e-05,0.07926800484017552,0.06329710398633352,50.955459066900254,200.39077224044604,555.1309414160672,226.09276271695308,0.0,1.6357054659929418,983.2501818394593
Bebidas,0.0,0.28506658742982505,0,0.0,0.0,0.3371755236440909,0.03364583066070663,0.19608476163117045,5.347209104454411,0.0,0.002859144107434795,1.6648227076728561e-06,5.481965032956807e-06,3.7430631644625776e-05,0.2515223163095398,0.0001281535468398929,0.05524093184349743,0.041296738414909974,0.018993731871466652,0.022274882405914694,3.2016738204395974e-05,0.001962951181108443,0.003985385731341384,0.009180860139412113,0.0025687263505856876,0.0016006166042424172,0.002689852554272971,3.468814430511571e-05,0.0020260924772393003,1.8210636256385936e-05,0,9.267367818016226e-06,7.137125418904674e-05,0.0,0.0,0.06273835697796505,0.0,0.09960696239176595,0.09397110511671924,83.98383979519318,90.8558785425978,84.79782407937758,133.7586436871907,0.0,-13.160091049306288,296.2522552598598
Productos de tabaco,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.36777865001932,37.665158590793865,0.0,-18.491415285885665,55.54152195492752
