Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,17388.0745450957,6740.50916611037,24128.5837112061,911.014438342307,5409.57238270712,14753.5988121033
Caza y pesca,155.727126636741,629.6731257032918,785.400252340033,15.96457752400963,573.392840185978,494.121771275997
Minería (energía),7437.85500566288,3561.905299674203,10999.7603053371,363.667231954624,1245.17474915152,7983.45018959045
Minería (no energía),556.581418374614,1367.2515906634571,1923.83300903808,87.6279661023974,1255.32503340081,1384.21216154099
Carne y derivados,1067.85947992003,4954.636596465358,6022.49607638538,46.7278221557065,1490.04432285484,409.163555264473
"Molinería, panadería y pastas",1645.28833402692,3672.689767769015,5317.97810179593,94.9528727733949,420.039948450211,1456.29117774963
Azúcar y productos de confitería,614.534243501156,745.7822280214216,1360.31647152258,51.3511075112159,241.52401472588,551.788093566895
Otros productos alimenticios,2179.23185682996,14588.99080773896,16768.2226645689,525.018226522544,10301.2033157808,4861.68670654297
Bebidas,1532.34592504742,3314.621210933289,4846.96713598071,266.3791339708544,398.673196935006,1176.21169090271
Productos de tabaco,210.087573717283,1072.1889171988844,1282.27649091617,30.079860805080102,287.619668010325,786.778396368027
Textiles,1914.49199278013,1083.3148249887354,2997.80681776887,306.596912984423,388.909875990879,1293.12633037567
Confecciones,266.984955012515,1076.291335629716,1343.27629064223,232.20301644528,112.836144381726,92.2971525192261
Calzado,904.510645260057,1801.1036950974412,2705.6143403575,300.61425108186,891.799560266086,431.181950569153
Madera y productos de madera y corcho,2063.35364439081,748.3463945394135,2811.70003893022,145.0924426276978,320.923463718102,1471.5190718174
"Pulpa de madera, papel, imprentas y editoriales",4405.88020805454,2427.492855453579,6833.37306350812,1034.8761442740401,588.650903596373,1382.1421661377
"Coque, petróleo refinado y combustible nuclear",3672.79782647196,6091.31021705616,9764.10804352811,556.931519934619,4379.74584938939,1087.60374927521
Productos químicos básicos,3991.09327907652,2112.7505742387516,6103.84385331527,1035.060925444153,1513.27225659877,2494.10551643372
Otros productos químicos (excluye farmacéuticos),2899.20390423425,3844.1695045818683,6743.37340881611,1022.934057299296,1308.35448907405,2629.64065170288
Productos farmacéuticos,561.527415105306,2315.574384286301,2877.10179939161,166.25162425401962,445.952753099327,1321.40124416351
Productos de caucho y plástico,3569.28989776666,2519.3117906546204,6088.60168842129,848.847805878484,639.90148705314,1164.30152893066
Productos minerales no metálicos,2317.21022490254,333.1830176806051,2650.39324258315,121.6411389767616,164.919387619177,1380.46418190002
Hierro y acero,5219.98489364695,1505.559689922196,6725.54458356915,897.1797175081131,1387.50046174495,3158.32295799255
Metales no ferrosos,885.496718824319,416.1046711661323,1301.60138999045,110.0790816541289,424.698079157922,916.076066732407
Productos fabricados de metal (excepto maquinarias y equipos),3124.91843475133,1236.915423724108,4361.83385847544,243.20781390944597,311.696517973822,1795.2769536972
Maquinarias y equipos (excluye maquinaria eléctrica),1521.54951776516,3726.835837265446,5248.38535503061,885.8508625989839,789.943923879496,1695.22714996338
Equipos de oficina (incluye equipo computacional),66.7306903378768,99.26717716812813,165.997867506005,16.573501577989067,24.6289361814333,131.528923392296
Maquinarias y aparatos eléctricos,799.984009042046,432.2814266920192,1232.26543573407,168.3358768177461,232.118541429997,686.492771148682
"Radio, televisión y equipos de telecomunicaciones",260.80584062228,313.941858351959,574.747698974239,253.28856585681459,85.8412514589271,78.7478704452515
Equipo médico e instrumentos ópticos y de precisión,83.0044685138783,254.10070802123153,337.10517653511,78.84233619511849,145.738222348058,116.108692169189
"Vehículos de motor, remolques y semirremolques",2612.76639603426,5928.222064208842,8540.9884602431,1099.951032046581,2844.77211725323,4230.87843322754
Aeronaves y naves espaciales,134.781194593474,171.77972441345634,306.56091900693,48.73311426124673,53.7401563630136,163.01705789566
Otro equipo de transporte,67.5508234194332,198.61955057403196,266.170373993465,40.9625451036133,17.1800694985163,7.4474790096283
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),337.848104190978,1165.7196534458947,1503.56775763687,106.3002155822627,310.529046616545,539.66467666626
Electricidad y gas,4234.44008121975,1893.7113792403861,6128.15146046013,311.398224598676,1040.67428922468,2284.0567047596
Construcción,5745.27917226901,22872.520187581522,28617.7993598505,2814.311161250171,4.19433215901881,10937.6398925781
Transporte,13020.6846541915,9396.370376429824,22417.0550306213,906.072673267099,1179.2686753767,10198.0111408234
Correo y telecomunicaciones,4340.53983343602,3749.5823900806736,8090.12222351669,405.3299562340094,163.299298740835,4182.31250667572
Finanzas y seguros,4481.02580671544,3421.222415271788,7902.24822198723,30.17596279154822,145.097882077879,3875.52326703072
Servicios a empresas de todo tipo,8517.34523475102,1273.5176453632448,9790.86288011426,175.0801596650159,376.295876813802,6302.16554450989
Otros servicios,29837.5546354985,66032.07500045671,95869.6296359552,2038.019269082157,891.716762075544,63321.4776000977
