Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,50084.704522674976,22333.631403961106,72418.33592663608,933.3503370639121,7492.046275485592,41730.46110534668
Caza y pesca,321.6398229543214,909.4643025218586,1231.10412547618,11.53699110353075,32.05198388204299,643.8793535232544
Minería (energía),24280.727117975683,4814.739795358607,29095.46691333429,2258.1693673245263,3590.2762468844444,12980.14907836914
Minería (no energía),8063.177727571474,7504.9296919671315,15568.107419538606,503.96168831959045,7533.252539886713,6871.412872314453
Carne y derivados,5387.364395333551,21562.602396491362,26949.966791824914,598.2096111302764,7190.659052426775,6991.5504150390625
"Molinería, panadería y pastas",1566.2997317614202,1250.4107164184304,2816.7104481798506,66.03058809785284,4.189802665424326,648.915433883667
Azúcar y productos de confitería,4137.775278508051,5894.265735580282,10032.041014088334,230.6926765784546,3754.0604992721574,2404.7864379882812
Otros productos alimenticios,20369.70075994085,38402.48282274495,58772.1835826858,1355.8688155246564,7527.526995548325,14669.426971435547
Bebidas,6910.121607788367,4160.778779935267,11070.900387723636,258.6985583396539,211.64274026202665,2587.3782653808594
Productos de tabaco,193.0660515938218,3763.9664201114097,3957.0324717052313,51.221303033488496,1634.1641968488693,911.8743705749512
Textiles,9549.786105405849,4355.8984653785055,13905.684570784357,783.767930003059,1572.923516712031,5856.0175857543945
Confecciones,3152.72753162997,12177.539071307485,15330.266602937454,567.7514906881255,1529.5708655328156,6314.709854125977
Calzado,481.43278795596444,5485.951489420444,5967.384277376408,271.31151673378207,1494.8249078718495,1934.6155319213867
Madera y productos de madera y corcho,5412.421893279658,2763.7201973305528,8176.142090610212,133.9260635178064,2787.9770185817256,3297.6655654907227
"Pulpa de madera, papel, imprentas y editoriales",18774.64671869865,9074.105229213294,27848.751947911936,1652.37227265529,3440.9210991153977,11254.37353515625
"Coque, petróleo refinado y combustible nuclear",35164.640019717386,15867.152955791425,51031.79297550881,8226.258490458014,4501.072951075468,8699.8408203125
Productos químicos básicos,22347.19050484719,2301.5946523381235,24648.78515718531,4828.679235685289,2961.014325099554,5369.118103027344
Otros productos químicos (excluye farmacéuticos),26670.2267351298,11009.695135735055,37679.921870864855,3354.172232300942,3494.2658768686824,11263.613891601562
Productos farmacéuticos,4373.151364607295,6806.194340744883,11179.345705352178,1248.3462162548828,555.2086937633212,5513.662330627441
Productos de caucho y plástico,17553.40114237594,1817.6965144842652,19371.097656860202,1650.293275116959,1451.792727307109,5993.935501098633
Productos minerales no metálicos,11190.02687356227,2003.7787904252968,13193.805663987569,541.3423341430934,1773.950942928942,5138.270904541016
Hierro y acero,22195.602370193887,8824.362461835142,31019.96483202903,3336.3453402966925,8744.230090945512,9606.911743164062
Metales no ferrosos,3952.513955800196,3855.98111961028,7808.495075410476,1165.8108486506007,3665.750831021863,2627.9823608398438
Productos fabricados de metal (excepto maquinarias y equipos),17209.16860170884,5788.284511850591,22997.45311355943,954.4590151600435,1018.6080964142604,10075.355209350586
Maquinarias y equipos (excluye maquinaria eléctrica),6840.7,18610.33513561675,25451.035135616752,2015.640387389031,6502.500882963601,8052.147125244141
Equipos de oficina (incluye equipo computacional),115.01807098258297,4659.8748133314375,4774.89288431402,1675.2132837972838,466.4520495459675,1022.6775093078613
Maquinarias y aparatos eléctricos,9974.121008051266,7025.138693323712,16999.259701374976,1515.3429133275313,2400.2142007011084,5650.358154296875
"Radio, televisión y equipos de telecomunicaciones",1749.0962816299698,13136.707006976081,14885.80328860605,3863.4062290850807,3052.258441634821,2594.348373413086
Equipo médico e instrumentos ópticos y de precisión,1348.176143608281,2984.7188621274618,4332.895005735743,583.9847346803119,537.1985140382831,2264.150104522705
"Vehículos de motor, remolques y semirremolques",18258.708212290498,33071.803486941884,51330.51169923239,6016.160168256746,11046.232935840822,9683.156616210938
Aeronaves y naves espaciales,424.23183946763066,4172.248140445645,4596.479979913275,699.8714146966947,4049.3996207308437,1182.7850456237793
Otro equipo de transporte,2403.980441587249,3722.09914592245,6126.079587509699,932.7720103270523,938.2170916907513,1576.3881874084473
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),2520.128168747946,10995.317141284582,13515.445310032528,613.2340383329919,1520.008010595087,6243.177207946777
Electricidad y gas,35117.49556769635,13215.125528975239,48332.62109667159,1784.3628892790716,44.691460427464335,26470.90869140625
Construcción,10467.4663839139,58149.43988211432,68616.90626602822,1825.2572783677253,385.93361031479435,41385.57467651367
Transporte,42645.0050156096,29153.613521081174,71798.61853669077,1575.3826047816735,1718.9933856944917,38722.72994995117
Correo y telecomunicaciones,3705.6358449720665,437.48577381773634,4143.121618789803,91.81772170679982,13.43082098517003,2224.0206623077393
Finanzas y seguros,42450.295612060465,39251.563706965,81701.85931902546,1708.5045219868282,694.893365479959,55894.150390625
Servicios a empresas de todo tipo,115449.80475024646,125340.94517402614,240790.74992427262,4583.600815608926,11057.818337952427,169229.81176757812
Otros servicios,56906.40909587577,319751.52867276565,376657.93776864145,5185.916608989865,5801.8290366441,256908.6787109375
