Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,5828.8328008403,5254.502072236312,11083.334873076614,326.5082739732678,2513.444732424192,4065.9910278320312
Caza y pesca,654.7183679674696,2130.493599392483,2785.2119673599527,36.146809084524875,1807.3005865467023,1156.9475021362305
Minería (energía),7377.345574132674,2999.114390314892,10376.459964447566,5006.747032293124,226.93371210269328,1876.103558063507
Minería (no energía),3083.576327815147,18985.847288835757,22069.423616650904,73.21711976129362,19059.724952106568,16767.76776123047
Carne y derivados,484.1730330209814,1249.7881621961694,1733.9611952171508,31.657677653228692,335.2694076501457,381.72553634643555
"Molinería, panadería y pastas",1035.9551802887456,2674.0811580128793,3710.0363383016247,216.42425994958032,607.1379124509945,839.0781097412109
Azúcar y productos de confitería,30.79600057198863,79.49008521950927,110.2860857914979,8.08188742106473,20.27369823502578,25.959097385406494
Otros productos alimenticios,2892.850131259404,7466.950464884681,10359.800596144083,541.8299168857012,1946.8935134357232,2320.3045349121094
Bebidas,470.2017540797237,4051.211330265543,4521.413084345267,36.27478844460382,948.7107426166772,1503.2887725830078
Productos de tabaco,15.273757569916324,131.5376579762889,146.81141554620524,5.3878078496438775e-05,30.460244732210413,60.1508150100708
Textiles,781.5937704640779,4600.811770002184,5382.405540466262,294.4389594883644,198.46878626485798,665.747932434082
Confecciones,85.02345224462258,500.5184273684692,585.5418796130917,24.242268720473668,43.41726205693253,71.37329769134521
Calzado,187.7152443245564,1105.0485180446576,1292.763762369214,15.648641544685937,88.6038917968524,159.48614120483398
Madera y productos de madera y corcho,1480.3318077561585,2660.386109898088,4140.717917654247,205.19097686645867,1824.498054830855,1123.0945434570312
"Pulpa de madera, papel, imprentas y editoriales",3261.1177628376195,2715.013607977962,5976.131370815582,460.97413156713924,1661.311094091755,1510.2478942871094
"Coque, petróleo refinado y combustible nuclear",2433.7253142231903,1394.1917289120258,3827.917043135216,802.6589438978486,599.6181905577039,717.3368377685547
Productos químicos básicos,7167.000983796226,4104.585008977001,11271.585992773227,2694.31084956516,1342.3581368660894,2125.4327087402344
Otros productos químicos (excluye farmacéuticos),2563.14054372017,1460.6070689794774,4023.7476126996476,629.9906578154895,363.3138478993574,775.783088684082
Productos farmacéuticos,1923.6578750496694,1100.4612130762491,3024.1190881259186,345.18323964789516,245.76344182046745,579.3901443481445
Productos de caucho y plástico,2753.009662239164,1573.5839739509274,4326.593636190091,840.4417236520508,305.48288927332896,833.0818939208984
Productos minerales no metálicos,1130.883038089092,175.4730302307305,1306.3560683198225,147.45494765423797,72.92375064474251,526.3051071166992
Hierro y acero,3450.808973856405,2998.35177385246,6449.160747708865,974.8671405864907,2293.75446090259,801.7689971923828
Metales no ferrosos,1124.3731297739728,174.06920985006354,1298.442339624036,142.20992081710975,935.4020324358924,503.21461486816406
Productos fabricados de metal (excepto maquinarias y equipos),803.5832520151799,1815.6121886134306,2619.195440628611,384.820189011971,144.75735307796486,1034.0133819580078
Maquinarias y equipos (excluye maquinaria eléctrica),1989.521216983318,4492.804239040203,6482.325456023522,1263.3973411189863,296.32151049739866,632.2587890625
Equipos de oficina (incluye equipo computacional),557.6589176945962,1260.0358638956582,1817.6947815902545,157.30165672961726,91.53864771348364,6.963704764842987
Maquinarias y aparatos eléctricos,1047.8610335982435,2367.676057517448,3415.537091115692,566.0214066610766,113.73763478741571,189.57395553588867
"Radio, televisión y equipos de telecomunicaciones",458.4618570046872,1035.954899270511,1494.4167562751982,82.93379764286499,78.66363424711784,0.0
Equipo médico e instrumentos ópticos y de precisión,294.8619443642254,666.2813647128139,961.1433090770392,509.72605916517205,47.337155177475246,0.0
"Vehículos de motor, remolques y semirremolques",1741.0968784984125,3934.2486727892656,5675.345551287678,34.79635197811296,323.8230858400145,11.228467583656311
Aeronaves y naves espaciales,317.5575477698097,717.5636332248843,1035.121180994694,99.30455742353884,42.681344378907525,76.18803405761719
Otro equipo de transporte,440.5307238040435,995.4333303786881,1435.9640541827314,202.16844746925855,81.03153415406129,180.66157722473145
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),133.93054182840476,302.63288480584043,436.56342663424516,15.775307989510921,31.882542211356828,280.6242980957031
Electricidad y gas,5949.874645417565,1946.6892606651018,7896.563906082667,51.744688159816086,0.0,3495.155715942383
Construcción,2294.4127658566704,14703.59918094264,16998.01194679931,0.285763844856104,7.795123812131351,7536.188751220703
Transporte,11102.489091236977,10053.792929996225,21156.282021233204,2320.313052981033,4450.680549645235,8331.27490234375
Correo y telecomunicaciones,2854.1796914914858,2742.4863713252444,5596.66606281673,161.59925546074126,143.861457144834,2394.01517868042
Finanzas y seguros,7008.190173584761,2531.591574611346,9539.781748196108,674.6762931062076,242.23708315119268,6398.7867431640625
Servicios a empresas de todo tipo,20793.89842281552,2024.8250566790298,22818.72347949455,495.6436548119046,752.5386536520708,11503.359558105469
Otros servicios,6026.006320106931,35811.64508132449,41837.651401431416,1977.8535526552864,1535.694278925772,36770.74951171875
