Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,9333.476764711753,6946.164738669445,16279.641503381197,720.5807957268482,1814.7313910748614,11073.567644119263
Caza y pesca,265.9401077606541,198.9600980330783,464.9002057937324,19.59827456887431,10.985282475567658,313.59378254413605
Minería (energía),3203.2984090203126,6706.599399680636,9909.89780870095,51.2776047712802,6468.697771831345,7836.371726989746
Minería (no energía),1167.4017858673822,884.5498817024677,2051.9516675698496,59.504187499013526,658.0073273493568,1375.7167987823486
Carne y derivados,1109.2941474506167,2996.3241957903374,4105.618343240954,80.59967893652143,38.513998291591804,217.61877250671387
"Molinería, panadería y pastas",938.5158672030784,2673.8575480615928,3612.373415264671,548.4112830513691,95.83599412574,608.1106090545654
Azúcar y productos de confitería,516.3959400163282,1246.4768822526132,1762.8728222689415,80.3761285785316,532.5562300936374,488.79191970825195
Otros productos alimenticios,3302.7962397236597,5374.232640793087,8677.028880516746,365.47606919416114,1826.3935023645245,2226.60196685791
Bebidas,889.8630311119791,2097.473263495147,2987.336294607126,168.97511940477204,43.69960015626864,1271.2745723724365
Productos de tabaco,10.851565631419728,229.62822484407326,240.47979047549302,20.320094132015218,39.49050692169952,98.73066139221191
Textiles,1201.3279801246372,620.0362939496738,1821.364274074311,225.06402485701267,259.5282978873246,635.4582443237305
Confecciones,913.5069658564535,3504.5260539563888,4418.033019812842,423.65065269488247,940.5008446856264,1429.2962799072266
Calzado,265.2618813883169,978.8856940499969,1244.1475754383139,121.39216575954018,196.08691940273798,434.2725658416748
Madera y productos de madera y corcho,712.239644851397,68.48634732436139,780.7259921757583,32.267124570316284,31.274571993499446,283.00466418266296
"Pulpa de madera, papel, imprentas y editoriales",3238.506667583974,1386.4848112044274,4624.991478788402,443.5855038497251,578.004208061707,1589.2200889587402
"Coque, petróleo refinado y combustible nuclear",2424.397488411902,2997.1436478930773,5421.541136304978,163.8658011252568,1940.3202351327673,2999.240493774414
Productos químicos básicos,2896.1528434823417,1230.3548931727398,4126.507736655081,784.4507996777842,889.9672458107059,1975.899356842041
Otros productos químicos (excluye farmacéuticos),507.40620414769245,2186.897858059667,2694.30406220736,598.5596565902697,322.44575806752437,193.0859375
Productos farmacéuticos,562.5183568113315,1089.251094180994,1651.7694509923256,287.0212858187809,201.61920103307108,493.9969491958618
Productos de caucho y plástico,2202.94926072555,822.324087471465,3025.273348197015,526.6088441794143,451.2702766365465,906.582836151123
Productos minerales no metálicos,3118.932260196355,591.3382796007791,3710.270539797134,181.98333810211957,425.61154469765324,1589.4616470336914
Hierro y acero,1451.427253338501,719.4994701755876,2170.9267235140887,280.0004389728881,708.6862133301411,309.9152641296387
Metales no ferrosos,909.829507649678,211.14664242092772,1120.9761500706059,96.50506039227335,284.2709608973756,753.3193740844727
Productos fabricados de metal (excepto maquinarias y equipos),803.5767587058778,769.8843207850462,1573.461079490924,257.51289496266054,359.2561470121707,349.14136505126953
Maquinarias y equipos (excluye maquinaria eléctrica),827.6190745821542,850.4415550859519,1678.060629668106,225.5714500265058,242.002415046996,601.4451751708984
Equipos de oficina (incluye equipo computacional),0.0,0.8863575785188381,0.8863575785188381,0.3842175487248898,1.4514733007807925,0.0
Maquinarias y aparatos eléctricos,379.6882612607982,561.8437807874099,941.532042048208,225.40796347970937,248.595798824382,180.89870929718018
"Radio, televisión y equipos de telecomunicaciones",391.11515343089405,199.03813879997418,590.1532922308683,36.62162146945677,50.74013734670792,487.37967681884766
Equipo médico e instrumentos ópticos y de precisión,216.98607063838006,91.29509756450476,308.2811682028848,24.614275932959384,57.982651219686595,183.49148607254028
"Vehículos de motor, remolques y semirremolques",430.3225765131717,1672.9168568081006,2103.2394333212724,722.2624940011735,732.1384249091924,340.6790065765381
Aeronaves y naves espaciales,7.8268519230099605,111.688815550748,119.51566747375797,12.58694507542154,40.09664295365718,9.866874814033508
Otro equipo de transporte,152.42053038850088,296.3337125579783,448.75424294647917,116.04434494528739,43.95319514103968,97.26319456100464
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),643.3766860091284,1624.7840267925142,2268.1607128016426,175.0465202656252,288.63430669426185,906.3180389404297
Electricidad y gas,4912.400241389436,2892.694007943646,7805.094249333081,92.3232780589708,61.423266269266605,4194.5789794921875
Construcción,2093.941718928769,16962.22354785605,19056.16526678482,1322.4214430807367,4.833917194035166,8317.660736083984
Transporte,7313.919976099298,6228.697629098424,13542.61760519772,854.3335145552683,475.18050218711016,6434.728073120117
Correo y telecomunicaciones,2895.868947522006,4069.2850412925513,6965.153988814557,228.57844192013704,187.64211534033277,3645.463897705078
Finanzas y seguros,5894.148780826017,3538.2872855515743,9432.436066377591,312.028169969273,36.55020029204206,5779.241073608398
Servicios a empresas de todo tipo,11772.937887506021,1085.8665539277795,12858.8044414338,247.47205155510835,304.58445245703734,9282.360641479492
Otros servicios,19394.792022483285,68393.18420248217,87787.97622496546,2637.998532905088,161.37174648380287,55513.949462890625
