Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,2673.247206722932,2964.5712634394113,5637.818470162343,290.25333477575225,1601.4584994760419,3381.037489414215
Caza y pesca,650.3126787198477,231.7396501938668,882.0523289137144,69.65389280310686,41.197699766376104,542.5712345838547
Minería (energía),1468.261169105079,4974.130379359422,6442.3915484645,120.10885389515042,5430.702914850853,3647.840206861496
Minería (no energía),184.66244185379844,4.5156381104493555,189.1780799642478,4.426186164410449,0.9720980090626318,129.1710801422596
Carne y derivados,244.08711149458617,1067.8656684886669,1311.952779983253,15.488577394628493,1.5397531513217473,257.3605238199234
"Molinería, panadería y pastas",168.3442817542425,1005.8676234775796,1174.2119052318221,114.45731935482337,55.021271865902776,270.7639203071594
Azúcar y productos de confitería,157.7127789060393,488.74111505300914,646.4538939590484,27.483431097284566,162.80741034689535,208.23146843910217
Otros productos alimenticios,641.1488187359821,2656.1080313748143,3297.2568501107967,280.68968443825327,1564.1877922007013,834.2068901062012
Bebidas,50.80741840080694,635.2038924255478,686.0113108263548,46.950647021438506,48.722475842604965,257.13139724731445
Productos de tabaco,0.0009374872545523932,40.254059177047395,40.25499666430195,1.171354943485043,7.339321973227925,9.124996900558472
Textiles,292.33007329984906,206.26380581783656,498.5938791176857,79.1945746976316,53.01948786718904,185.63297200202942
Confecciones,47.02583003349325,491.2106488722643,538.2364789057576,47.05501208434772,37.297851869706015,203.47298729419708
Calzado,66.54439022378574,179.08149890948923,245.62588913327497,23.056390424429793,32.94114820458624,68.70654511451721
Madera y productos de madera y corcho,907.4289157851415,183.45487060936335,1090.8837863945048,22.173354360373022,114.58027113577764,553.0732817649841
"Pulpa de madera, papel, imprentas y editoriales",564.9458600920336,266.9803102532412,831.9261703452748,145.15819109740298,40.1449691882746,340.5599602460861
"Coque, petróleo refinado y combustible nuclear",1151.756412417362,1280.8909283066869,2432.647340724049,953.109262470455,1007.0311935821619,723.466570854187
Productos químicos básicos,146.75832317124465,12.239398409000238,158.9977215802449,59.92992125601827,40.32162654271744,31.121728911995888
Otros productos químicos (excluye farmacéuticos),307.4679005197237,426.0144082929995,733.4823088127232,154.12381378015237,38.068034816614905,396.88933873176575
Productos farmacéuticos,79.93306931389246,89.7539816754194,169.68705098931184,50.68230963184482,32.1608520669007,68.89419201016426
Productos de caucho y plástico,482.09585002216727,199.83447369127484,681.9303237134421,292.52677577814734,45.85163913555527,192.89767837524414
Productos minerales no metálicos,846.1889237767331,65.30990289993943,911.4988266766725,61.3712772346512,43.24796782585642,451.45221841335297
Hierro y acero,275.99905793865264,64.95878717087655,340.9578451095292,139.64066539196008,25.26072110741169,52.589868277311325
Metales no ferrosos,61.93380078337818,169.41691800947302,231.35071879285118,38.72746527333871,110.29892042632783,43.03022687137127
Productos fabricados de metal (excepto maquinarias y equipos),127.96896017983161,269.7129260691514,397.68188624898306,163.30970412029257,13.29773680266871,105.12095081806183
Maquinarias y equipos (excluye maquinaria eléctrica),121.58048638741047,368.17459693620776,489.75508332361824,240.0123196705956,84.16392789912572,125.30873119831085
Equipos de oficina (incluye equipo computacional),11.123167722102004,25.000719301355936,36.12388702345795,5.293452365020731,1.8311239703631115,13.645017549395561
Maquinarias y aparatos eléctricos,102.25393772881897,159.37704589523048,261.63098362404946,45.96422640748897,42.40887014134555,57.17694738507271
"Radio, televisión y equipos de telecomunicaciones",44.205346271793225,85.4541098791809,129.65945615097414,50.86743147678708,11.882794800044415,8.717352777719498
Equipo médico e instrumentos ópticos y de precisión,57.31079643782604,89.89583724474664,147.2066336825727,28.7106903159562,16.076963792713276,29.739501789212227
"Vehículos de motor, remolques y semirremolques",115.97372323760776,747.4125754295102,863.386298667118,366.68596938132424,298.3187594303592,135.48779797554016
Aeronaves y naves espaciales,0.6757332925227897,4.356757831366087,5.032491123888877,2.1965140447654,2.2599224316390973,0.7894341344945133
Otro equipo de transporte,2.154020049604096,13.887940667806308,16.041960717410408,6.291634285151272,12.489707840930661,2.5164616722613573
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),319.5198375185675,561.1385079867317,880.6583455052992,71.71438137177597,35.613632028301076,218.7834939956665
Electricidad y gas,1611.6545806272543,488.3528437178712,2100.0074243451254,207.8770879392327,0.3077610433101654,514.8089941740036
Construcción,592.1454469766783,5420.632308965223,6012.777755941901,288.7819550090636,5.995406084504793,2923.5727356672287
Transporte,3094.786796233152,1983.3124684807149,5078.099264713867,559.2989392816867,61.27713218232759,3043.3839111328125
Correo y telecomunicaciones,485.5997522145792,1279.78848708285,1765.3882392974292,53.00879986206792,0.6959312269296316,1149.607423067093
Finanzas y seguros,1229.7850966450844,577.0656991349831,1806.8507957800675,19.39885194875734,23.64120428797903,1053.6518306732178
Servicios a empresas de todo tipo,3192.4921759106546,271.8064449493731,3464.2986208600278,60.17424497385598,51.03704993150484,2493.5916372537613
Otros servicios,4755.079736792591,15977.864295294628,20732.944032087216,696.8612842545581,94.33364069024856,14391.218055725098
