Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,4251.3,2031.3368801094807,6282.63688010948,410.43705916456156,431.73722577008573,4402.220100104809
Caza y pesca,858.05,131.65081887696763,989.7008188769676,70.91064279991394,6.53581138366097,562.5300061702728
Minería (energía),1628.3500000000001,868.3610208798641,2496.711020879864,143.17967559970643,281.46706436061976,1525.7500095367432
Minería (no energía),2946.3899999999994,11331.7571467559,14278.147146755899,533.0165678152487,9404.500044220167,9929.519804954529
Carne y derivados,632.1999999999999,1511.5319387151965,2143.7319387151965,46.17940281273455,21.411816654479786,327.09999817609787
"Molinería, panadería y pastas",620.17,1941.5182551137482,2561.688255113748,329.29947029210797,62.87719557397091,662.0899902582169
Azúcar y productos de confitería,171.97000000000003,355.4096226354929,527.3796226354929,36.41150692650101,43.17655169299024,140.6500037908554
Otros productos alimenticios,1069.1200000000001,4186.209556957641,5255.329556957641,465.6482731500736,2248.1360511901976,1460.9400024414062
Bebidas,395.49,755.2910757562673,1150.7810757562672,167.56471509879827,6.07904317233076,386.5799970626831
Productos de tabaco,0.47000000000000014,1.334526218092801,1.8045262180928012,0.22413242989650328,0.6382516730087651,0.6899999976158142
Textiles,1309.25,872.4391370099582,2181.6891370099584,229.13246759051066,411.4991721871262,773.6500084400177
Confecciones,342.53999999999996,2191.1152928386014,2533.6552928386013,129.4804771972146,1016.6807950031246,909.449990272522
Calzado,125.09999999999998,406.9639971884263,532.0639971884264,26.28220890057726,32.36468116869785,209.86000061035156
Madera y productos de madera y corcho,728.47,433.67607930530494,1162.146079305305,26.60158308318032,1309.2330649488729,456.8600137233734
"Pulpa de madera, papel, imprentas y editoriales",1416.7899999999997,361.9705175134321,1778.760517513432,307.08033791461844,77.48645003225249,660.3999962806702
"Coque, petróleo refinado y combustible nuclear",2410.86,1229.8181368146436,3640.678136814644,1912.6787480333478,782.4358747483142,418.45001316070557
Productos químicos básicos,277.36,361.68059985594886,639.0405998559489,137.91813926529068,269.8879829973531,175.67000317573547
Otros productos químicos (excluye farmacéuticos),940.8399999999999,576.4263435272745,1517.2663435272743,300.71548936527034,101.15336843928002,561.819981098175
Productos farmacéuticos,207.43,403.58351212048603,611.013512120486,78.0193394959042,15.944261909134859,239.29999721050262
Productos de caucho y plástico,1122.8500000000001,391.04463218452145,1513.8946321845217,583.6463892815916,166.92406463524884,417.5999987125397
Productos minerales no metálicos,1343.88,317.91764610563337,1661.7976461056335,121.18063578271294,240.3062414653148,738.1199860572815
Hierro y acero,541.45,119.18765953397644,660.6376595339765,148.5062249015094,25.776235470198237,202.44999516010284
Metales no ferrosos,919.55,4608.911716924756,5528.461716924756,137.2553505654555,4702.434617614101,2155.43998670578
Productos fabricados de metal (excepto maquinarias y equipos),904.4500000000002,442.0886652160606,1346.5386652160605,311.69816221877807,64.66841661023777,446.59000301361084
Maquinarias y equipos (excluye maquinaria eléctrica),31.169999999999998,14.157831106572537,45.32783110657253,7.78641899090268,10.04264798379793,10.960000038146973
Equipos de oficina (incluye equipo computacional),16.3,23.040831973247585,39.34083197324758,17.48032921996391,30.38388626478428,10.309999942779541
Maquinarias y aparatos eléctricos,448.27000000000004,300.407100318418,748.6771003184181,121.48269861059794,53.69961977852151,244.39000272750854
"Radio, televisión y equipos de telecomunicaciones",5.4399999999999995,8.379802364534058,13.819802364534057,1.9509330925015504,4.1091244362207275,5.460000038146973
Equipo médico e instrumentos ópticos y de precisión,32.19,9.04345006715452,41.233450067154514,12.192820951089011,4.047265919180528,10.920000076293945
"Vehículos de motor, remolques y semirremolques",74.25,94.51047700572086,168.76047700572087,31.3950704073727,7.049407951134862,65.98999923467636
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.008441892077371449,0.0
Otro equipo de transporte,104.35,73.89655981611091,178.2465598161109,25.12186028596661,2.7642839969256188,69.18000030517578
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),863.3599999999999,2269.4493030860804,3132.80930308608,138.7218238380405,1334.3142956197855,1403.7800085395575
Electricidad y gas,1317.1800000000003,461.97176305530104,1779.1517630553014,57.05146503063676,0.0,960.1099796295166
Construcción,570.78,7253.656737376143,7824.436737376142,514.4839631780346,6.9522600173950195,3612.620024204254
Transporte,4676.12,3502.448957638658,8178.568957638659,632.7820003245474,467.6108572943381,3533.24991607666
Correo y telecomunicaciones,1297.02,1786.0839860235928,3083.1039860235924,175.9415417888978,113.66070030025804,1591.620002746582
Finanzas y seguros,2177.38,1042.280853070473,3219.660853070473,169.06524516610585,214.22823141044194,2124.899968147278
Servicios a empresas de todo tipo,3668.92,2253.7388827902037,5922.658882790204,218.42300230803357,97.31132465207924,3283.4099464416504
Otros servicios,9831.85,26640.907699309188,36472.757699309186,941.629294021049,669.1833628901113,24138.45933532715
