Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,101350.33257849755,49919.199888161864,151269.5324666594,2978.744851434248,17262.899671710336,88322.82601290941
Caza y pesca,3169.5314971571456,4608.454456810156,7777.9859539673025,171.52313634531362,1655.2222055317836,4200.211535351351
Minería (energía),59984.266165048444,58823.92149464765,118808.18765969611,6086.636626318007,51396.50676231698,78145.68273472784
Minería (no energía),20120.806276846415,38068.87333918194,58189.679616028356,1118.429471953093,35458.77429055984,37763.66702076793
Carne y derivados,10737.244779926337,38850.8057479402,49588.05052786654,637.8593967310563,9277.93388133386,10022.331798315037
"Molinería, panadería y pastas",7719.507913633237,17953.626542889477,25673.134456522715,1091.3440054485131,492.35262042367617,6918.974370956421
Azúcar y productos de confitería,6323.377785530253,9071.246628892744,15394.624414422999,292.1752912535729,4224.299497719854,4172.571375817067
Otros productos alimenticios,35427.54067081415,74231.43412053245,109658.9747913466,2038.3069631354194,22993.941513215887,28347.50891911984
Bebidas,12154.913894743271,16621.932378846657,28776.84627358993,738.7855355070466,1402.6630072948885,8811.383956074726
Productos de tabaco,505.35948740272875,5934.003659126022,6439.363146528752,116.15053197317599,1251.01964646833,2262.266869415761
Textiles,17086.199122918246,12254.098927276398,29340.298050194648,1699.5142661411783,1884.50762691361,10550.450126081705
Confecciones,5098.307430279061,20339.37067220241,25437.678102481474,1086.3843096362152,2928.665161676232,9301.99912944436
Calzado,2372.4006834459815,10556.254731333696,12928.655414779676,621.4639474987576,2623.458495086481,3533.4582572579366
Madera y productos de madera y corcho,12260.24549801711,7114.253804885893,19374.499302903005,446.8075427638345,6352.922218916009,7633.72822530568
"Pulpa de madera, papel, imprentas y editoriales",35922.50834789625,16954.629567287324,52877.13791518357,3171.3607613671256,4356.943732691382,19084.651078790423
"Coque, petróleo refinado y combustible nuclear",53252.756716204654,39678.14776499732,92930.90448120196,11326.175007928354,20913.207698591417,17980.44593107701
Productos químicos básicos,42059.71923257375,8311.174585456944,50370.893818030694,6568.84012744117,5172.995542458879,13663.35355916619
Otros productos químicos (excluye farmacéuticos),37222.85136645658,18890.145308298834,56112.99667475541,5238.727563194543,2657.2876046031215,17053.89844378829
Productos farmacéuticos,8372.589293295543,13060.713835949131,21433.303129244676,2137.108054928237,710.0362920514891,9266.010419085627
Productos de caucho y plástico,30790.991937524475,6558.540302893404,37349.53224041788,3900.6710011666273,1595.5377071207822,10582.337402015917
Productos minerales no metálicos,22573.32172157293,3314.5549135335987,25887.87663510653,965.0529188038153,2285.389609839523,10761.35222201049
Hierro y acero,37478.82979313445,14686.995930432946,52165.82572356739,4504.724835685254,12983.84609905675,16310.335647378106
Metales no ferrosos,11052.65600087868,8709.537375097818,19762.193375976498,954.0701692357242,9355.64560767274,7939.911965403713
Productos fabricados de metal (excepto maquinarias y equipos),25425.972770447697,10582.091789003622,36008.06455945132,1684.8182150282541,1170.1005154725533,14912.031527206307
Maquinarias y equipos (excluye maquinaria eléctrica),12832.464689336552,28849.510289198486,41681.974978535036,3803.066768982745,5225.341479145689,12529.938978001479
Equipos de oficina (incluye equipo computacional),801.946319818299,6087.816013381097,6889.7623331993955,1850.4115886629174,268.3294980724283,1208.6558417268097
Maquinarias y aparatos eléctricos,14095.385663782212,10465.356800709547,24560.742464491756,2046.3573987221505,1917.8253957092911,7416.597658514972
"Radio, televisión y equipos de telecomunicaciones",3084.9014025192973,14660.928477911131,17745.829880430432,4120.500853518739,1629.107955206216,3219.0647000073277
Equipo médico e instrumentos ópticos y de precisión,2251.4913038387704,4003.4797302029187,6254.971034041689,1047.3965391975962,484.55301750861526,2659.1304672434953
"Vehículos de motor, remolques y semirremolques",25673.09232193761,46272.496567178976,71945.58888911658,8622.742946592281,9683.688509214604,15284.340300425893
Aeronaves y naves espaciales,899.6663924745661,5163.043846037981,6062.710238512547,805.6448988663573,4099.373968794936,1432.6464465255842
Otro equipo de transporte,3268.578261087444,5588.096566999658,8856.674828087102,1235.5479335277585,907.2623523293407,2174.087307112296
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),6024.470787940752,17984.14361972205,24008.6144076628,918.1335497893292,3043.847216062083,10607.763069882987
Electricidad y gas,57035.6513235711,20867.282754799195,77902.93407837028,2169.3425106385093,0.2352885678410534,40569.532851934426
Construcción,24201.78357642741,142298.81516993494,166500.59874636235,5738.586137317672,391.54700469970754,85373.41242676692
Transporte,87956.13430472082,66937.66710839742,154893.80141311826,6239.970594788024,7262.902841567988,76505.53326797484
Correo y telecomunicaciones,17612.96683257179,18452.140240045755,36065.107072617546,1678.0120597375458,532.9699282646187,19679.006157159813
Finanzas y seguros,68340.61683369195,51932.28043287654,120272.8972665685,3115.544867302872,1050.96009361744,78802.29581284523
Servicios a empresas de todo tipo,172255.75585447185,137443.34613715118,309699.10199162306,5954.521354995304,12075.562851309776,212627.9810601473
Otros servicios,139029.6405455816,588853.5317537549,727883.1722993365,12973.017577348508,8238.31116449833,495912.22709673643
