Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,1448.5363871021582,784.0610073400371,2232.5973944421953,155.5579871306213,260.63045151252595,1373.244478225708
Caza y pesca,48.76173069785935,13.524209867797362,62.28594056565671,1.6196834522557495,5.988383809404297,35.35103765130043
Minería (energía),0.0,0.0,0.0,0.0,0.0,0.0
Minería (no energía),48.023151740775454,13.050370000637878,61.07352174141334,5.861552544375255,5.23845364465694,28.885421991348267
Carne y derivados,202.33343325362503,1151.428186798603,1353.761620052228,26.925231243746765,783.4380955970817,218.9499797821045
"Molinería, panadería y pastas",92.86735347061361,452.3765657045704,545.2439191751839,21.773708457239728,169.74057055357332,130.35945653915405
Azúcar y productos de confitería,6.886118573987818,70.16592999585333,77.05204856984115,12.577108039941486,25.427646766553405,46.59028774499893
Otros productos alimenticios,200.39077224044604,782.8594095990132,983.2501818394593,103.91833135275971,555.1309414160672,357.1400697231293
Bebidas,90.8558785425978,205.396376717262,296.2522552598598,26.941247536082564,84.79782407937758,105.75025916099548
Productos de tabaco,0.0,55.54152195492752,55.54152195492752,15.259702248411967,36.36777865001932,19.58839059737511
Textiles,68.50228036525728,227.28342200722398,295.78570237248124,67.19187141886945,201.32850854255526,108.34223079681396
Confecciones,42.66146682276237,217.2370109441439,259.89847776690624,33.22831526607021,105.21616221313938,94.15031623840332
Calzado,26.45355155437741,277.85510643745386,304.30865799183124,86.55832527521599,258.6626278190875,46.60634322464466
Madera y productos de madera y corcho,87.83084606911162,81.19525856463535,169.02610463374697,12.816329602404059,82.67494362872019,88.94489988684654
"Pulpa de madera, papel, imprentas y editoriales",210.5779975215093,107.93406587536181,318.5120633968711,63.612084590424814,79.02546069744265,117.02180033922195
"Coque, petróleo refinado y combustible nuclear",598.789044774034,375.0716826772419,973.8607274512759,702.5895813944405,259.5325162891884,139.4710578918457
Productos químicos básicos,167.78209688599395,99.0575247414996,266.83962162749356,102.5688592975826,75.15533624618072,40.36442804336548
Otros productos químicos (excluye farmacéuticos),116.65990369094037,73.00390904895602,189.6638127398964,55.40456159012088,64.7724414120105,54.86103764176369
Productos farmacéuticos,88.06390122160275,83.47522210548767,171.5391233270904,61.384040681524674,67.92886625851943,55.893781900405884
Productos de caucho y plástico,150.63322719854975,139.38056613462624,290.01379333317595,111.91238656351122,77.44110662032449,94.80521988868713
Productos minerales no metálicos,164.66698233360086,31.272146335215808,195.93912866881666,23.46680557835328,27.468642051725624,68.60478603839874
Hierro y acero,29.397269365090445,29.540284980040283,58.93755434513072,7.977897120971434,32.109908142447004,31.25363777950406
Metales no ferrosos,58.897486286698765,59.74471411828839,118.64220040498715,16.19754854768825,53.20001517623089,62.4536375887692
Productos fabricados de metal (excepto maquinarias y equipos),147.5196396502012,44.25198292066216,191.77162257086334,35.418820800241264,8.445374238571855,69.09056693315506
Maquinarias y equipos (excluye maquinaria eléctrica),42.99104264435515,25.000765825123764,67.99180846947891,10.4399104749012,17.784106077620233,31.772189423441887
Equipos de oficina (incluye equipo computacional),17.690821182137082,9.503319454619657,27.19414063675674,6.505283989405402,1.4955117571753223,4.625087354332209
Maquinarias y aparatos eléctricos,40.17640237040372,21.267400153926253,61.443802524329975,10.932195807575592,8.200304416450004,23.51627843081951
"Radio, televisión y equipos de telecomunicaciones",2.541528773697439,6.282089863756023,8.823618637453462,2.0305159316128663,6.8343734423519695,2.339839547756128
Equipo médico e instrumentos ópticos y de precisión,33.44179069718715,18.612886233767476,52.05467693095463,8.23451811364675,6.538227409221828,23.48631802946329
"Vehículos de motor, remolques y semirremolques",34.04632454156516,67.91547614994967,101.96180069151484,41.978091803980504,59.62758203572649,24.061352014541626
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.002286379886950408,0.0
Otro equipo de transporte,19.551445842091802,41.32619893138124,60.87764477347304,21.362593842493993,5.336153942784899,21.234220027923584
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),45.092222281574024,134.9575065723754,180.04972885394943,39.84534242906136,45.692105779593234,68.73118814826012
Electricidad y gas,262.4330276380873,335.7390786582799,598.1721062963672,48.0315965871638,10.50693448142556,411.1282768249512
Construcción,880.1342634239879,1465.7488788007502,2345.883142224738,170.6684435257195,4.003200935520056,878.0188493728638
Transporte,628.3839697824445,1109.8349581717844,1738.2189279542288,379.94109585242484,574.0297028471126,816.1570873260498
Correo y telecomunicaciones,283.27284312493884,454.43746224700345,737.7103053719424,42.17309698005444,13.61550449273759,519.8135356903076
Finanzas y seguros,724.8878583300753,454.6503325498743,1179.5381908799495,46.35623029364484,209.741227894565,867.6709594726562
Servicios a empresas de todo tipo,590.6392959666562,321.4637734394466,912.1030694061027,39.98349031721997,294.05984815564494,568.2494616508484
Otros servicios,1786.63910094314,8387.420826118123,10174.059927061262,300.1941251526366,240.54575422096383,6677.2205810546875
