Sector,Demanda Intermedia,Demanda Final,Producción Final,Importaciones,Exportaciones,Valor Agregado
Agricultura y forestal,5338.946332101379,3884.490878729786,9223.437210831165,375.53450481268584,41.28294414201943,4814.523765563965
Caza y pesca,195.9862022245502,369.5817356369232,565.5679378614735,14.78380259209497,12.727996663605154,444.29743909835815
Minería (energía),11197.86716345225,36809.83680253624,48007.70396598849,646.7256537661497,35968.229247211595,41689.62129211426
Minería (no energía),706.2589274548089,785.6581259600857,1491.9170534148948,113.96385311954829,380.4092399189285,902.4276428222656
Carne y derivados,1332.2790125775841,3164.9702980297016,4497.249310607285,223.65212460304028,1.4972441555914884,894.1478881835938
"Molinería, panadería y pastas",1246.6133020161246,3926.3961429962173,5173.009445012342,382.77997751400517,51.05509049341411,2134.348617553711
Azúcar y productos de confitería,379.2556811157547,184.58170832444145,563.8373894401961,61.15814027873556,6.853917800355703,216.91371250152588
Otros productos alimenticios,2191.7040943898646,1911.4485365234696,4103.152630913334,631.6057078315914,121.16639916586595,1315.2447891235352
Bebidas,1192.8219021007637,1083.8030145949372,2276.6249166957014,264.1644309670626,84.5053399057209,1080.0824279785156
Productos de tabaco,21.435093472925196,262.524417023005,283.9595104959302,38.203454805139806,116.78439251721227,144.15528059005737
Textiles,751.870385204201,937.448024945883,1689.3184101500842,275.4105447816017,23.04071218040812,788.135046005249
Confecciones,59.29718344880807,46.46746941850311,105.76465286731118,23.897605575437705,9.660401123089727,30.608100414276123
Calzado,54.69780970736909,361.4187054719181,416.11651517928715,111.43451536499843,5.5681509132321025,165.37773036956787
Madera y productos de madera y corcho,413.6617953019511,119.47069554318473,533.1324908451359,46.10390040561644,48.10349610099184,212.56647968292236
"Pulpa de madera, papel, imprentas y editoriales",2041.1718644816974,2202.888360907011,4244.060225388708,605.2835999860156,46.10968387385119,2033.036922454834
"Coque, petróleo refinado y combustible nuclear",796.1925337272743,13652.063811809361,14448.256345536636,1456.2746508915845,11510.242477295817,2316.3043518066406
Productos químicos básicos,1887.542605071559,1121.388970747777,3008.931575819336,280.48170793127343,1183.9171164749555,1350.2741012573242
Otros productos químicos (excluye farmacéuticos),1405.7963324605644,839.9654201873773,2245.7617526479416,484.4836384418263,130.87265235392215,944.442440032959
Productos farmacéuticos,210.2083272963255,1141.7695004479056,1351.977827744231,207.70090147915215,43.087280868190604,730.3523483276367
Productos de caucho y plástico,1236.3567374796758,571.0277233084703,1807.384460788146,251.5913238117093,147.63313411209506,833.4795074462891
Productos minerales no metálicos,1494.6857069744417,351.82968948107185,1846.5153964555136,108.64195257119113,187.0313486915869,688.9092292785645
Hierro y acero,1793.563449620727,2740.928425270943,4534.49187489167,460.3457235368078,2168.4349718337003,2013.2014083862305
Metales no ferrosos,846.4622028376597,1298.6614575932015,2145.1236604308606,201.7524764130571,1255.1715963915246,802.106448173523
Productos fabricados de metal (excepto maquinarias y equipos),1493.5630936960874,899.6682212963885,2393.2313149924757,227.53417778197402,256.19600778756563,949.6739540100098
Maquinarias y equipos (excluye maquinaria eléctrica),709.7497419500304,304.89519714161077,1014.644939091641,275.3478530609036,86.69145653342838,430.5950241088867
Equipos de oficina (incluye equipo computacional),6.2116552340250735,2.5332071961202414,8.744862430145314,1.260828317637884,0.298420857711714,2.8263943195343018
Maquinarias y aparatos eléctricos,456.68607279773624,404.8710317352221,861.5571045329583,211.58995377311822,93.1185567708442,352.3586006164551
"Radio, televisión y equipos de telecomunicaciones",0.0,0.0,0.0,0.0,0.12213487107439455,0.0
Equipo médico e instrumentos ópticos y de precisión,113.30692207671765,-45.11372256206211,68.19319951465556,7.1742440653266435,6.248366595281276,25.738410353660583
"Vehículos de motor, remolques y semirremolques",656.3906054237459,2472.862046865733,3129.2526522894786,2106.615487225623,418.9638529990291,766.7223205566406
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.004400231263844034,0.0
Otro equipo de transporte,15.925045740849177,74.83212195144704,90.75716769229622,5.528662220881232,143.66835205661167,35.74519217014313
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),901.3274304784538,719.9678567242618,1621.2952872027156,34.98714217430139,29.033830806034867,765.3177852630615
Electricidad y gas,1944.5991793527692,630.4980637108168,2575.097243063586,88.96527390758148,5.686485752463341,1798.5922222137451
Construcción,1468.5456600928767,14181.17293648518,15649.718596578055,1051.1882653640744,4.000554392559511,9266.87580871582
Transporte,3604.354402713779,4519.29808295762,8123.6524856713995,263.8046032195348,6.704037021281692,4018.282539367676
Correo y telecomunicaciones,1343.9816241972103,3606.2276241665563,4950.209248363766,708.6576503806577,0.4069190798245401,3574.898147583008
Finanzas y seguros,3582.0676995152203,1188.2955515615195,4770.36325107674,530.9209065063696,5.718899948867453,2315.0525970458984
Servicios a empresas de todo tipo,7036.19478629647,5316.896162873012,12353.090949169482,662.1337211575479,31.18807271666109,9453.738403320312
Otros servicios,8197.59459583814,41120.63716047384,49318.23175631197,1609.921526862312,1.8736522672104314,32419.6787109375
