Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Agricultura y forestal,1047.1696975618645,Otros servicios,4239.067264595693,Otros servicios,4653.034886558856,Transporte,319.5271878452272,Minería (energía),1029.4499253240642,Otros servicios,2982.4572374224663
Transporte,827.2669064806388,Transporte,959.8715895050908,Transporte,1787.1384959857296,Otros servicios,270.0341620244343,Otros productos alimenticios,823.2489825484599,Agricultura y forestal,1130.3819686174393
Minería (energía),546.1368562994264,Minería (energía),933.65927624394,Agricultura y forestal,1669.750885171511,Minería (energía),165.2507740814208,Minería (no energía),343.0590261014278,Transporte,985.4101219177246
Otros servicios,413.96762196316206,Agricultura y forestal,622.5811876096469,Minería (energía),1479.7961325433664,Agricultura y forestal,94.43687170815168,Agricultura y forestal,147.75369752328365,Minería (energía),606.3966732025146
Servicios a empresas de todo tipo,329.99474393912067,Construcción,550.4155439595987,Otros productos alimenticios,645.3536021986172,Construcción,85.26144601629757,Metales no ferrosos,117.59209966435404,Minería (no energía),329.6324045062065
"Coque, petróleo refinado y combustible nuclear",300.3694520950908,Otros productos alimenticios,548.1510716964651,Construcción,569.9966166923251,Minería (no energía),68.73353691329372,Transporte,108.5907977593597,Finanzas y seguros,312.70557975769043
Productos minerales no metálicos,206.37138361457156,Carne y derivados,432.4321671059108,"Molinería, panadería y pastas",551.2875801564271,Otros productos alimenticios,54.87849373477932,Otros servicios,96.54821748823088,Servicios a empresas de todo tipo,238.8913326263428
Minería (no energía),174.13089483474806,"Molinería, panadería y pastas",419.0157561093063,"Coque, petróleo refinado y combustible nuclear",541.6325228222757,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),41.33010478155951,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),76.30467614477087,Electricidad y gas,220.6122785806656
Electricidad y gas,152.7836212689369,Finanzas y seguros,357.6790599066403,Carne y derivados,516.394840611435,"Molinería, panadería y pastas",40.75530972794449,Madera y productos de madera y corcho,68.74800670167663,Correo y telecomunicaciones,188.30023574829104
Bebidas,151.3000736443496,Minería (no energía),323.2276712275153,Minería (no energía),497.3585660622634,Finanzas y seguros,37.113073559123166,Confecciones,60.37669258293392,Construcción,187.9063228936866
Correo y telecomunicaciones,132.4609360133041,"Coque, petróleo refinado y combustible nuclear",241.2630707271851,Finanzas y seguros,456.48261754177673,Bebidas,33.16228045282992,Finanzas y seguros,58.00292091537267,"Coque, petróleo refinado y combustible nuclear",173.81901895999908
"Molinería, panadería y pastas",132.27182404712073,Correo y telecomunicaciones,219.02270769102924,Servicios a empresas de todo tipo,380.67871969107455,"Pulpa de madera, papel, imprentas y editoriales",30.4779781858033,"Molinería, panadería y pastas",44.481223530828885,Otros productos químicos (excluye farmacéuticos),173.4401731491089
Finanzas y seguros,98.8035576351364,Electricidad y gas,200.7983414280111,Electricidad y gas,353.581962696948,Servicios a empresas de todo tipo,30.280359484058437,Textiles,33.61784225883687,Carne y derivados,132.18664056062698
Otros productos alimenticios,97.20253050215211,Bebidas,187.81109488834412,Correo y telecomunicaciones,351.48364370433336,Textiles,26.449222296481786,Bebidas,29.40749015690791,"Molinería, panadería y pastas",130.65813863277435
Madera y productos de madera y corcho,96.14770640717074,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),187.498180786606,Bebidas,339.11116853269374,"Coque, petróleo refinado y combustible nuclear",22.987966858659863,"Coque, petróleo refinado y combustible nuclear",26.522738485109493,Otros productos alimenticios,124.33232867717744
Textiles,96.00980157536202,Otros productos químicos (excluye farmacéuticos),173.92313925790432,Madera y productos de madera y corcho,266.0893454972739,Confecciones,22.074511682377945,Calzado,26.029368676617253,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),123.15924090147018
Metales no ferrosos,87.30456592397684,Madera y productos de madera y corcho,169.9416390901032,Productos minerales no metálicos,241.29033661784,Correo y telecomunicaciones,21.13721941787176,Azúcar y productos de confitería,22.65713893506319,Bebidas,122.64169585704803
