Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Servicios a empresas de todo tipo,115449.80475024646,Otros servicios,319751.52867276565,Otros servicios,376657.9377686415,"Coque, petróleo refinado y combustible nuclear",8226.258490458014,Servicios a empresas de todo tipo,11057.818337952427,Otros servicios,256908.6787109375
Otros servicios,56906.40909587577,Servicios a empresas de todo tipo,125340.94517402614,Servicios a empresas de todo tipo,240790.74992427265,"Vehículos de motor, remolques y semirremolques",6016.160168256746,"Vehículos de motor, remolques y semirremolques",11046.232935840822,Servicios a empresas de todo tipo,169229.81176757812
Agricultura y forestal,50084.704522674976,Construcción,58149.43988211432,Finanzas y seguros,81701.85931902546,Otros servicios,5185.916608989865,Hierro y acero,8744.230090945512,Finanzas y seguros,55894.150390625
Transporte,42645.0050156096,Finanzas y seguros,39251.563706965,Agricultura y forestal,72418.33592663608,Productos químicos básicos,4828.679235685289,Minería (no energía),7533.252539886713,Agricultura y forestal,41730.46110534668
Finanzas y seguros,42450.29561206047,Otros productos alimenticios,38402.48282274495,Transporte,71798.61853669077,Servicios a empresas de todo tipo,4583.600815608926,Otros productos alimenticios,7527.526995548325,Construcción,41385.57467651367
"Coque, petróleo refinado y combustible nuclear",35164.640019717386,"Vehículos de motor, remolques y semirremolques",33071.803486941884,Construcción,68616.90626602822,"Radio, televisión y equipos de telecomunicaciones",3863.4062290850807,Agricultura y forestal,7492.046275485592,Transporte,38722.72994995117
Electricidad y gas,35117.49556769635,Transporte,29153.613521081174,Otros productos alimenticios,58772.1835826858,Otros productos químicos (excluye farmacéuticos),3354.172232300942,Carne y derivados,7190.659052426775,Electricidad y gas,26470.90869140625
Otros productos químicos (excluye farmacéuticos),26670.2267351298,Agricultura y forestal,22333.631403961102,"Vehículos de motor, remolques y semirremolques",51330.51169923239,Hierro y acero,3336.3453402966925,Maquinarias y equipos (excluye maquinaria eléctrica),6502.500882963601,Otros productos alimenticios,14669.426971435549
Minería (energía),24280.727117975683,Carne y derivados,21562.60239649136,"Coque, petróleo refinado y combustible nuclear",51031.79297550881,Minería (energía),2258.1693673245263,Otros servicios,5801.8290366441,Minería (energía),12980.14907836914
