Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otros servicios,4755.079736792591,Otros servicios,15977.864295294628,Otros servicios,20732.944032087216,"Coque, petróleo refinado y combustible nuclear",953.109262470455,Minería (energía),5430.702914850853,Otros servicios,14391.218055725098
Servicios a empresas de todo tipo,3192.4921759106546,Construcción,5420.632308965223,Minería (energía),6442.3915484645,Otros servicios,696.8612842545581,Agricultura y forestal,1601.458499476042,Minería (energía),3647.840206861496
Transporte,3094.786796233152,Minería (energía),4974.130379359422,Construcción,6012.777755941901,Transporte,559.2989392816867,Otros productos alimenticios,1564.187792200701,Agricultura y forestal,3381.037489414215
Agricultura y forestal,2673.247206722932,Agricultura y forestal,2964.5712634394117,Agricultura y forestal,5637.818470162343,"Vehículos de motor, remolques y semirremolques",366.6859693813242,"Coque, petróleo refinado y combustible nuclear",1007.031193582162,Transporte,3043.3839111328125
Electricidad y gas,1611.6545806272543,Otros productos alimenticios,2656.1080313748143,Transporte,5078.099264713867,Productos de caucho y plástico,292.52677577814734,"Vehículos de motor, remolques y semirremolques",298.3187594303592,Construcción,2923.5727356672287
Minería (energía),1468.261169105079,Transporte,1983.3124684807149,Servicios a empresas de todo tipo,3464.298620860028,Agricultura y forestal,290.25333477575225,Azúcar y productos de confitería,162.80741034689535,Servicios a empresas de todo tipo,2493.5916372537613
Finanzas y seguros,1229.7850966450844,"Coque, petróleo refinado y combustible nuclear",1280.8909283066869,Otros productos alimenticios,3297.2568501107967,Construcción,288.7819550090636,Madera y productos de madera y corcho,114.58027113577764,Correo y telecomunicaciones,1149.607423067093
"Coque, petróleo refinado y combustible nuclear",1151.756412417362,Correo y telecomunicaciones,1279.78848708285,"Coque, petróleo refinado y combustible nuclear",2432.647340724049,Otros productos alimenticios,280.68968443825327,Metales no ferrosos,110.29892042632784,Finanzas y seguros,1053.6518306732178
Madera y productos de madera y corcho,907.4289157851416,Carne y derivados,1067.8656684886669,Electricidad y gas,2100.0074243451254,Maquinarias y equipos (excluye maquinaria eléctrica),240.0123196705956,Otros servicios,94.33364069024856,Otros productos alimenticios,834.2068901062012
Productos minerales no metálicos,846.1889237767331,"Molinería, panadería y pastas",1005.8676234775796,Finanzas y seguros,1806.8507957800675,Electricidad y gas,207.8770879392327,Maquinarias y equipos (excluye maquinaria eléctrica),84.16392789912572,"Coque, petróleo refinado y combustible nuclear",723.466570854187
Caza y pesca,650.3126787198477,"Vehículos de motor, remolques y semirremolques",747.4125754295102,Correo y telecomunicaciones,1765.3882392974292,Productos fabricados de metal (excepto maquinarias y equipos),163.30970412029257,Transporte,61.27713218232759,Madera y productos de madera y corcho,553.0732817649841
Otros productos alimenticios,641.1488187359821,Bebidas,635.2038924255478,Carne y derivados,1311.952779983253,Otros productos químicos (excluye farmacéuticos),154.12381378015235,"Molinería, panadería y pastas",55.021271865902776,Caza y pesca,542.5712345838547
Construcción,592.1454469766783,Finanzas y seguros,577.0656991349831,"Molinería, panadería y pastas",1174.211905231822,"Pulpa de madera, papel, imprentas y editoriales",145.15819109740298,Textiles,53.01948786718904,Electricidad y gas,514.8089941740036
"Pulpa de madera, papel, imprentas y editoriales",564.9458600920336,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),561.1385079867317,Madera y productos de madera y corcho,1090.8837863945048,Hierro y acero,139.64066539196008,Servicios a empresas de todo tipo,51.03704993150484,Productos minerales no metálicos,451.45221841335297
Correo y telecomunicaciones,485.5997522145792,Confecciones,491.2106488722643,Productos minerales no metálicos,911.4988266766724,Minería (energía),120.10885389515042,Bebidas,48.722475842604965,Otros productos químicos (excluye farmacéuticos),396.88933873176575
Productos de caucho y plástico,482.09585002216727,Azúcar y productos de confitería,488.74111505300914,Caza y pesca,882.0523289137144,"Molinería, panadería y pastas",114.45731935482335,Productos de caucho y plástico,45.85163913555527,"Pulpa de madera, papel, imprentas y editoriales",340.5599602460861
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),319.5198375185675,Electricidad y gas,488.3528437178712,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),880.6583455052992,Textiles,79.1945746976316,Productos minerales no metálicos,43.24796782585642,"Molinería, panadería y pastas",270.7639203071594
Otros productos químicos (excluye farmacéuticos),307.4679005197237,Otros productos químicos (excluye farmacéuticos),426.0144082929995,"Vehículos de motor, remolques y semirremolques",863.386298667118,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),71.71438137177597,Maquinarias y aparatos eléctricos,42.40887014134555,Carne y derivados,257.3605238199234
Textiles,292.33007329984906,Maquinarias y equipos (excluye maquinaria eléctrica),368.17459693620776,"Pulpa de madera, papel, imprentas y editoriales",831.9261703452748,Caza y pesca,69.65389280310686,Caza y pesca,41.1976997663761,Bebidas,257.13139724731445
Hierro y acero,275.99905793865264,Servicios a empresas de todo tipo,271.8064449493731,Otros productos químicos (excluye farmacéuticos),733.4823088127232,Productos minerales no metálicos,61.3712772346512,Productos químicos básicos,40.32162654271744,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),218.7834939956665
Carne y derivados,244.08711149458617,Productos fabricados de metal (excepto maquinarias y equipos),269.7129260691514,Bebidas,686.0113108263548,Servicios a empresas de todo tipo,60.17424497385598,"Pulpa de madera, papel, imprentas y editoriales",40.1449691882746,Azúcar y productos de confitería,208.23146843910217
Minería (no energía),184.66244185379844,"Pulpa de madera, papel, imprentas y editoriales",266.9803102532412,Productos de caucho y plástico,681.9303237134421,Productos químicos básicos,59.92992125601827,Otros productos químicos (excluye farmacéuticos),38.068034816614905,Confecciones,203.47298729419708
"Molinería, panadería y pastas",168.3442817542425,Caza y pesca,231.7396501938668,Azúcar y productos de confitería,646.4538939590484,Correo y telecomunicaciones,53.00879986206792,Confecciones,37.297851869706015,Productos de caucho y plástico,192.8976783752441
Azúcar y productos de confitería,157.7127789060393,Textiles,206.26380581783656,Confecciones,538.2364789057576,"Radio, televisión y equipos de telecomunicaciones",50.86743147678708,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),35.61363202830108,Textiles,185.63297200202945
Productos químicos básicos,146.75832317124463,Productos de caucho y plástico,199.83447369127484,Textiles,498.5938791176857,Productos farmacéuticos,50.68230963184482,Calzado,32.94114820458624,"Vehículos de motor, remolques y semirremolques",135.48779797554016
Productos fabricados de metal (excepto maquinarias y equipos),127.9689601798316,Madera y productos de madera y corcho,183.45487060936333,Maquinarias y equipos (excluye maquinaria eléctrica),489.75508332361824,Confecciones,47.05501208434772,Productos farmacéuticos,32.1608520669007,Minería (no energía),129.1710801422596
Maquinarias y equipos (excluye maquinaria eléctrica),121.58048638741047,Calzado,179.08149890948923,Productos fabricados de metal (excepto maquinarias y equipos),397.6818862489831,Bebidas,46.950647021438506,Hierro y acero,25.26072110741169,Maquinarias y equipos (excluye maquinaria eléctrica),125.30873119831084
"Vehículos de motor, remolques y semirremolques",115.97372323760776,Metales no ferrosos,169.41691800947302,Hierro y acero,340.9578451095292,Maquinarias y aparatos eléctricos,45.96422640748897,Finanzas y seguros,23.64120428797903,Productos fabricados de metal (excepto maquinarias y equipos),105.12095081806184
Maquinarias y aparatos eléctricos,102.25393772881895,Maquinarias y aparatos eléctricos,159.37704589523048,Maquinarias y aparatos eléctricos,261.63098362404946,Metales no ferrosos,38.72746527333871,Equipo médico e instrumentos ópticos y de precisión,16.076963792713276,Productos farmacéuticos,68.89419201016426
Productos farmacéuticos,79.93306931389246,Equipo médico e instrumentos ópticos y de precisión,89.89583724474664,Calzado,245.62588913327497,Equipo médico e instrumentos ópticos y de precisión,28.7106903159562,Productos fabricados de metal (excepto maquinarias y equipos),13.29773680266871,Calzado,68.70654511451721
Calzado,66.54439022378574,Productos farmacéuticos,89.7539816754194,Metales no ferrosos,231.3507187928512,Azúcar y productos de confitería,27.48343109728457,Otro equipo de transporte,12.48970784093066,Maquinarias y aparatos eléctricos,57.17694738507271
Metales no ferrosos,61.93380078337818,"Radio, televisión y equipos de telecomunicaciones",85.4541098791809,Minería (no energía),189.1780799642478,Calzado,23.056390424429797,"Radio, televisión y equipos de telecomunicaciones",11.882794800044415,Hierro y acero,52.589868277311325
Equipo médico e instrumentos ópticos y de precisión,57.31079643782604,Productos minerales no metálicos,65.30990289993943,Productos farmacéuticos,169.68705098931184,Madera y productos de madera y corcho,22.173354360373025,Productos de tabaco,7.339321973227925,Metales no ferrosos,43.03022687137127
Bebidas,50.80741840080694,Hierro y acero,64.95878717087655,Productos químicos básicos,158.9977215802449,Finanzas y seguros,19.39885194875734,Construcción,5.995406084504793,Productos químicos básicos,31.121728911995888
