Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otros servicios,1498.6260612507242,Otros servicios,2880.3229057641674,Otros servicios,4378.948967014891,Transporte,331.3234962546392,Agricultura y forestal,759.3178992035303,Otros servicios,2788.337890625
Agricultura y forestal,1288.2035603371137,Maquinarias y equipos (excluye maquinaria eléctrica),1123.072670755664,Agricultura y forestal,2313.3956116426707,Otros servicios,141.5848663143443,Maquinarias y equipos (excluye maquinaria eléctrica),444.8818589552017,Agricultura y forestal,1597.7996215820312
Transporte,565.2527934794559,Agricultura y forestal,1025.1920513055568,Maquinarias y equipos (excluye maquinaria eléctrica),1161.732117440313,Agricultura y forestal,112.38231894319884,Bebidas,381.484495489116,Maquinarias y equipos (excluye maquinaria eléctrica),911.4827194213868
Servicios a empresas de todo tipo,262.04905224424886,Carne y derivados,844.8017749568227,Transporte,1073.5500874113343,Otros productos alimenticios,72.41723251799985,Otros productos alimenticios,344.26498029312825,"Coque, petróleo refinado y combustible nuclear",704.9130172729492
Correo y telecomunicaciones,237.13094498275584,Construcción,775.5670543668398,Carne y derivados,952.9176312286962,Maquinarias y equipos (excluye maquinaria eléctrica),48.07909693682873,Productos de tabaco,262.69862246513367,Transporte,422.30562591552734
"Coque, petróleo refinado y combustible nuclear",227.2837315033572,Otros productos alimenticios,633.5752568365627,"Coque, petróleo refinado y combustible nuclear",848.4702093759831,Bebidas,47.74168519053322,Electricidad y gas,209.82549762702547,Construcción,327.3546295166016
Finanzas y seguros,215.26167355912835,"Coque, petróleo refinado y combustible nuclear",621.1864778726259,Construcción,808.9030580862858,Construcción,44.09425891288811,Carne y derivados,169.89165532248094,Bebidas,321.0448775291443
Electricidad y gas,165.19104481309782,Bebidas,526.329856264968,Otros productos alimenticios,797.3962454112536,Hierro y acero,37.37707372301476,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),104.04493970068114,Servicios a empresas de todo tipo,272.4027671813965
Otros productos alimenticios,163.82098857469094,Transporte,508.2972939318786,Bebidas,601.4486438623125,Productos farmacéuticos,35.89773035683186,Otro equipo de transporte,94.23869073714484,Productos farmacéuticos,243.27352571487427
Textiles,145.5695158846053,Productos de tabaco,349.4269857239356,Textiles,413.2037644288026,Electricidad y gas,32.46297125574584,Calzado,81.79333603539627,Electricidad y gas,219.5810089111328
Productos minerales no metálicos,142.79289110122178,Textiles,267.63424854419725,Servicios a empresas de todo tipo,407.13102439108616,Productos de tabaco,32.33867366122891,Madera y productos de madera y corcho,76.97681063141965,Productos de tabaco,213.13962084054947
"Pulpa de madera, papel, imprentas y editoriales",127.31800718909616,Productos farmacéuticos,240.55186707811615,Productos de tabaco,399.297861350126,"Pulpa de madera, papel, imprentas y editoriales",24.418045172108272,Confecciones,36.31680672988296,Correo y telecomunicaciones,208.9545669555664
Productos farmacéuticos,115.96262099702074,Otro equipo de transporte,225.8678261320408,Correo y telecomunicaciones,382.1477559187062,Productos minerales no metálicos,22.511065420504668,Textiles,27.340956424125338,Carne y derivados,192.52848863601685
Carne y derivados,108.11585627187353,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),205.98309160698432,Productos farmacéuticos,356.5144880751369,Productos de caucho y plástico,17.582561328405262,Hierro y acero,27.08775957967751,Otro equipo de transporte,182.29653549194336
"Molinería, panadería y pastas",77.48476931343852,Madera y productos de madera y corcho,195.6511517083944,Electricidad y gas,334.49286636554064,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),16.103207957720038,Otros productos químicos (excluye farmacéuticos),19.666124776414183,Finanzas y seguros,180.6134033203125
Hierro y acero,77.44881954780168,Electricidad y gas,169.3018215524428,"Pulpa de madera, papel, imprentas y editoriales",291.79638446021454,Textiles,13.296211711961602,Azúcar y productos de confitería,17.281686941843326,Otros productos alimenticios,177.62465929985046
Bebidas,75.11878759734441,"Pulpa de madera, papel, imprentas y editoriales",164.47837727111838,Finanzas y seguros,263.6762026330645,Otro equipo de transporte,12.480416479626394,Productos farmacéuticos,16.19768533413579,Textiles,171.2304401397705
Azúcar y productos de confitería,68.15359108401206,Servicios a empresas de todo tipo,145.08197214683727,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),257.3105847454533,Carne y derivados,11.833935239265127,"Radio, televisión y equipos de telecomunicaciones",13.103418298523986,"Pulpa de madera, papel, imprentas y editoriales",139.8270721435547
Confecciones,60.73379265119661,Correo y telecomunicaciones,145.01681093595036,Madera y productos de madera y corcho,243.93545685659595,Correo y telecomunicaciones,10.8173495655827,Productos químicos básicos,12.321254964949642,Hierro y acero,128.4868483543396
Productos de caucho y plástico,56.203790470098966,"Molinería, panadería y pastas",133.11027897767832,Otro equipo de transporte,232.23447895745983,Productos químicos básicos,9.276632651952513,Productos fabricados de metal (excepto maquinarias y equipos),11.284829874194926,Productos de caucho y plástico,119.15438067913055
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),51.32749313846905,Productos de caucho y plástico,118.41555064670423,"Molinería, panadería y pastas",210.59504829111685,Azúcar y productos de confitería,9.16253981964822,Maquinarias y aparatos eléctricos,10.4531303263584,Productos minerales no metálicos,74.05901622772217
Productos de tabaco,49.87087562619037,Confecciones,107.87422968427124,Hierro y acero,184.3444339966447,Otros productos químicos (excluye farmacéuticos),7.938751700538773,Productos de caucho y plástico,7.584152829527453,Productos químicos básicos,73.72677445411682
Madera y productos de madera y corcho,48.28430514820152,Hierro y acero,106.89561444884303,Productos de caucho y plástico,174.6193411168032,Madera y productos de madera y corcho,6.950177909200543,Transporte,5.827906374073791,Productos fabricados de metal (excepto maquinarias y equipos),71.21717739105225
Maquinarias y equipos (excluye maquinaria eléctrica),38.65944668464881,Azúcar y productos de confitería,94.92232471294425,Productos minerales no metálicos,170.00978589437315,Servicios a empresas de todo tipo,6.490952792822734,Servicios a empresas de todo tipo,5.663227619370446,Madera y productos de madera y corcho,70.3181266784668
Productos químicos básicos,35.07793779037447,Calzado,88.8653529907679,Confecciones,168.6080223354678,Confecciones,6.096981871468369,Equipos de oficina (incluye equipo computacional),4.896193755318026,Confecciones,69.93919277191162
Construcción,33.336003719446005,Productos fabricados de metal (excepto maquinarias y equipos),83.22872210278089,Azúcar y productos de confitería,163.07591579695628,"Coque, petróleo refinado y combustible nuclear",4.510216450423276,Metales no ferrosos,4.753315372211239,Otros productos químicos (excluye farmacéuticos),60.32190364599228
Calzado,33.03850584980243,Productos químicos básicos,73.0472199716855,Calzado,121.90385884057036,Metales no ferrosos,3.5205610153275333,"Pulpa de madera, papel, imprentas y editoriales",4.178508547499888,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),58.20713138580322
