Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
40,29837.5546354985,40,66032.07500045671,40,95869.6296359552,35,2814.311161250171,8,10301.2033157808,40,63321.4776000977
1,17388.0745450957,35,22872.52018758152,35,28617.7993598505,40,2038.019269082157,1,5409.57238270712,1,14753.5988121033
36,13020.6846541915,8,14588.99080773896,1,24128.5837112061,30,1099.951032046581,16,4379.74584938939,35,10937.6398925781
39,8517.34523475102,36,9396.370376429824,36,22417.0550306213,17,1035.060925444153,30,2844.77211725323,36,10198.0111408234
3,7437.85500566288,1,6740.50916611037,8,16768.2226645689,15,1034.87614427404,17,1513.27225659877,3,7983.45018959045
35,5745.27917226901,16,6091.31021705616,3,10999.7603053371,18,1022.934057299296,5,1490.04432285484,39,6302.16554450989
22,5219.98489364695,30,5928.222064208842,39,9790.86288011426,1,911.014438342307,22,1387.50046174495,8,4861.68670654297
38,4481.02580671544,5,4954.636596465358,16,9764.10804352811,36,906.072673267099,18,1308.35448907405,30,4230.87843322754
15,4405.88020805454,18,3844.169504581868,30,8540.9884602431,22,897.1797175081131,4,1255.32503340081,37,4182.31250667572
37,4340.53983343602,37,3749.5823900806736,37,8090.12222351669,25,885.8508625989839,3,1245.17474915152,38,3875.52326703072
34,4234.44008121975,25,3726.835837265446,38,7902.24822198723,20,848.847805878484,36,1179.2686753767,22,3158.32295799255
17,3991.09327907652,6,3672.689767769015,15,6833.37306350812,16,556.931519934619,34,1040.67428922468,18,2629.64065170288
16,3672.79782647196,3,3561.905299674203,18,6743.37340881611,8,525.018226522544,13,891.799560266086,17,2494.10551643372
20,3569.28989776666,38,3421.222415271788,22,6725.54458356915,37,405.3299562340094,40,891.716762075544,34,2284.0567047596
24,3124.91843475133,9,3314.621210933289,34,6128.15146046013,3,363.667231954624,25,789.943923879496,24,1795.2769536972
18,2899.20390423425,20,2519.3117906546204,17,6103.84385331527,34,311.398224598676,20,639.90148705314,25,1695.22714996338
30,2612.76639603426,15,2427.492855453579,20,6088.60168842129,11,306.596912984423,15,588.650903596373,14,1471.5190718174
21,2317.21022490254,19,2315.574384286301,5,6022.49607638538,13,300.61425108186,2,573.392840185978,6,1456.29117774963
8,2179.23185682996,17,2112.750574238752,6,5317.97810179593,9,266.3791339708544,19,445.952753099327,4,1384.21216154099
14,2063.35364439081,34,1893.711379240386,25,5248.38535503061,28,253.28856585681456,23,424.698079157922,15,1382.1421661377
11,1914.49199278013,13,1801.1036950974412,9,4846.96713598071,24,243.207813909446,6,420.039948450211,21,1380.46418190002
6,1645.28833402692,22,1505.559689922196,24,4361.83385847544,12,232.20301644528,9,398.673196935006,19,1321.40124416351
9,1532.34592504742,4,1367.2515906634571,11,2997.80681776887,39,175.0801596650159,11,388.909875990879,11,1293.12633037567
25,1521.54951776516,39,1273.5176453632448,19,2877.10179939161,27,168.3358768177461,39,376.295876813802,9,1176.21169090271
5,1067.85947992003,24,1236.915423724108,14,2811.70003893022,19,166.25162425401962,14,320.923463718102,20,1164.30152893066
13,904.510645260057,33,1165.719653445895,13,2705.6143403575,14,145.0924426276978,24,311.696517973822,16,1087.60374927521
23,885.496718824319,11,1083.3148249887354,21,2650.39324258315,21,121.6411389767616,33,310.529046616545,23,916.076066732407
27,799.984009042046,12,1076.291335629716,4,1923.83300903808,23,110.0790816541289,10,287.619668010325,10,786.778396368027
7,614.534243501156,10,1072.1889171988844,33,1503.56775763687,33,106.3002155822627,7,241.52401472588,27,686.492771148682
19,561.527415105306,14,748.3463945394135,7,1360.31647152258,6,94.9528727733949,27,232.118541429997,7,551.788093566895
4,556.581418374614,7,745.7822280214216,12,1343.27629064223,4,87.6279661023974,21,164.919387619177,33,539.66467666626
33,337.848104190978,2,629.6731257032918,23,1301.60138999045,29,78.84233619511849,37,163.299298740835,2,494.121771275997
12,266.984955012515,27,432.2814266920192,10,1282.27649091617,7,51.3511075112159,29,145.738222348058,13,431.181950569153
28,260.80584062228,23,416.1046711661323,27,1232.26543573407,31,48.73311426124673,38,145.097882077879,5,409.163555264473
10,210.087573717283,21,333.1830176806051,2,785.400252340033,5,46.7278221557065,12,112.836144381726,31,163.01705789566
2,155.727126636741,28,313.941858351959,28,574.747698974239,32,40.9625451036133,28,85.8412514589271,26,131.528923392296
31,134.781194593474,29,254.10070802123155,29,337.10517653511,38,30.17596279154822,31,53.7401563630136,29,116.108692169189
29,83.0044685138783,32,198.619550574032,31,306.56091900693,10,30.079860805080106,26,24.6289361814333,12,92.2971525192261
32,67.5508234194332,31,171.77972441345634,32,266.170373993465,26,16.573501577989067,32,17.1800694985163,28,78.7478704452515
26,66.7306903378768,26,99.26717716812811,26,165.997867506005,2,15.96457752400963,35,4.19433215901881,32,7.4474790096283
