Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
1,1047.1696975618645,40,4239.067264595693,40,4653.034886558856,36,319.5271878452272,3,1029.4499253240642,40,2982.4572374224663
36,827.2669064806388,36,959.8715895050908,36,1787.1384959857296,40,270.0341620244343,8,823.2489825484599,1,1130.3819686174393
3,546.1368562994264,3,933.65927624394,1,1669.750885171511,3,165.2507740814208,4,343.0590261014278,36,985.4101219177246
40,413.96762196316206,1,622.5811876096469,3,1479.7961325433664,1,94.43687170815168,1,147.75369752328365,3,606.3966732025146
39,329.99474393912067,35,550.4155439595987,8,645.3536021986172,35,85.26144601629757,23,117.59209966435404,4,329.6324045062065
16,300.3694520950908,8,548.1510716964651,35,569.9966166923251,4,68.73353691329372,36,108.5907977593597,38,312.70557975769043
21,206.37138361457156,5,432.4321671059108,6,551.2875801564271,8,54.87849373477932,40,96.54821748823088,39,238.8913326263428
4,174.13089483474806,6,419.0157561093063,16,541.6325228222757,33,41.33010478155951,33,76.30467614477087,34,220.6122785806656
34,152.7836212689369,38,357.6790599066403,5,516.394840611435,6,40.75530972794449,14,68.74800670167663,37,188.30023574829104
9,151.3000736443496,4,323.2276712275153,4,497.3585660622634,38,37.113073559123166,12,60.37669258293392,35,187.9063228936866
37,132.4609360133041,16,241.2630707271851,38,456.48261754177673,9,33.16228045282992,38,58.00292091537267,16,173.81901895999908
6,132.27182404712073,37,219.02270769102924,39,380.67871969107455,15,30.4779781858033,6,44.481223530828885,18,173.4401731491089
38,98.8035576351364,34,200.7983414280111,34,353.581962696948,39,30.280359484058437,11,33.61784225883687,5,132.18664056062698
8,97.20253050215211,9,187.81109488834412,37,351.48364370433336,11,26.449222296481786,9,29.40749015690791,6,130.65813863277435
14,96.14770640717074,33,187.498180786606,9,339.11116853269374,16,22.987966858659863,16,26.522738485109493,8,124.33232867717744
11,96.00980157536202,18,173.92313925790432,14,266.0893454972739,12,22.074511682377945,13,26.029368676617253,33,123.15924090147018
23,87.30456592397684,14,169.9416390901032,21,241.29033661784,37,21.13721941787176,7,22.65713893506319,9,122.64169585704803
5,83.96267350552422,12,144.0155735895574,33,212.7539511640121,34,19.235765645302266,37,21.684359970968217,21,105.7051454037428
15,82.63567921052044,7,115.09316722426573,18,197.15390101352563,20,17.481398276566388,39,19.20454679445131,12,86.7019582092762
20,50.83642608990504,23,101.31144098780418,23,188.616006911781,13,16.498877380019938,17,12.407136369398437,14,76.68157862126827
7,36.21598312584296,13,75.54286152548806,11,154.44595402182546,14,15.414653522478392,21,7.459443930293425,11,73.10933580994606
33,25.25577037740613,11,58.43615244646343,12,154.39738476178903,18,9.502667050046602,18,5.53626459734751,23,62.01293635368347
18,23.230761755621305,39,50.68397575195392,7,151.30915035010872,21,8.974889891986297,35,3.9996883030980825,15,57.82164278626442
13,23.183679379368083,15,46.199013844502765,15,128.8346930550232,24,8.360110250026198,20,2.7442165029719527,7,50.02044895291328
35,19.58107273272634,25,38.03519407983215,13,98.72654090485617,19,8.21586345027436,25,2.6893614491730267,13,48.22467456758022
17,16.175652948168047,24,35.00375335894106,20,70.12335961317402,5,6.373496109587196,19,2.6217916597010698,25,38.742074370384216
22,12.263024745331938,21,34.91895300326851,25,42.716622764427385,23,6.114452472231404,5,2.5761028764665355,17,27.640838280320168
12,10.38181117223164,19,30.211023414553807,19,40.2350831263821,7,5.441545340378356,15,2.237001418259321,20,26.49885681271553
19,10.024059711828292,30,28.27091713254847,17,38.23640145671097,17,4.249664715466599,24,2.1552815574290958,30,26.13630704581737
25,4.681428684595238,10,27.60092889836197,24,36.53832021390731,30,2.507306571145508,22,1.8899568812289516,19,19.84590558707714
10,4.303632303918167,17,22.06074850854292,30,32.14251637835508,10,1.908249376928794,27,0.7934841689185661,28,18.494571685791016
30,3.871599245806605,20,19.286933523268974,10,31.90456120228013,25,1.662517351732951,30,0.6906280634900046,10,18.034337144345045
24,1.534566854966247,28,18.494571685791016,22,20.8594688693215,27,1.0980124568546774,10,0.492022440581934,24,16.551964983344078
2,1.418931253829463,27,17.05271185803348,28,18.494571685791016,22,0.743887391936271,29,0.4304704834641558,27,15.54708544909954
27,1.1246433301567078,22,8.596444123989562,27,18.177355188190184,29,0.5699046248929645,34,0.1699934899806976,26,5.627540588378906
29,0.6034241525255015,29,6.254990143053349,29,6.858414295578851,32,0.0811102783104337,26,0.1248428107337453,29,5.495954230427742
31,0.0,26,5.627540588378906,26,5.627540588378906,2,0.0789900027621388,28,0.1220473397409305,22,5.434926941990852
28,0.0,32,1.5487574979720042,2,1.6670960238796353,28,0.0,32,0.0229472759274166,32,1.3544592410326004
26,0.0,2,0.2481647700501724,32,1.5487574979720042,31,0.0,2,0.009655050933361,2,1.23839239962399
32,0.0,31,0.0,31,0.0,26,0.0,31,0.0,31,0.0
