Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
39,115449.80475024646,40,319751.52867276565,40,376657.9377686415,16,8226.258490458014,39,11057.818337952427,40,256908.6787109375
40,56906.40909587577,39,125340.94517402614,39,240790.74992427265,30,6016.160168256746,30,11046.232935840822,39,169229.81176757812
1,50084.704522674976,35,58149.43988211432,38,81701.85931902546,40,5185.916608989865,22,8744.230090945512,38,55894.150390625
36,42645.0050156096,38,39251.563706965,1,72418.33592663608,17,4828.679235685289,4,7533.252539886713,1,41730.46110534668
38,42450.29561206047,8,38402.48282274495,36,71798.61853669077,39,4583.600815608926,8,7527.526995548325,35,41385.57467651367
16,35164.640019717386,30,33071.803486941884,35,68616.90626602822,28,3863.4062290850807,1,7492.046275485592,36,38722.72994995117
34,35117.49556769635,36,29153.613521081174,8,58772.1835826858,18,3354.172232300942,5,7190.659052426775,34,26470.90869140625
18,26670.2267351298,1,22333.631403961102,30,51330.51169923239,22,3336.3453402966925,25,6502.500882963601,8,14669.426971435549
3,24280.727117975683,5,21562.60239649136,16,51031.79297550881,3,2258.1693673245263,40,5801.8290366441,3,12980.14907836914
17,22347.19050484719,25,18610.33513561675,34,48332.62109667159,25,2015.640387389031,16,4501.072951075468,18,11263.613891601562
22,22195.602370193887,16,15867.152955791424,18,37679.921870864855,35,1825.2572783677251,31,4049.399620730844,15,11254.37353515625
8,20369.70075994085,34,13215.12552897524,22,31019.96483202903,34,1784.3628892790716,7,3754.060499272157,24,10075.355209350586
15,18774.64671869865,28,13136.70700697608,3,29095.46691333429,38,1708.5045219868282,23,3665.750831021863,30,9683.156616210938
30,18258.708212290498,12,12177.539071307485,15,27848.751947911936,26,1675.2132837972838,3,3590.2762468844444,22,9606.911743164062
20,17553.40114237594,18,11009.695135735055,5,26949.966791824914,15,1652.37227265529,18,3494.2658768686824,16,8699.8408203125
24,17209.16860170884,33,10995.317141284582,25,25451.035135616752,20,1650.293275116959,15,3440.9210991153977,25,8052.147125244141
21,11190.02687356227,15,9074.105229213294,17,24648.78515718531,36,1575.3826047816735,28,3052.258441634821,5,6991.550415039063
35,10467.4663839139,22,8824.362461835142,24,22997.45311355943,27,1515.3429133275313,17,2961.014325099554,4,6871.412872314453
27,9974.121008051266,4,7504.9296919671315,20,19371.0976568602,8,1355.8688155246564,14,2787.9770185817256,12,6314.709854125977
11,9549.786105405849,27,7025.138693323712,27,16999.259701374976,19,1248.3462162548828,27,2400.2142007011084,33,6243.177207946777
4,8063.177727571474,19,6806.194340744883,4,15568.107419538606,23,1165.8108486506007,21,1773.950942928942,20,5993.935501098633
9,6910.121607788367,7,5894.265735580282,12,15330.266602937454,24,954.4590151600436,36,1718.9933856944915,11,5856.0175857543945
25,6840.7,24,5788.284511850591,28,14885.80328860605,1,933.350337063912,10,1634.164196848869,27,5650.358154296875
14,5412.421893279658,13,5485.951489420444,11,13905.684570784357,32,932.7720103270524,11,1572.923516712031,19,5513.662330627441
5,5387.364395333551,3,4814.739795358607,33,13515.445310032528,11,783.767930003059,12,1529.5708655328156,17,5369.118103027344
19,4373.151364607295,26,4659.8748133314375,21,13193.805663987569,31,699.8714146966947,33,1520.008010595087,21,5138.270904541016
7,4137.775278508051,11,4355.8984653785055,19,11179.345705352178,33,613.2340383329919,13,1494.8249078718495,14,3297.6655654907227
23,3952.513955800196,31,4172.248140445645,9,11070.900387723636,5,598.2096111302764,20,1451.792727307109,23,2627.982360839844
37,3705.6358449720665,9,4160.778779935267,7,10032.041014088334,29,583.9847346803119,24,1018.6080964142604,28,2594.348373413086
12,3152.72753162997,23,3855.98111961028,14,8176.142090610212,12,567.7514906881255,32,938.2170916907512,9,2587.3782653808594
33,2520.128168747946,10,3763.9664201114097,23,7808.495075410476,21,541.3423341430934,38,694.893365479959,7,2404.786437988281
32,2403.980441587249,32,3722.09914592245,32,6126.079587509699,4,503.9616883195905,19,555.2086937633212,29,2264.150104522705
28,1749.0962816299698,29,2984.7188621274618,13,5967.384277376408,13,271.31151673378207,29,537.1985140382831,37,2224.0206623077397
6,1566.2997317614202,14,2763.7201973305528,26,4774.89288431402,9,258.6985583396539,26,466.4520495459675,13,1934.6155319213867
29,1348.176143608281,17,2301.5946523381235,31,4596.479979913275,7,230.6926765784546,35,385.9336103147944,32,1576.3881874084473
13,481.4327879559645,21,2003.7787904252968,29,4332.895005735743,14,133.9260635178064,9,211.64274026202665,31,1182.7850456237793
31,424.23183946763066,20,1817.6965144842648,37,4143.121618789803,37,91.81772170679982,34,44.691460427464335,26,1022.6775093078612
2,321.6398229543214,6,1250.4107164184304,10,3957.0324717052313,6,66.03058809785284,2,32.05198388204299,10,911.8743705749512
10,193.0660515938218,2,909.4643025218586,6,2816.7104481798506,10,51.221303033488496,37,13.43082098517003,6,648.915433883667
26,115.01807098258296,37,437.48577381773634,2,1231.10412547618,2,11.53699110353075,6,4.189802665424326,2,643.8793535232544
