Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
39,20793.89842281552,40,35811.64508132449,40,41837.651401431416,3,5006.747032293124,4,19059.724952106568,40,36770.74951171875
36,11102.489091236976,4,18985.84728883576,39,22818.72347949455,17,2694.31084956516,36,4450.680549645235,4,16767.76776123047
3,7377.345574132674,35,14703.59918094264,4,22069.423616650904,36,2320.313052981033,1,2513.444732424192,39,11503.359558105469
17,7167.000983796226,36,10053.792929996223,36,21156.282021233204,40,1977.8535526552864,22,2293.75446090259,36,8331.27490234375
38,7008.190173584761,8,7466.950464884681,35,16998.01194679931,25,1263.3973411189863,8,1946.8935134357232,35,7536.188751220703
40,6026.006320106931,1,5254.502072236312,17,11271.585992773227,22,974.8671405864908,14,1824.498054830855,38,6398.786743164063
34,5949.874645417565,11,4600.811770002184,1,11083.334873076614,20,840.4417236520508,2,1807.3005865467023,1,4065.9910278320312
1,5828.8328008403,25,4492.804239040203,3,10376.459964447566,16,802.6589438978486,15,1661.311094091755,34,3495.155715942383
22,3450.808973856405,17,4104.585008977001,8,10359.800596144083,38,674.6762931062076,40,1535.694278925772,37,2394.01517868042
15,3261.1177628376195,9,4051.211330265543,38,9539.781748196108,18,629.9906578154895,17,1342.3581368660894,8,2320.3045349121094
4,3083.576327815147,30,3934.2486727892656,34,7896.563906082667,27,566.0214066610766,9,948.7107426166772,17,2125.4327087402344
8,2892.850131259404,3,2999.114390314892,25,6482.325456023522,8,541.8299168857012,23,935.4020324358924,3,1876.103558063507
37,2854.1796914914858,22,2998.35177385246,22,6449.160747708865,29,509.7260591651721,39,752.5386536520708,15,1510.2478942871094
20,2753.009662239164,37,2742.4863713252444,15,5976.131370815582,39,495.6436548119046,6,607.1379124509945,9,1503.2887725830078
18,2563.14054372017,15,2715.013607977962,30,5675.345551287678,15,460.9741315671392,16,599.6181905577039,2,1156.9475021362305
16,2433.7253142231903,6,2674.0811580128798,37,5596.66606281673,24,384.820189011971,18,363.3138478993574,14,1123.0945434570312
35,2294.4127658566704,14,2660.386109898088,11,5382.405540466262,19,345.1832396478952,5,335.2694076501457,24,1034.0133819580078
25,1989.521216983318,38,2531.591574611346,9,4521.413084345267,1,326.5082739732678,30,323.8230858400145,6,839.0781097412109
19,1923.6578750496692,27,2367.676057517448,20,4326.593636190091,11,294.4389594883644,20,305.48288927332896,20,833.0818939208984
30,1741.0968784984125,2,2130.493599392483,14,4140.717917654247,6,216.42425994958032,25,296.32151049739866,22,801.7689971923828
14,1480.3318077561585,39,2024.8250566790296,18,4023.747612699648,14,205.19097686645867,19,245.76344182046745,18,775.783088684082
21,1130.883038089092,34,1946.6892606651015,16,3827.917043135216,32,202.16844746925852,38,242.23708315119268,16,717.3368377685547
23,1124.3731297739728,24,1815.6121886134304,6,3710.0363383016247,37,161.59925546074126,3,226.93371210269328,11,665.747932434082
27,1047.8610335982437,20,1573.5839739509274,27,3415.537091115692,26,157.30165672961726,11,198.468786264858,25,632.2587890625
6,1035.9551802887456,18,1460.6070689794774,19,3024.1190881259186,21,147.45494765423797,24,144.75735307796486,19,579.3901443481445
24,803.5832520151799,16,1394.1917289120258,2,2785.2119673599527,23,142.20992081710975,37,143.861457144834,21,526.3051071166992
11,781.5937704640779,26,1260.0358638956582,24,2619.195440628611,31,99.30455742353884,27,113.73763478741571,23,503.21461486816406
2,654.7183679674696,5,1249.7881621961694,26,1817.6947815902545,28,82.93379764286499,26,91.53864771348364,5,381.7255363464356
26,557.6589176945962,13,1105.0485180446576,5,1733.9611952171508,4,73.21711976129362,13,88.6038917968524,33,280.6242980957031
5,484.1730330209814,19,1100.4612130762491,28,1494.4167562751982,34,51.744688159816086,32,81.03153415406129,27,189.57395553588867
9,470.2017540797237,28,1035.954899270511,32,1435.9640541827314,9,36.27478844460382,28,78.66363424711784,32,180.66157722473145
28,458.4618570046872,32,995.433330378688,21,1306.3560683198225,2,36.14680908452488,21,72.92375064474251,13,159.48614120483398
32,440.5307238040435,31,717.5636332248843,23,1298.442339624036,30,34.79635197811296,29,47.337155177475246,31,76.18803405761719
31,317.5575477698097,29,666.2813647128139,13,1292.763762369214,5,31.65767765322869,12,43.41726205693253,12,71.37329769134521
29,294.8619443642254,12,500.5184273684692,31,1035.121180994694,12,24.242268720473668,31,42.681344378907525,10,60.1508150100708
13,187.7152443245564,33,302.63288480584043,29,961.1433090770392,33,15.77530798951092,33,31.882542211356828,7,25.95909738540649
33,133.93054182840476,21,175.4730302307305,12,585.5418796130917,13,15.648641544685937,10,30.460244732210413,30,11.228467583656313
12,85.02345224462258,23,174.06920985006354,33,436.5634266342452,7,8.08188742106473,7,20.27369823502578,26,6.963704764842987
7,30.79600057198863,10,131.5376579762889,10,146.81141554620524,35,0.285763844856104,35,7.795123812131351,28,0.0
10,15.273757569916324,7,79.49008521950927,7,110.2860857914979,10,5.3878078496438775e-05,34,0.0,29,0.0
