Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
40,19394.792022483285,40,68393.18420248217,40,87787.97622496546,40,2637.998532905088,3,6468.697771831345,40,55513.94946289063
39,11772.93788750602,35,16962.22354785605,35,19056.16526678482,35,1322.4214430807367,16,1940.3202351327675,1,11073.567644119265
1,9333.476764711751,1,6946.164738669445,1,16279.641503381195,36,854.3335145552683,8,1826.3935023645245,39,9282.360641479492
36,7313.919976099298,3,6706.599399680636,36,13542.61760519772,17,784.4507996777842,1,1814.7313910748612,35,8317.660736083984
38,5894.148780826017,36,6228.697629098424,39,12858.8044414338,30,722.2624940011735,12,940.5008446856264,3,7836.371726989746
34,4912.400241389436,8,5374.232640793087,3,9909.89780870095,1,720.5807957268482,17,889.9672458107059,36,6434.728073120117
8,3302.79623972366,37,4069.2850412925513,38,9432.436066377591,18,598.5596565902697,30,732.1384249091924,38,5779.241073608398
15,3238.506667583974,38,3538.2872855515743,8,8677.028880516746,6,548.4112830513691,22,708.6862133301411,34,4194.578979492188
3,3203.2984090203126,12,3504.5260539563888,34,7805.094249333081,20,526.6088441794143,4,658.0073273493568,37,3645.463897705078
21,3118.932260196355,16,2997.1436478930773,37,6965.153988814557,15,443.5855038497251,15,578.004208061707,16,2999.240493774414
17,2896.1528434823417,5,2996.3241957903374,16,5421.541136304978,12,423.65065269488247,7,532.5562300936374,8,2226.60196685791
37,2895.868947522006,34,2892.694007943646,15,4624.991478788402,8,365.47606919416114,36,475.18050218711016,17,1975.899356842041
16,2424.397488411902,6,2673.8575480615928,12,4418.033019812842,38,312.028169969273,20,451.2702766365465,21,1589.4616470336914
20,2202.94926072555,18,2186.897858059667,17,4126.507736655081,19,287.0212858187809,21,425.6115446976533,15,1589.2200889587402
35,2093.941718928769,9,2097.473263495147,5,4105.618343240954,22,280.0004389728881,24,359.2561470121707,12,1429.2962799072266
22,1451.427253338501,30,1672.9168568081006,21,3710.270539797134,24,257.51289496266054,18,322.4457580675244,4,1375.7167987823486
11,1201.3279801246372,33,1624.7840267925142,6,3612.373415264671,39,247.47205155510835,39,304.58445245703734,9,1271.2745723724363
4,1167.4017858673822,15,1386.4848112044274,20,3025.273348197015,37,228.57844192013704,33,288.63430669426185,20,906.582836151123
5,1109.2941474506167,7,1246.4768822526132,9,2987.336294607126,25,225.5714500265058,23,284.2709608973756,33,906.3180389404296
6,938.5158672030784,17,1230.3548931727398,18,2694.30406220736,27,225.40796347970937,11,259.5282978873246,23,753.3193740844727
12,913.5069658564536,19,1089.251094180994,33,2268.1607128016426,11,225.06402485701267,27,248.595798824382,11,635.4582443237305
23,909.829507649678,39,1085.8665539277797,22,2170.9267235140887,21,181.9833381021196,25,242.002415046996,6,608.1106090545654
9,889.8630311119791,13,978.8856940499968,30,2103.2394333212724,33,175.0465202656252,19,201.61920103307108,25,601.4451751708984
25,827.6190745821542,4,884.5498817024677,4,2051.9516675698496,9,168.97511940477204,13,196.086919402738,19,493.9969491958618
24,803.5767587058778,25,850.4415550859519,11,1821.364274074311,16,163.8658011252568,37,187.6421153403328,7,488.791919708252
14,712.239644851397,20,822.324087471465,7,1762.8728222689415,13,121.39216575954018,40,161.37174648380287,28,487.37967681884766
33,643.3766860091284,24,769.8843207850462,25,1678.060629668106,32,116.0443449452874,6,95.83599412574,13,434.2725658416748
19,562.5183568113315,22,719.4994701755876,19,1651.7694509923256,23,96.50506039227336,34,61.423266269266605,24,349.1413650512696
7,516.3959400163282,11,620.0362939496738,24,1573.461079490924,34,92.3232780589708,29,57.9826512196866,30,340.6790065765381
18,507.4062041476925,21,591.3382796007791,13,1244.147575438314,5,80.59967893652143,28,50.74013734670792,2,313.59378254413605
30,430.3225765131717,27,561.8437807874099,23,1120.976150070606,7,80.3761285785316,32,43.95319514103968,22,309.9152641296387
28,391.11515343089405,32,296.3337125579783,27,941.532042048208,4,59.504187499013526,9,43.69960015626864,14,283.00466418266296
27,379.6882612607982,10,229.6282248440733,14,780.7259921757583,3,51.2776047712802,31,40.09664295365718,5,217.61877250671387
2,265.9401077606541,23,211.1466424209277,28,590.1532922308683,28,36.62162146945677,10,39.49050692169952,18,193.0859375
13,265.2618813883169,28,199.03813879997415,2,464.9002057937324,14,32.267124570316284,5,38.51399829159181,29,183.49148607254028
29,216.98607063838008,2,198.9600980330783,32,448.7542429464792,29,24.614275932959384,38,36.55020029204206,27,180.89870929718015
32,152.42053038850088,31,111.688815550748,29,308.2811682028848,10,20.320094132015218,14,31.27457199349945,10,98.73066139221191
10,10.851565631419728,29,91.29509756450476,10,240.47979047549305,2,19.59827456887431,2,10.985282475567658,32,97.26319456100464
31,7.82685192300996,14,68.48634732436139,31,119.51566747375796,31,12.58694507542154,35,4.833917194035166,31,9.866874814033508
26,0.0,26,0.8863575785188381,26,0.8863575785188381,26,0.3842175487248898,26,1.4514733007807925,26,0.0
