Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
40,4755.079736792591,40,15977.864295294628,40,20732.944032087216,16,953.109262470455,3,5430.702914850853,40,14391.218055725098
39,3192.4921759106546,35,5420.632308965223,3,6442.3915484645,40,696.8612842545581,1,1601.458499476042,3,3647.840206861496
36,3094.786796233152,3,4974.130379359422,35,6012.777755941901,36,559.2989392816867,8,1564.187792200701,1,3381.037489414215
1,2673.247206722932,1,2964.5712634394117,1,5637.818470162343,30,366.6859693813242,16,1007.031193582162,36,3043.3839111328125
34,1611.6545806272543,8,2656.1080313748143,36,5078.099264713867,20,292.52677577814734,30,298.3187594303592,35,2923.5727356672287
3,1468.261169105079,36,1983.3124684807149,39,3464.298620860028,1,290.25333477575225,7,162.80741034689535,39,2493.5916372537613
38,1229.7850966450844,16,1280.8909283066869,8,3297.2568501107967,35,288.7819550090636,14,114.58027113577764,37,1149.607423067093
16,1151.756412417362,37,1279.78848708285,16,2432.647340724049,8,280.68968443825327,23,110.29892042632784,38,1053.6518306732178
14,907.4289157851416,5,1067.8656684886669,34,2100.0074243451254,25,240.0123196705956,40,94.33364069024856,8,834.2068901062012
21,846.1889237767331,6,1005.8676234775796,38,1806.8507957800675,34,207.8770879392327,25,84.16392789912572,16,723.466570854187
2,650.3126787198477,30,747.4125754295102,37,1765.3882392974292,24,163.30970412029257,36,61.27713218232759,14,553.0732817649841
8,641.1488187359821,9,635.2038924255478,5,1311.952779983253,18,154.12381378015235,6,55.021271865902776,2,542.5712345838547
35,592.1454469766783,38,577.0656991349831,6,1174.211905231822,15,145.15819109740298,11,53.01948786718904,34,514.8089941740036
15,564.9458600920336,33,561.1385079867317,14,1090.8837863945048,22,139.64066539196008,39,51.03704993150484,21,451.45221841335297
37,485.5997522145792,12,491.2106488722643,21,911.4988266766724,3,120.10885389515042,9,48.722475842604965,18,396.88933873176575
20,482.09585002216727,7,488.74111505300914,2,882.0523289137144,6,114.45731935482335,20,45.85163913555527,15,340.5599602460861
33,319.5198375185675,34,488.3528437178712,33,880.6583455052992,11,79.1945746976316,21,43.24796782585642,6,270.7639203071594
18,307.4679005197237,18,426.0144082929995,30,863.386298667118,33,71.71438137177597,27,42.40887014134555,5,257.3605238199234
11,292.33007329984906,25,368.17459693620776,15,831.9261703452748,2,69.65389280310686,2,41.1976997663761,9,257.13139724731445
22,275.99905793865264,39,271.8064449493731,18,733.4823088127232,21,61.3712772346512,17,40.32162654271744,33,218.7834939956665
5,244.08711149458617,24,269.7129260691514,9,686.0113108263548,39,60.17424497385598,15,40.1449691882746,7,208.23146843910217
4,184.66244185379844,15,266.9803102532412,20,681.9303237134421,17,59.92992125601827,18,38.068034816614905,12,203.47298729419708
6,168.3442817542425,2,231.7396501938668,7,646.4538939590484,37,53.00879986206792,12,37.297851869706015,20,192.8976783752441
7,157.7127789060393,11,206.26380581783656,12,538.2364789057576,28,50.86743147678708,33,35.61363202830108,11,185.63297200202945
17,146.75832317124463,20,199.83447369127484,11,498.5938791176857,19,50.68230963184482,13,32.94114820458624,30,135.48779797554016
24,127.9689601798316,14,183.45487060936333,25,489.75508332361824,12,47.05501208434772,19,32.1608520669007,4,129.1710801422596
25,121.58048638741047,13,179.08149890948923,24,397.6818862489831,9,46.950647021438506,22,25.26072110741169,25,125.30873119831084
30,115.97372323760776,23,169.41691800947302,22,340.9578451095292,27,45.96422640748897,38,23.64120428797903,24,105.12095081806184
27,102.25393772881895,27,159.37704589523048,27,261.63098362404946,23,38.72746527333871,29,16.076963792713276,19,68.89419201016426
19,79.93306931389246,29,89.89583724474664,13,245.62588913327497,29,28.7106903159562,24,13.29773680266871,13,68.70654511451721
13,66.54439022378574,19,89.7539816754194,23,231.3507187928512,7,27.48343109728457,32,12.48970784093066,27,57.17694738507271
23,61.93380078337818,28,85.4541098791809,4,189.1780799642478,13,23.056390424429797,28,11.882794800044415,22,52.589868277311325
29,57.31079643782604,21,65.30990289993943,19,169.68705098931184,14,22.173354360373025,10,7.339321973227925,23,43.03022687137127
9,50.80741840080694,22,64.95878717087655,17,158.9977215802449,38,19.39885194875734,35,5.995406084504793,17,31.121728911995888
12,47.02583003349325,10,40.2540591770474,29,147.2066336825727,5,15.488577394628493,31,2.2599224316390973,29,29.739501789212227
28,44.205346271793225,26,25.000719301355936,28,129.65945615097414,32,6.291634285151272,26,1.8311239703631117,26,13.64501754939556
26,11.123167722102004,32,13.887940667806308,10,40.25499666430195,26,5.293452365020731,5,1.5397531513217473,10,9.124996900558472
32,2.154020049604096,17,12.239398409000238,26,36.12388702345795,4,4.426186164410449,4,0.9720980090626318,28,8.717352777719498
31,0.6757332925227897,4,4.515638110449356,32,16.041960717410408,31,2.1965140447654,37,0.6959312269296316,32,2.5164616722613573
10,0.0009374872545523,31,4.356757831366087,31,5.032491123888877,10,1.171354943485043,34,0.3077610433101654,31,0.7894341344945133
