Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
40,1498.6260612507242,40,2880.3229057641674,40,4378.948967014891,36,331.3234962546392,1,759.3178992035303,40,2788.337890625
1,1288.2035603371137,25,1123.072670755664,1,2313.3956116426707,40,141.5848663143443,25,444.8818589552017,1,1597.7996215820312
36,565.2527934794559,1,1025.1920513055568,25,1161.732117440313,1,112.38231894319884,9,381.484495489116,25,911.4827194213868
39,262.04905224424886,5,844.8017749568227,36,1073.5500874113343,8,72.41723251799985,8,344.26498029312825,16,704.9130172729492
37,237.13094498275584,35,775.5670543668398,5,952.9176312286962,25,48.07909693682873,10,262.69862246513367,36,422.30562591552734
16,227.2837315033572,8,633.5752568365627,16,848.4702093759831,9,47.74168519053322,34,209.82549762702547,35,327.3546295166016
38,215.26167355912835,16,621.1864778726259,35,808.9030580862858,35,44.09425891288811,5,169.89165532248094,9,321.0448775291443
34,165.19104481309782,9,526.329856264968,8,797.3962454112536,22,37.37707372301476,33,104.04493970068114,39,272.4027671813965
8,163.82098857469094,36,508.2972939318786,9,601.4486438623125,19,35.89773035683186,32,94.23869073714484,19,243.27352571487427
11,145.5695158846053,10,349.4269857239356,11,413.2037644288026,34,32.46297125574584,13,81.79333603539627,34,219.5810089111328
21,142.79289110122178,11,267.63424854419725,39,407.13102439108616,10,32.33867366122891,14,76.97681063141965,10,213.13962084054947
15,127.31800718909616,19,240.55186707811615,10,399.297861350126,15,24.418045172108272,12,36.31680672988296,37,208.9545669555664
19,115.96262099702074,32,225.8678261320408,37,382.1477559187062,21,22.511065420504668,11,27.340956424125338,5,192.52848863601685
5,108.11585627187353,33,205.98309160698432,19,356.5144880751369,20,17.582561328405262,22,27.08775957967751,32,182.29653549194336
6,77.48476931343852,14,195.6511517083944,34,334.49286636554064,33,16.103207957720038,18,19.666124776414183,38,180.6134033203125
22,77.44881954780168,34,169.3018215524428,15,291.79638446021454,11,13.296211711961602,7,17.281686941843326,8,177.62465929985046
9,75.11878759734441,15,164.47837727111838,38,263.6762026330645,32,12.480416479626394,19,16.19768533413579,11,171.2304401397705
7,68.15359108401206,39,145.08197214683727,33,257.3105847454533,5,11.833935239265127,28,13.103418298523986,15,139.8270721435547
12,60.73379265119661,37,145.01681093595036,14,243.93545685659595,37,10.8173495655827,17,12.321254964949642,22,128.4868483543396
20,56.203790470098966,6,133.11027897767832,32,232.23447895745983,17,9.276632651952513,24,11.284829874194926,20,119.15438067913055
33,51.32749313846905,20,118.41555064670423,6,210.59504829111685,7,9.16253981964822,27,10.4531303263584,21,74.05901622772217
10,49.87087562619037,12,107.87422968427124,22,184.3444339966447,18,7.938751700538773,20,7.584152829527453,17,73.72677445411682
14,48.28430514820152,22,106.89561444884303,20,174.6193411168032,14,6.950177909200543,36,5.827906374073791,24,71.21717739105225
25,38.65944668464881,7,94.92232471294425,21,170.00978589437315,39,6.490952792822734,39,5.663227619370446,14,70.3181266784668
17,35.07793779037447,13,88.8653529907679,12,168.6080223354678,12,6.096981871468369,26,4.896193755318026,12,69.93919277191162
35,33.336003719446005,24,83.22872210278089,7,163.07591579695628,16,4.510216450423276,23,4.753315372211239,18,60.32190364599228
13,33.03850584980243,17,73.0472199716855,13,121.90385884057036,23,3.5205610153275333,15,4.178508547499888,33,58.20713138580322
18,28.74742318744769,18,59.57417823862015,17,108.12515776205996,24,3.293851486363544,21,3.219788859672342,4,44.92107248306274
23,8.367772513734353,4,51.3489233958118,24,90.35925805462225,38,2.4217998617859235,38,2.429696490949937,7,38.839905738830566
4,7.340611896395884,38,48.41452907393618,18,88.32160142606783,4,1.74278984966049,40,1.870986903677476,6,38.358917236328125
24,7.13053595184134,21,27.21689479315136,4,58.68953529220769,28,1.731718122672742,4,1.548565359422355,13,35.12677383422852
32,6.366652825419057,28,27.173313842971965,28,29.91139550532612,27,1.1926338188857604,6,0.5808759231103586,28,23.57701528072357
28,2.7380816623541566,27,19.810172504154657,27,20.66184803087551,13,1.0826547536276427,16,0.5009730220311153,27,16.28515362739563
2,2.7178590340818523,26,12.229001940659098,23,20.4841174156869,26,0.7689138174759369,37,0.3917185158643406,23,14.276313185691832
26,1.030177617955767,23,12.116344901952548,26,13.259179558614864,2,0.2709548465226226,2,0.097421040665381,26,10.451664507389069
27,0.8516755267208526,2,7.377421721628496,2,10.095280755710348,31,0.0,30,0.0434167217675073,2,5.681015968322754
29,0.0,30,0.0,29,0.0,30,0.0,29,0.006241574580306,31,0.0
31,0.0,31,0.0,30,0.0,29,0.0,31,0.0,30,0.0
30,0.0,29,0.0,31,0.0,6,0.0,35,0.0,29,0.0
3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0
