Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
40,9831.85,40,26640.907699309188,40,36472.75769930919,16,1912.678748033348,4,9404.500044220167,40,24138.45933532715
36,4676.12,4,11331.7571467559,4,14278.1471467559,40,941.629294021049,23,4702.434617614101,4,9929.519804954529
1,4251.3,35,7253.656737376143,36,8178.568957638659,36,632.7820003245474,8,2248.1360511901976,1,4402.220100104809
39,3668.92,23,4608.911716924756,35,7824.436737376142,20,583.6463892815916,33,1334.3142956197855,35,3612.620024204254
4,2946.3899999999994,8,4186.209556957641,1,6282.63688010948,4,533.0165678152487,14,1309.2330649488729,36,3533.24991607666
16,2410.86,36,3502.448957638658,39,5922.658882790204,35,514.4839631780346,12,1016.6807950031246,39,3283.4099464416504
38,2177.38,33,2269.4493030860804,23,5528.461716924756,8,465.6482731500736,16,782.4358747483142,23,2155.43998670578
3,1628.35,39,2253.738882790204,8,5255.329556957641,1,410.4370591645616,40,669.1833628901113,38,2124.899968147278
15,1416.7899999999995,12,2191.1152928386014,16,3640.678136814644,6,329.299470292108,36,467.6108572943381,37,1591.620002746582
21,1343.88,1,2031.3368801094807,38,3219.660853070473,24,311.69816221877807,1,431.7372257700857,3,1525.7500095367432
34,1317.1800000000003,6,1941.518255113748,33,3132.80930308608,15,307.08033791461844,11,411.4991721871262,8,1460.9400024414062
11,1309.25,37,1786.0839860235928,37,3083.1039860235924,18,300.71548936527034,3,281.46706436061976,33,1403.7800085395577
37,1297.02,5,1511.5319387151965,6,2561.688255113748,11,229.13246759051063,17,269.8879829973531,34,960.1099796295166
20,1122.85,16,1229.8181368146436,12,2533.6552928386013,39,218.4230023080336,21,240.3062414653148,12,909.449990272522
8,1069.12,38,1042.280853070473,3,2496.711020879864,37,175.9415417888978,38,214.22823141044196,11,773.6500084400177
18,940.84,11,872.4391370099582,11,2181.6891370099584,38,169.06524516610585,20,166.92406463524884,21,738.1199860572815
23,919.55,3,868.3610208798641,5,2143.7319387151965,9,167.56471509879827,37,113.66070030025804,6,662.0899902582169
24,904.4500000000002,9,755.2910757562673,34,1779.1517630553014,22,148.5062249015094,18,101.15336843928002,15,660.3999962806702
33,863.3599999999999,18,576.4263435272745,15,1778.760517513432,3,143.17967559970643,39,97.31132465207924,2,562.5300061702728
2,858.05,34,461.971763055301,21,1661.7976461056337,33,138.7218238380405,15,77.48645003225249,18,561.819981098175
14,728.47,24,442.0886652160606,18,1517.2663435272743,17,137.91813926529068,24,64.66841661023777,14,456.8600137233734
5,632.1999999999999,14,433.67607930530494,20,1513.8946321845217,23,137.2553505654555,6,62.87719557397091,24,446.5900030136109
6,620.17,13,406.9639971884263,24,1346.5386652160605,12,129.4804771972146,27,53.69961977852151,16,418.4500131607056
35,570.78,19,403.583512120486,14,1162.146079305305,27,121.48269861059794,7,43.17655169299024,20,417.5999987125397
22,541.45,20,391.0446321845215,9,1150.7810757562672,21,121.18063578271294,13,32.36468116869785,9,386.5799970626831
27,448.27,15,361.9705175134321,2,989.7008188769676,19,78.0193394959042,26,30.38388626478428,5,327.09999817609787
9,395.49,17,361.68059985594886,27,748.6771003184181,2,70.91064279991394,22,25.77623547019824,27,244.39000272750852
12,342.54,7,355.4096226354929,22,660.6376595339765,34,57.05146503063676,5,21.411816654479782,19,239.29999721050265
17,277.36,21,317.91764610563337,17,639.0405998559489,5,46.17940281273455,19,15.94426190913486,13,209.8600006103516
19,207.43,27,300.407100318418,19,611.013512120486,7,36.41150692650101,25,10.04264798379793,22,202.44999516010284
7,171.97000000000003,2,131.65081887696763,13,532.0639971884264,30,31.3950704073727,30,7.049407951134862,17,175.67000317573547
13,125.09999999999998,22,119.18765953397644,7,527.3796226354929,14,26.60158308318032,35,6.95226001739502,7,140.6500037908554
32,104.35,30,94.51047700572086,32,178.2465598161109,13,26.28220890057726,2,6.53581138366097,32,69.18000030517578
30,74.25,32,73.89655981611091,30,168.76047700572087,32,25.12186028596661,9,6.07904317233076,30,65.98999923467636
29,32.19,26,23.040831973247585,25,45.32783110657253,26,17.48032921996391,28,4.109124436220728,25,10.960000038146973
25,31.17,25,14.157831106572536,29,41.233450067154514,29,12.192820951089011,29,4.047265919180528,29,10.920000076293944
26,16.3,29,9.04345006715452,26,39.34083197324758,25,7.78641899090268,32,2.7642839969256188,26,10.30999994277954
28,5.44,28,8.379802364534058,28,13.819802364534056,28,1.9509330925015504,10,0.6382516730087651,28,5.460000038146973
10,0.4700000000000001,10,1.334526218092801,10,1.8045262180928008,10,0.2241324298965032,31,0.0084418920773714,10,0.6899999976158142
31,0.0,31,0.0,31,0.0,31,0.0,34,0.0,31,0.0
