Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
39,172255.75585447185,40,588853.5317537549,40,727883.1722993365,40,12973.017577348508,3,51396.50676231698,40,495912.2270967364
40,139029.6405455816,35,142298.81516993494,39,309699.10199162306,16,11326.175007928354,4,35458.77429055984,39,212627.9810601473
1,101350.33257849756,39,137443.34613715118,35,166500.59874636235,30,8622.742946592281,8,22993.941513215887,1,88322.82601290941
36,87956.13430472082,8,74231.43412053245,36,154893.80141311826,17,6568.84012744117,16,20913.207698591417,35,85373.41242676692
38,68340.61683369195,36,66937.66710839742,1,151269.5324666594,36,6239.970594788024,1,17262.899671710336,38,78802.29581284523
3,59984.26616504845,3,58823.92149464765,38,120272.8972665685,3,6086.636626318007,22,12983.84609905675,3,78145.68273472784
34,57035.6513235711,38,51932.28043287654,3,118808.18765969612,39,5954.521354995304,39,12075.562851309776,36,76505.53326797484
16,53252.756716204654,1,49919.19988816186,8,109658.9747913466,35,5738.586137317672,30,9683.688509214604,34,40569.532851934426
17,42059.71923257375,30,46272.496567178976,16,92930.90448120196,18,5238.727563194543,23,9355.64560767274,4,37763.66702076793
22,37478.82979313445,16,39678.14776499732,34,77902.93407837028,22,4504.724835685254,5,9277.93388133386,8,28347.50891911984
18,37222.85136645658,5,38850.8057479402,30,71945.58888911658,28,4120.500853518739,40,8238.31116449833,37,19679.006157159813
15,35922.50834789625,4,38068.87333918194,4,58189.67961602836,20,3900.6710011666273,36,7262.902841567988,15,19084.651078790423
8,35427.54067081415,25,28849.51028919849,18,56112.99667475541,25,3803.066768982745,14,6352.922218916009,16,17980.44593107701
20,30790.991937524475,34,20867.282754799195,15,52877.13791518357,15,3171.3607613671256,25,5225.341479145689,18,17053.89844378829
30,25673.09232193761,12,20339.37067220241,22,52165.82572356739,38,3115.544867302872,17,5172.995542458879,22,16310.335647378106
24,25425.972770447697,18,18890.145308298837,17,50370.89381803069,1,2978.744851434248,15,4356.943732691382,30,15284.340300425893
35,24201.78357642741,37,18452.140240045755,5,49588.05052786654,34,2169.3425106385093,7,4224.299497719854,24,14912.031527206307
21,22573.32172157293,33,17984.14361972205,25,41681.97497853504,19,2137.108054928237,31,4099.373968794936,17,13663.35355916619
4,20120.80627684641,6,17953.626542889477,20,37349.53224041788,27,2046.3573987221505,33,3043.847216062083,25,12529.93897800148
37,17612.96683257179,15,16954.629567287324,37,36065.107072617546,8,2038.3069631354197,12,2928.665161676232,21,10761.35222201049
11,17086.199122918246,9,16621.932378846657,24,36008.06455945132,26,1850.4115886629172,18,2657.287604603121,33,10607.763069882987
27,14095.385663782212,22,14686.995930432946,11,29340.298050194648,11,1699.5142661411785,13,2623.458495086481,20,10582.337402015915
25,12832.464689336552,28,14660.928477911131,9,28776.84627358993,24,1684.818215028254,21,2285.389609839523,11,10550.450126081703
14,12260.24549801711,19,13060.713835949133,21,25887.87663510653,37,1678.0120597375458,27,1917.8253957092911,5,10022.331798315035
9,12154.913894743271,11,12254.098927276398,6,25673.134456522715,32,1235.5479335277585,11,1884.50762691361,12,9301.99912944436
23,11052.65600087868,24,10582.091789003622,12,25437.678102481477,4,1118.429471953093,2,1655.2222055317836,19,9266.010419085627
5,10737.244779926335,13,10556.254731333696,27,24560.74246449176,6,1091.3440054485131,28,1629.107955206216,9,8811.383956074726
19,8372.589293295543,27,10465.356800709547,33,24008.6144076628,12,1086.3843096362152,20,1595.5377071207822,23,7939.911965403713
6,7719.507913633237,7,9071.246628892744,19,21433.30312924468,29,1047.3965391975962,9,1402.6630072948883,14,7633.72822530568
7,6323.377785530253,23,8709.537375097818,23,19762.193375976494,21,965.0529188038151,10,1251.01964646833,27,7416.597658514972
33,6024.470787940752,17,8311.174585456944,14,19374.499302903005,23,954.0701692357242,24,1170.1005154725533,6,6918.974370956421
12,5098.307430279061,14,7114.253804885893,28,17745.829880430432,33,918.1335497893292,38,1050.96009361744,2,4200.211535351351
32,3268.578261087444,20,6558.540302893404,7,15394.624414423,31,805.6448988663573,32,907.2623523293408,7,4172.571375817067
2,3169.5314971571456,26,6087.816013381097,13,12928.655414779676,9,738.7855355070466,19,710.0362920514891,13,3533.458257257937
28,3084.9014025192973,10,5934.003659126022,32,8856.674828087102,5,637.8593967310563,37,532.9699282646187,28,3219.064700007328
13,2372.400683445981,32,5588.096566999658,2,7777.9859539673025,13,621.4639474987576,6,492.35262042367617,29,2659.130467243496
29,2251.4913038387704,31,5163.043846037981,26,6889.762333199396,14,446.8075427638345,29,484.55301750861526,10,2262.266869415761
31,899.6663924745661,2,4608.454456810156,10,6439.363146528752,7,292.1752912535729,35,391.54700469970754,32,2174.087307112296
26,801.946319818299,29,4003.479730202919,29,6254.971034041689,2,171.52313634531362,26,268.3294980724283,31,1432.6464465255842
10,505.3594874027288,21,3314.5549135335987,31,6062.710238512547,10,116.150531973176,34,0.2352885678410534,26,1208.6558417268095
