Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
40,1786.63910094314,40,8387.420826118123,40,10174.059927061262,16,702.5895813944405,5,783.4380955970817,40,6677.220581054688
1,1448.5363871021582,35,1465.7488788007502,35,2345.883142224738,36,379.9410958524248,36,574.0297028471126,1,1373.244478225708
35,880.1342634239879,5,1151.428186798603,1,2232.5973944421958,40,300.1941251526366,8,555.1309414160672,35,878.0188493728638
38,724.8878583300753,36,1109.8349581717844,36,1738.2189279542288,35,170.6684435257195,39,294.05984815564494,38,867.6709594726562
36,628.3839697824445,1,784.0610073400371,5,1353.761620052228,1,155.5579871306213,1,260.63045151252595,36,816.1570873260498
16,598.789044774034,8,782.8594095990132,38,1179.5381908799495,20,111.91238656351122,16,259.5325162891884,39,568.2494616508484
39,590.6392959666562,38,454.6503325498743,8,983.2501818394592,8,103.91833135275972,13,258.6626278190875,37,519.8135356903076
37,283.27284312493884,37,454.43746224700345,16,973.860727451276,17,102.5688592975826,40,240.54575422096383,34,411.1282768249512
34,262.4330276380873,6,452.3765657045704,39,912.1030694061028,13,86.55832527521599,38,209.741227894565,8,357.1400697231293
15,210.5779975215093,16,375.0716826772419,37,737.7103053719424,11,67.19187141886945,11,201.32850854255528,5,218.9499797821045
5,202.33343325362503,34,335.7390786582799,34,598.1721062963672,15,63.612084590424814,6,169.74057055357332,16,139.4710578918457
8,200.39077224044604,39,321.4637734394466,6,545.2439191751839,19,61.384040681524674,12,105.21616221313938,6,130.35945653915405
17,167.78209688599395,13,277.85510643745386,15,318.5120633968711,18,55.40456159012088,9,84.79782407937758,15,117.02180033922195
21,164.66698233360086,11,227.283422007224,13,304.30865799183124,34,48.0315965871638,14,82.67494362872019,11,108.34223079681396
20,150.63322719854975,12,217.2370109441439,9,296.2522552598598,38,46.35623029364484,15,79.02546069744265,9,105.75025916099548
24,147.5196396502012,9,205.396376717262,11,295.78570237248124,37,42.17309698005444,20,77.44110662032449,20,94.80521988868712
18,116.65990369094035,20,139.38056613462624,20,290.01379333317595,30,41.9780918039805,17,75.15533624618072,12,94.15031623840332
6,92.8673534706136,33,134.9575065723754,17,266.8396216274936,39,39.98349031721997,19,67.92886625851943,14,88.94489988684654
9,90.8558785425978,15,107.9340658753618,12,259.89847776690624,33,39.84534242906136,18,64.7724414120105,24,69.09056693315506
19,88.06390122160275,17,99.0575247414996,21,195.93912866881664,24,35.418820800241264,30,59.62758203572649,33,68.73118814826012
14,87.83084606911162,19,83.47522210548767,24,191.77162257086331,12,33.22831526607021,23,53.20001517623089,21,68.60478603839874
11,68.50228036525728,14,81.19525856463535,18,189.6638127398964,9,26.941247536082564,33,45.692105779593234,23,62.4536375887692
23,58.897486286698765,18,73.00390904895602,33,180.04972885394943,5,26.925231243746765,10,36.36777865001932,19,55.89378190040589
2,48.76173069785935,7,70.16592999585333,19,171.5391233270904,21,23.46680557835328,22,32.109908142447004,18,54.86103764176369
4,48.023151740775454,30,67.91547614994967,14,169.02610463374697,6,21.773708457239728,21,27.468642051725624,13,46.60634322464466
33,45.09222228157402,23,59.74471411828839,23,118.64220040498716,32,21.362593842493997,7,25.427646766553405,7,46.59028774499893
25,42.99104264435515,10,55.54152195492752,30,101.96180069151484,23,16.19754854768825,25,17.784106077620233,17,40.36442804336548
12,42.66146682276237,24,44.25198292066216,7,77.05204856984115,10,15.259702248411967,37,13.61550449273759,2,35.35103765130043
27,40.17640237040372,32,41.32619893138124,25,67.99180846947891,14,12.81632960240406,34,10.50693448142556,25,31.772189423441887
30,34.04632454156516,21,31.272146335215808,2,62.28594056565671,7,12.577108039941486,24,8.445374238571855,22,31.25363777950406
29,33.44179069718715,22,29.540284980040283,27,61.443802524329975,27,10.932195807575592,27,8.200304416450004,4,28.885421991348267
22,29.397269365090445,25,25.000765825123764,4,61.07352174141334,25,10.4399104749012,28,6.8343734423519695,30,24.061352014541622
13,26.45355155437741,27,21.267400153926253,32,60.87764477347304,29,8.23451811364675,29,6.538227409221828,27,23.51627843081951
32,19.5514458420918,29,18.61288623376748,22,58.93755434513072,22,7.977897120971434,2,5.988383809404297,29,23.48631802946329
26,17.690821182137082,2,13.524209867797362,10,55.54152195492752,26,6.505283989405402,32,5.336153942784899,32,21.234220027923584
7,6.886118573987818,4,13.050370000637878,29,52.05467693095463,4,5.861552544375255,4,5.23845364465694,10,19.58839059737511
28,2.541528773697439,26,9.503319454619657,26,27.19414063675674,28,2.0305159316128663,35,4.003200935520056,26,4.625087354332209
31,0.0,28,6.282089863756023,28,8.823618637453462,2,1.6196834522557495,26,1.4955117571753225,28,2.339839547756128
10,0.0,31,0.0,31,0.0,31,0.0,31,0.0022863798869504,31,0.0
3,0.0,3,0.0,3,0.0,3,0.0,3,0.0,3,0.0
