Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
3,11197.86716345225,40,41120.63716047384,40,49318.23175631197,30,2106.615487225623,3,35968.229247211595,3,41689.62129211426
40,8197.59459583814,3,36809.83680253624,3,48007.70396598849,40,1609.921526862312,16,11510.242477295817,40,32419.6787109375
39,7036.19478629647,35,14181.17293648518,35,15649.718596578055,16,1456.2746508915843,22,2168.4349718337003,39,9453.738403320312
1,5338.946332101379,16,13652.06381180936,16,14448.256345536636,35,1051.1882653640744,23,1255.1715963915246,35,9266.87580871582
36,3604.354402713779,39,5316.896162873012,39,12353.090949169482,37,708.6576503806577,17,1183.9171164749555,1,4814.523765563965
38,3582.0676995152203,36,4519.29808295762,1,9223.437210831164,39,662.1337211575479,30,418.9638529990291,36,4018.282539367676
8,2191.7040943898646,6,3926.396142996217,36,8123.652485671399,3,646.7256537661497,4,380.4092399189285,37,3574.898147583008
15,2041.1718644816972,1,3884.490878729786,6,5173.009445012342,8,631.6057078315914,24,256.19600778756563,16,2316.3043518066406
34,1944.5991793527687,37,3606.227624166556,37,4950.209248363766,15,605.2835999860156,21,187.0313486915869,38,2315.0525970458984
17,1887.542605071559,5,3164.9702980297016,38,4770.36325107674,38,530.9209065063696,20,147.63313411209506,6,2134.348617553711
22,1793.563449620727,22,2740.928425270943,22,4534.49187489167,18,484.4836384418263,32,143.66835205661167,15,2033.036922454834
21,1494.6857069744417,30,2472.862046865733,5,4497.249310607285,22,460.3457235368078,18,130.87265235392215,22,2013.2014083862305
24,1493.5630936960874,15,2202.888360907011,15,4244.060225388708,6,382.7799775140052,8,121.16639916586595,34,1798.5922222137451
35,1468.5456600928767,8,1911.4485365234696,8,4103.152630913334,1,375.5345048126858,10,116.78439251721228,17,1350.2741012573242
18,1405.7963324605644,23,1298.6614575932017,30,3129.252652289478,17,280.48170793127343,27,93.1185567708442,8,1315.2447891235352
37,1343.9816241972103,38,1188.2955515615197,17,3008.931575819336,11,275.4105447816017,25,86.69145653342838,9,1080.0824279785156
5,1332.279012577584,19,1141.7695004479056,34,2575.097243063586,25,275.3478530609036,9,84.5053399057209,24,949.6739540100098
6,1246.6133020161246,17,1121.388970747777,24,2393.231314992476,9,264.1644309670626,6,51.05509049341411,18,944.442440032959
20,1236.3567374796758,9,1083.8030145949372,9,2276.6249166957014,36,263.8046032195348,14,48.10349610099184,4,902.4276428222656
9,1192.8219021007635,11,937.448024945883,18,2245.7617526479416,20,251.5913238117093,15,46.10968387385119,5,894.1478881835938
33,901.3274304784538,24,899.6682212963885,23,2145.1236604308606,24,227.534177781974,19,43.08728086819061,20,833.4795074462891
23,846.4622028376597,18,839.9654201873773,21,1846.5153964555136,5,223.65212460304028,1,41.28294414201943,23,802.106448173523
16,796.1925337272743,4,785.6581259600857,20,1807.384460788146,27,211.58995377311825,39,31.18807271666109,11,788.135046005249
11,751.870385204201,33,719.9678567242618,11,1689.3184101500842,19,207.70090147915212,33,29.033830806034867,30,766.7223205566406
25,709.7497419500304,34,630.4980637108168,33,1621.2952872027156,23,201.7524764130571,11,23.04071218040812,33,765.3177852630615
4,706.2589274548089,20,571.0277233084703,4,1491.9170534148948,4,113.96385311954828,2,12.727996663605154,19,730.3523483276367
30,656.3906054237459,27,404.8710317352221,19,1351.977827744231,13,111.43451536499845,12,9.660401123089729,21,688.9092292785645
27,456.6860727977362,2,369.5817356369232,25,1014.644939091641,21,108.64195257119113,7,6.853917800355703,2,444.29743909835815
14,413.6617953019511,13,361.4187054719181,27,861.5571045329583,34,88.96527390758148,36,6.704037021281692,25,430.5950241088867
7,379.2556811157547,21,351.82968948107185,2,565.5679378614735,7,61.15814027873556,29,6.248366595281276,27,352.3586006164551
19,210.2083272963255,25,304.8951971416108,7,563.8373894401961,14,46.10390040561644,38,5.718899948867453,7,216.91371250152588
2,195.9862022245502,10,262.524417023005,14,533.1324908451359,10,38.203454805139806,34,5.686485752463341,14,212.5664796829224
29,113.30692207671764,7,184.58170832444145,13,416.1165151792872,33,34.98714217430139,13,5.568150913232103,13,165.37773036956787
12,59.29718344880807,14,119.47069554318472,10,283.9595104959302,12,23.897605575437705,35,4.000554392559511,10,144.15528059005737
13,54.69780970736909,32,74.83212195144704,12,105.76465286731118,2,14.78380259209497,40,1.8736522672104317,32,35.74519217014313
10,21.4350934729252,12,46.46746941850311,32,90.75716769229622,29,7.174244065326644,5,1.4972441555914884,12,30.608100414276123
32,15.925045740849177,26,2.5332071961202414,29,68.19319951465556,32,5.528662220881232,37,0.4069190798245401,29,25.738410353660583
26,6.2116552340250735,31,0.0,26,8.744862430145314,26,1.260828317637884,26,0.298420857711714,26,2.8263943195343018
31,0.0,28,0.0,31,0.0,31,0.0,28,0.1221348710743945,31,0.0
28,0.0,29,-45.11372256206211,28,0.0,28,0.0,31,0.004400231263844,28,0.0
