Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.21982902643724586,1.941282251843589,0.4068725166185624,0.039820734053785736,0.02069581463200495,1.722393534175696
Caza y pesca,0.14502851957098245,0.00979225035496302,0.0001951275645127177,0.006800905880790345,0.010639929652922164,1.2717943580652051
Minería (energía),0.3649976213723195,1.1463860276557047,0.05882474536819594,0.015060489007045461,0.009007230484047531,0.7987620931701133
Minería (no energía),0.1477303813165,1.2381874367786694,0.17024868672871912,0.011166489748862748,0.013412187226686348,1.0374235335460675
Carne y derivados,0.6350829134338352,0.11350562967243646,0.008107883891601397,0.177510513234723,0.013700519875721594,1.1023611803331281
"Molinería, panadería y pastas",0.5775421478189747,0.1770864879771585,0.035020886867221074,0.09948215106055631,0.029975572985808992,11.152421492159252
Azúcar y productos de confitería,0.4930048897720284,0.07729308186306255,0.008916970149333073,0.043587043287472337,0.03670377968431951,3.5367304288394874
Otros productos alimenticios,0.6009958795859813,0.09199831722369566,0.008619197752044073,0.1335943256058646,0.041951426892864865,3.63267413639666
Bebidas,0.45907901276699425,0.04602476359046902,0.0013168872763697184,0.022767872141932356,0.05167662700884121,4.649289233986428
Productos de tabaco,0.27114364497394516,0.1348908162890075,0.007051610785614741,0.025835836444358523,0.0,0.0
Textiles,0.2612963148105577,0.28864918030340375,0.014282557972856281,0.013985239202793043,0.0183182599931877,1.901768390225119
Confecciones,0.2175419936068729,0.023506700287919242,0.0015072015299626347,0.011646047066489989,0.020186989031591725,1.5966111252370159
Calzado,0.253352917652487,0.11352277895752132,0.004077505784318786,0.011509655265182852,0.025757259553913763,6.371608202556448
Madera y productos de madera y corcho,0.5483104616796889,0.3460357281327286,0.04107879760233244,0.07110121177530125,0.012810578463719222,4.555837899632804
"Pulpa de madera, papel, imprentas y editoriales",0.21313302772612705,0.22222394566410106,0.003887851083949936,0.006389988913935662,0.011257863205097614,1.348368397843249
"Coque, petróleo refinado y combustible nuclear",0.449753788422783,0.399403502164469,0.018096181182261896,0.020214578583096637,0.007542989427558004,0.6250581762484441
Productos químicos básicos,0.12153557074675413,0.050214748269642444,0.0014717951804209012,0.00702627770956845,0.012897389899145267,1.1306265963324724
Otros productos químicos (excluye farmacéuticos),0.05275344488707697,0.06069559009630312,0.002649763159960685,0.003052474850198737,0.006964205073245752,0.5551818501232374
Productos farmacéuticos,0.2222548196549751,0.03198615310328496,0.00131904348936391,0.012864730146914726,0.025856830735018245,2.0896202146958682
Productos de caucho y plástico,0.2728501197861672,0.09783003488426252,0.003795175729074696,0.015787938215291994,0.03456389987349979,2.6958341430964956
Productos minerales no metálicos,0.39842985684101856,0.6339419989095125,0.02345183841260894,0.02293864710903497,0.013561305150832651,1.039068823130212
Hierro y acero,0.6178539422105049,0.02184341524126952,0.0008631688134597135,0.07934572049962078,0.011241661602664555,0.889769586344031
Metales no ferrosos,0.5608445227010548,0.35890794062286174,0.008411853443985042,0.07202448621234116,0.010337635242346824,0.8074698899983906
Productos fabricados de metal (excepto maquinarias y equipos),0.2523965677258409,0.006112579911002776,0.0004605317603863208,0.004759790273236457,0.024108379260449134,1.7657361418163071
Maquinarias y equipos (excluye maquinaria eléctrica),0.04293280874984576,0.011478804656469171,0.0007590426053989412,0.0008096432028830435,0.004076276144808866,0.33558920662229463
Equipos de oficina (incluye equipo computacional),0.0,0.0,0.0,0.0,0.0,0.0
Maquinarias y aparatos eléctricos,0.06676794643857706,0.0026232196773848786,0.00017605684892535044,0.0012603725679072397,0.006375381516869762,0.5009234454626824
"Radio, televisión y equipos de telecomunicaciones",0.0,0.0,0.0,0.0,0.0,0.0
Equipo médico e instrumentos ópticos y de precisión,0.09166393321014245,0.0011568735539764475,7.649161753319896e-05,0.0017286332442291968,0.008715660031893425,0.6685517402241635
"Vehículos de motor, remolques y semirremolques",0.08622218415081434,0.006138614392942576,0.00035469503047012033,0.0016276084775005736,0.008254861251549462,0.6344600254041691
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.0,0.0
Otro equipo de transporte,0.057887381491480254,0.0,0.0,0.0010927349357219224,0.0,0.0
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.18101264967026687,0.04563391383212689,0.0022836043962899447,0.003369839268579411,0.011397342707585656,0.9004558779622773
Electricidad y gas,0.23063685949844295,0.3718677753261804,0.023233775640098108,0.008157904434750089,0.014663392999265546,1.1018998567532339
Construcción,0.42893942018581394,0.0185771852900479,0.00041532060543138526,0.0243188017400849,0.031422359941238535,2.307066666489819
Transporte,0.19894134003311753,0.962201724580136,0.07724638373480305,0.004056776460475826,0.02394516459772693,1.7463557270517738
Correo y telecomunicaciones,0.385161515037516,0.28714778831838045,0.009842449872074638,0.006043041718553175,0.022306365437996092,2.0325338566549487
Finanzas y seguros,0.22042095819506058,0.2152371012443362,0.010951219650629273,0.0036558060223919903,0.02443480651500759,1.7791249707222605
Servicios a empresas de todo tipo,0.269098264775387,0.6151467586204751,0.017792837764124894,0.0048155913148665895,0.02456040257510304,1.9911681134354273
Otros servicios,0.25764205763580245,0.7055375852834882,0.026340344087104443,0.0107901003236583,0.07461141161133619,5.5540201714569415
