Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.41003164363735456,2.577171061627143,0.30769788562295564,0.02828907795383445,0.0011126649721217375,0.7264107130784254
Caza y pesca,0.46699077030706204,0.01150213564705059,0.0014798013342465287,0.0387314504992165,0.0015089173670554967,1.1859640641074816
Minería (energía),0.475319458590262,0.5013458948564246,0.007010979959717894,0.012746634378008896,0.0014929624961658788,1.1935268502525311
Minería (no energía),0.5245783676529848,0.37301903520627255,0.008364652530483276,0.01283320730472354,0.0013293014231869754,1.238256923737723
Carne y derivados,0.7158478245268108,0.25778124260293583,0.016738405113356496,0.08050046571607057,0.0029788361792703498,2.315828429362342
"Molinería, panadería y pastas",0.7434550048355277,0.06588381907577838,0.008568863309403377,0.08517188527272841,0.002152314077939999,2.4442509742217484
Azúcar y productos de confitería,0.7346448402414584,0.1681379176243567,0.021007854098227353,0.08439238599051632,0.0021518303796876233,2.382271809942522
Otros productos alimenticios,0.724697491446428,0.7930078081511758,0.08330563383146464,0.08190044175470912,0.0022068495692567957,2.344071991074506
Bebidas,0.7402163255594847,0.0516845067360602,0.003628282603934441,0.08461545468701027,0.002697659964733717,2.4251317266800076
Productos de tabaco,0.7522434221425376,0.04849083079091258,0.00753344913424253,0.09734114709375416,0.002337205333581027,450.00706886041075
Textiles,0.5172198546006685,0.5898172130960847,0.02183861959565331,0.026205207648946426,0.0007208646864875992,0.6932693142910281
Confecciones,0.5473324011444551,0.24676177252930465,0.004286593889573126,0.011867127370628339,0.004150996288860817,31.564809087215256
Calzado,0.6276153464739319,0.05790330407260466,0.0010017204027362116,0.01058239647644195,0.004095722866907662,123.660693534595
Madera y productos de madera y corcho,0.5784502899594031,0.37596765009387495,0.015271843457702267,0.03393765102065347,0.0005792317315191311,1.0260550420391976
"Pulpa de madera, papel, imprentas y editoriales",0.5312303404026602,0.5362749361458012,0.025889446291192213,0.022061780275517227,0.001536483047431849,1.2828820799401797
"Coque, petróleo refinado y combustible nuclear",0.6585254704945783,1.0509327963282427,0.02859274975817612,0.00789223618089248,0.0017813933289910892,1.4498780422913873
Productos químicos básicos,0.5713365405408072,0.7457427693469297,0.026533891039214965,0.014508985547014972,0.0010797165606531594,0.8610878042362731
Otros productos químicos (excluye farmacéuticos),0.6057194796161568,0.9758821687972812,0.029159151019058166,0.02766609846775057,0.0013372227842926335,1.04063352958927
Productos farmacéuticos,0.387443035742189,0.06090483074415623,0.003186268608375061,0.011510817719446686,0.0011990846352889118,0.8464180225863727
Productos de caucho y plástico,0.5991515895116087,0.6321506743395502,0.022069202542329212,0.015038053116181485,0.0013162497890965776,1.01078344180558
Productos minerales no metálicos,0.5643989780520291,0.29862876036342534,0.006505267882100316,0.013291212727755387,0.0011758336756841445,1.184721645262963
Hierro y acero,0.5761633354385927,0.9760530417760522,0.017488226551274584,0.011577305478042494,0.0013717373991979432,1.1786383451792783
Metales no ferrosos,0.5045195216660637,0.18921011400245266,0.0035644849816917307,0.0111008897743698,0.001095885625792604,0.8859472101409038
Productos fabricados de metal (excepto maquinarias y equipos),0.5182120756047419,0.7564498664288739,0.022918544907699852,0.009827356504837131,0.0013308119934148433,1.0588007614315709
Maquinarias y equipos (excluye maquinaria eléctrica),0.5998949160157804,0.2951148000431515,0.010130183286838115,0.011213574807329214,0.0021983524205074043,1.7008423976953937
Equipos de oficina (incluye equipo computacional),0.42194294396939397,0.0020454400169634956,3.95773066683772e-05,0.010468271898693877,0.0022468658392675745,3.9154872235181744
Maquinarias y aparatos eléctricos,0.5749482003261293,0.4421080765011598,0.009357235187830116,0.011608771069596137,0.0018203626896542017,1.6639588289740803
"Radio, televisión y equipos de telecomunicaciones",0.5574964388314612,0.1846803723016016,0.0033089660455039183,0.012706957365460857,0.0016930474553255716,1.8202358260841947
Equipo médico e instrumentos ópticos y de precisión,0.33781684816681457,0.06301711933957849,0.000865216800012494,0.006849311039717935,0.0011810016275439073,2.189579991954003
"Vehículos de motor, remolques y semirremolques",0.6896480503250005,0.3891609067018718,0.008126392722635515,0.012879933198810478,0.0014538112340557192,2.4733944464856084
Aeronaves y naves espaciales,0.5839947678487026,0.059832195208826836,0.0009778855655044954,0.010160254966307342,0.001965037280967135,17.299748243773656
Otro equipo de transporte,0.5839947519202909,0.33904911332296045,0.005541351657204822,0.010160254683514386,0.0019650372605492894,17.299747883511294
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.48746174382758045,0.05352880332438708,0.001150559472065702,0.011041798431166169,0.0012863034887415504,1.1461712364856864
Electricidad y gas,0.4112682560759915,1.0864555853756388,0.03704778220822969,0.012026731523191643,0.0006243079617252936,0.5326368935567046
Construcción,0.3688679587704792,0.09816698235323715,0.001948505741511258,0.006807402332180093,0.0013468721198724451,1.223731805289156
Transporte,0.43787797590183253,1.3888806853738842,0.06310395332313418,0.012333466147428269,0.0024072049846661364,1.7121681435563298
Correo y telecomunicaciones,0.4401712302321513,0.08753691223508103,0.001957570875512766,0.012390324057388165,0.0023849335470359874,1.7215708342640923
Finanzas y seguros,0.2948713358786008,0.8665066252359699,0.028551445124309384,0.008203285726704297,0.0011750132942176487,0.933734950977898
Servicios a empresas de todo tipo,0.2777763197650723,1.8345694750866757,0.05607800352444226,0.008384911248887931,0.003031018212591579,2.171660608923759
Otros servicios,0.30254997940244555,1.914567882641796,0.07817355269378772,0.009175482544572774,0.002213852006055217,1.5889190914530211
