Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.5954869900100067,1.5955697780002973,0.1379569545437585,0.03680668818490403,0.003850837367325553,3.3359721423187008
Caza y pesca,0.5689080046121681,0.0781338548268088,0.005167293067830356,0.021915231477715253,0.003150140671377453,5.808806989126987
Minería (energía),0.28627089730222083,1.516069958883794,0.098814838319597,0.020387846536128875,0.0008495740275657419,0.7559388410668532
Minería (no energía),0.23666260909777637,0.6105807948090048,0.0217389724251728,0.013334207646229859,0.0005389022943573259,0.5280220599213707
Carne y derivados,0.6859561140931507,0.30964657974101184,0.020876670590052916,0.06068063593642702,0.001679387471643032,2.2329488395747363
"Molinería, panadería y pastas",0.6799415719703426,0.23188273600605078,0.01547050759669865,0.03776657489348984,0.002608030416097332,13.134767605512863
Azúcar y productos de confitería,0.670748870882387,0.005866307759641813,0.0004382836954851658,0.0604535497115908,0.0012951496834914954,1.371713462664498
Otros productos alimenticios,0.6821584376509792,0.5033821429918853,0.027468761116268392,0.04208736311072312,0.003955584834748147,7.271322082287119
Bebidas,0.6464771526110135,0.07988079854668641,0.0052964103483880975,0.04123902009744157,0.003453489940349338,8.521742933565962
Productos de tabaco,0.5696411985711862,0.07504297848574519,0.004789176147331783,0.0360571316561128,0.01080287023731088,744.6253964242329
Textiles,0.6083745008533116,0.17324249548158452,0.009119121914936494,0.03373535455312934,0.002046186149140087,3.44022603397046
Confecciones,0.61013115474603,0.05733492288191934,0.0029172061524135044,0.024409350533912695,0.0036487837449004157,3.9803366314915793
Calzado,0.6086549665886567,0.10296034035823505,0.0051546759440154015,0.02880990826407137,0.0052524963486173465,33.07477384530049
Madera y productos de madera y corcho,0.6602285321677732,0.23440832464532652,0.013725696532144172,0.038230643579363885,0.001316507271767439,3.029482509124778
"Pulpa de madera, papel, imprentas y editoriales",0.6298051477102475,0.49057600511729915,0.026615522515965818,0.02943088462742945,0.0016770413783833643,2.039485349631911
"Coque, petróleo refinado y combustible nuclear",0.5505053929350782,0.20863694894662108,0.010528107148948479,0.04030373848227405,0.0005880839805758645,0.5439653241512116
Productos químicos básicos,0.5494098541824034,1.4290015815383061,0.07376725695720095,0.03442625465424118,0.0016608165858498104,1.4542839082332717
Otros productos químicos (excluye farmacéuticos),0.5465164640991824,0.45878998133904925,0.02233245100978062,0.02921718270064495,0.0018538843009380968,2.0813703231097853
Productos farmacéuticos,0.5466853397163907,0.3451360034828723,0.016736048206550145,0.029226210918614177,0.0018543210167780001,2.0820010630847845
Productos de caucho y plástico,0.5459515442288907,0.5113259955897089,0.02649226837179947,0.02794495788918854,0.001310186035900312,1.3162945755702946
Productos minerales no metálicos,0.45021502712357314,0.186453192328797,0.007504759004087369,0.023610857971180885,0.0007824073667439089,0.9290209630701668
Hierro y acero,0.7134639662703143,0.6399321879996385,0.02578331483245104,0.03038895950124999,0.0011266630968442928,1.7577298317300292
Metales no ferrosos,0.4658015235642443,0.268037947462329,0.00904795126188881,0.012923358635048763,0.000589822775982378,0.7393601947051044
Productos fabricados de metal (excepto maquinarias y equipos),0.34795151530800933,0.09430987462387211,0.003867932018820312,0.014830417608695546,0.0010384482996819437,1.031102591411757
Maquinarias y equipos (excluye maquinaria eléctrica),0.3676069267321072,0.2975576649944632,0.011527665959457542,0.017841464596155106,0.0011894567263522446,1.1700456322664794
Equipos de oficina (incluye equipo computacional),0.4611294168812594,0.1590584115775266,0.002217182209446917,0.013939026131295273,0.0033649665070570635,4.3591585948387905
Maquinarias y aparatos eléctricos,0.40945393471047037,0.18941572780244,0.006306313017998958,0.01237697897065752,0.003108278947057334,3.8751598304998733
"Radio, televisión y equipos de telecomunicaciones",0.4649432506081956,0.1944455767790667,0.0005777185134818514,0.0018097862788754196,0.0,0.0
Equipo médico e instrumentos ópticos y de precisión,0.46494228422852296,0.12505860622013032,0.00037156243551734986,0.0018097825172536173,0.0,0.0
"Vehículos de motor, remolques y semirremolques",0.3167331429857649,0.7384443909461273,0.0021939969162226543,0.001232880132125567,0.0,0.0
Aeronaves y naves espaciales,0.39133997996000164,0.11672113970453633,0.002987312498312591,0.01574461585479369,0.0020369004213157587,2.3519884859075204
Otro equipo de transporte,0.33913241412420053,0.1617274086626353,0.00417202756407936,0.013644170945273967,0.0018283118701784048,2.0435746401493122
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.05672027988892964,0.021992563973999676,0.0009639304647557237,0.0022045754950457616,0.00039773001257859485,0.3884791722969766
Electricidad y gas,0.5503328669783457,0.8170117156873323,0.03894201705646116,0.024248626785054184,0.0005706726408906301,0.8973741531299413
Construcción,0.556626118361204,0.2309730854648168,0.0109383366755332,0.023862255281554667,0.0032547981939201787,2.7254759638439086
Transporte,0.48575725424372285,1.3885376324763472,0.07579206126186866,0.02495850471940682,0.0027692944135648545,2.644199181853194
Correo y telecomunicaciones,0.5433045115016498,0.4104891444091833,0.021181863991334655,0.03131767359239771,0.0006550401745646302,1.2912173027138591
Finanzas y seguros,0.2575995962114877,0.937370034546644,0.04361977694447912,0.01510411276002873,0.0003599258167676513,0.3895306725831202
Servicios a empresas de todo tipo,0.4646917024299841,2.863297774371731,0.14551474363285918,0.02839967817572868,0.0017248686293448838,1.5582350194184431
Otros servicios,0.07157979806843033,0.7995376447461506,0.04108331113660474,0.003289538594545247,0.0005991880559727257,0.537767155881135
