Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.263677030919598,2.115199325289748,0.3301120431372605,0.019420260475252513,0.008921860669846455,1.46580431525976
Caza y pesca,0.26791571794283986,0.08989419202086499,0.0031600524570338305,0.00565744308867904,0.008052281405949093,6.2661836204936465
Minería (energía),0.19672995497441337,0.5286599313297099,0.005962154092981596,0.0043857421914028,0.004680873038989651,0.8878386439523237
Minería (no energía),0.2860850664944773,0.4828272839614204,0.011258584589686085,0.011103483571159494,0.010119640062640177,1.6452552633132669
Carne y derivados,0.9169582195173792,0.19054931000990089,0.01643368614819746,0.155289891714051,0.0075500856810870294,1.4953808917195845
"Molinería, panadería y pastas",0.6294503408858511,0.12672000067103273,0.011311141821456525,0.06123907162638755,0.013900035826152481,4.888175117958194
Azúcar y productos de confitería,0.6580149163324889,0.10925538878003158,0.007392740851296983,0.0725010213653082,0.010843294631741721,2.3265337746938033
Otros productos alimenticios,0.6808474087863701,0.4404074020020383,0.03410935728499385,0.07572386365345463,0.013628451304256398,3.587546644781951
Bebidas,0.4819038612701307,0.06011954231644473,0.002512292507059064,0.019665986161721504,0.01668142571612042,4.952445222909299
Productos de tabaco,0.48560292619997075,0.0032708585775790273,0.00023987191351733758,0.05884865493122595,0.006373824998454874,2.2751623081095165
Textiles,0.5009854304884845,0.4057100879045493,0.013944915580473203,0.025236810215976537,0.007005374489311762,1.7399535168609055
Confecciones,0.5549281202643706,0.18177780567558652,0.005980259244914804,0.017679288343316234,0.00951248930502828,5.935978923889752
Calzado,0.5299941364616503,0.16405851937317997,0.006272122542877323,0.014100749868788493,0.013270826403102651,5.6214880673542105
Madera y productos de madera y corcho,0.5852915211643277,0.17623404662440148,0.007401177999093924,0.04643201625989777,0.021835986589826897,4.881080987554967
"Pulpa de madera, papel, imprentas y editoriales",0.5315322157774128,0.7059204920916085,0.03395740887643688,0.02218640938782595,0.007920338780971977,1.604588083594958
"Coque, petróleo refinado y combustible nuclear",0.41208731593829057,0.3070373158108478,0.009819889764169084,0.003724659495302488,0.0046506464939855005,0.7746561479918505
Productos químicos básicos,0.2909182630182496,0.7941468488247615,0.02724787024585772,0.011488027265798516,0.004963058954022293,0.9192946097181598
Otros productos químicos (excluye farmacéuticos),0.665065475806715,0.10735341914442502,0.004259344580394788,0.02607542085031091,0.013936236321852454,2.599083031467212
Productos farmacéuticos,0.490264313345903,0.037753208216679573,0.0019536337730909413,0.02154728679246668,0.007512836410042507,1.8720380276341868
Productos de caucho y plástico,0.48428546349964363,0.6364985218490746,0.027151804073665835,0.0173501907807515,0.008344147545463476,1.4026024314699386
Productos minerales no metálicos,0.4905940441774973,0.33127862357811466,0.008569984328641152,0.014175366740746306,0.008559087956575144,1.7950206225623269
Hierro y acero,0.6969039114309193,0.47166164163670404,0.012741466604159752,0.018023098450629698,0.010765269851344343,2.4415377378585688
Metales no ferrosos,0.21759099060860457,0.430178049448533,0.011328929432926245,0.007305277886201996,0.00183102722211462,0.40904287475091833
Productos fabricados de metal (excepto maquinarias y equipos),0.5822690056565476,0.18773310215410632,0.006361814464530368,0.01617013015352036,0.015151285042501282,3.240946411585211
Maquinarias y equipos (excluye maquinaria eléctrica),0.47082810540128434,0.1661275514252697,0.00572666641285674,0.013702551997547848,0.013704697301799709,2.6169932338508826
Equipos de oficina (incluye equipo computacional),0.5490772963714702,0.0,0.0,0.0023130013867193175,0.0,0.0
Maquinarias y aparatos eléctricos,0.5404078222318534,0.07187486667813997,0.0019647206020902428,0.01900048586724399,0.011728502021669696,2.8634759780768606
"Radio, televisión y equipos de telecomunicaciones",0.08459399422917292,0.5290601513234676,0.004262543754578603,0.0017904167218968175,0.0009426316752365855,0.2822232651159581
Equipo médico e instrumentos ópticos y de precisión,0.29559315629070354,0.028810404321431133,0.0007240842230229651,0.008968474774985025,0.004354440231905605,1.1550978434124195
"Vehículos de motor, remolques y semirremolques",0.4165382133448867,0.132078765562063,0.004199464714575063,0.015587434420962899,0.014576793986993719,7.458113566110073
Aeronaves y naves espaciales,0.7487865386612055,0.028654375911256413,0.002910447325120664,0.06080832734931976,0.006154560936864466,52.36447080731413
Otro equipo de transporte,0.4434471339650432,0.09151678888372854,0.0030864365356356367,0.019063629527971537,0.004675253822717538,7.637869160191583
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.5005080605772319,0.11118942273974215,0.0034143209364399627,0.014852373148921934,0.021164908040774262,5.101041493990097
Electricidad y gas,0.4382505115124109,0.8202686885590831,0.028686030690521076,0.009377025381935484,0.009185083608635748,2.0134224041864273
Construcción,0.4591746819264887,0.0972622017963572,0.0020573405559794573,0.012637782791468955,0.02331317714775322,3.886630897075582
Transporte,0.39648179210191875,1.3396016867793041,0.05554443522259211,0.018057599502263204,0.011471354945323116,1.8574160042212593
Correo y telecomunicaciones,0.4229526305218496,0.3160726489079907,0.010938759670163214,0.017610742132656634,0.007599226607029261,1.5845324720500722
Finanzas y seguros,0.3290525640103955,0.5930293007130418,0.021585388808269997,0.012421723825146419,0.005063286518339503,0.9938332467694039
Servicios a empresas de todo tipo,0.24665975563857725,2.0230507882587996,0.0894874236307483,0.011939678194704716,0.00425292835988902,0.690255844080239
Otros servicios,0.3214747109351707,3.13088005953078,0.16592939060269074,0.016538601706079306,0.02322809938570375,2.8643456714316633
