Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.2561514383803612,2.210896815332911,0.3827675317196849,0.0268810197063717,0.010547594495243359,1.9889018873056574
Caza y pesca,0.38614826877385156,0.014218376037038799,0.0007650803078069817,0.030066620885337868,0.01311430079953176,42.62898382836255
Minería (energía),0.0,0.0,0.0,0.0,0.0,0.0
Minería (no energía),0.1799914452968092,0.013128786888779208,0.0005665425279285857,0.006840781593837253,0.012413846250979677,2.1693512750747415
Carne y derivados,0.7797443305645878,0.0488788888016369,0.00628488640759236,0.14196346798682663,0.014232905997550067,3.166384258080581
"Molinería, panadería y pastas",0.777648091179633,0.2104416374595481,0.03182157880587989,0.09474077996209934,0.022587194974275557,23.960458609342304
Azúcar y productos de confitería,0.6673050042519372,0.12991083944834889,0.0065668471670688065,0.10140550611652983,0.01987992325653825,3.641170968589857
Otros productos alimenticios,0.6498026638063524,0.1531651166936126,0.023657865540668847,0.08880006466948516,0.0153302293751771,4.7347471572809345
Bebidas,0.30150800133619177,0.06089287410003908,0.002301701340767187,0.014781721366082069,0.02770875968304351,6.022291180552943
Productos de tabaco,0.2997779345273453,0.040426383969909434,0.0015280845839702204,0.014757724810683276,0.027702492309237194,6.021298926790775
Textiles,0.5240137713688569,0.45461942443066844,0.04388590760180731,0.051872940284156586,0.014405769358212701,4.308254176779944
Confecciones,0.5193312032312436,0.18948575799708411,0.01828589305214712,0.05190202122255808,0.014345836614631109,4.2680773043600775
Calzado,0.6676816629442195,0.21754467574488176,0.013628805319194685,0.03511257547559616,0.016616821975831517,28.20129280693341
Madera y productos de madera y corcho,0.6707718359291626,0.11887927020216801,0.01564078191968754,0.1031479865648561,0.00961048711126879,4.358600007604211
"Pulpa de madera, papel, imprentas y editoriales",0.39112110382458276,0.2948292744942885,0.00815131235691291,0.013612261937491023,0.00972645321245285,4.033199897501567
"Coque, petróleo refinado y combustible nuclear",0.06443361357348151,0.47705160642086053,0.02269976193356017,0.0023073261563860224,0.0014487304707064587,0.31448266342401227
Productos químicos básicos,0.12607030447023027,0.0841763864673269,0.0031535508760122235,0.008795362843204172,0.0031721269661567123,0.6482515669050423
Otros productos químicos (excluye farmacéuticos),0.12037691718594273,0.06086496882175908,0.0024156987597547747,0.008747285379151527,0.0030890570098932248,0.5991856419893179
Productos farmacéuticos,0.10951483478632032,0.26480949259954256,0.010275431707087055,0.008697509743316624,0.0030682245194920757,0.5917312619423268
Productos de caucho y plástico,0.10951483477454427,0.1295669075691093,0.005027649463155062,0.008697509742381381,0.003068149830733073,0.5917267498216487
Productos minerales no metálicos,0.2982099207103335,0.2285027484007527,0.010345783408262192,0.027317453427799166,0.009238418172284057,2.054676893719965
Hierro y acero,0.0721885870785756,0.19929846738088103,0.004761624990685469,0.0031515055401856204,0.0014026344489793147,0.3339302983493754
Metales no ferrosos,0.10486487194661386,0.0232779177211463,0.0005483970907850779,0.0032408847816446794,0.0015971496300025258,0.4338728208767016
Productos fabricados de metal (excepto maquinarias y equipos),0.08673998625747735,0.018795244382311,0.0008915618298075762,0.0032236134057790885,0.004849990284239844,0.9038912365986121
Maquinarias y equipos (excluye maquinaria eléctrica),0.08506371745760173,0.1462675907153569,0.0075162931485537226,0.003332903886180189,0.005009691414801346,0.940164016134503
Equipos de oficina (incluye equipo computacional),0.0633576903419939,0.0026635057622172833,0.0001390726352171292,0.003112806850627603,0.003711112375220139,0.6986502896356639
Maquinarias y aparatos eléctricos,0.0637395922782106,0.002949564888492041,0.00019044906992232114,0.003118312532061365,0.0037068604413181294,0.7046972399955218
"Radio, televisión y equipos de telecomunicaciones",0.06349434697005611,0.00729875910155444,0.0003379639923190349,0.003114843592944177,0.003727186505289253,0.7005062769678311
Equipo médico e instrumentos ópticos y de precisión,0.0,0.0,0.0,0.0,0.0,0.0
"Vehículos de motor, remolques y semirremolques",0.0,0.0,0.0,0.0,0.0,0.0
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.0,0.0
Otro equipo de transporte,0.07148694018176213,0.030199064882821435,0.0012846837858370907,0.003186287483464168,0.004149088723163175,0.7756586930053014
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.39266181785067444,0.123218864279691,0.008588448542524255,0.017777144163162763,0.01710516306321471,3.429948153589013
Electricidad y gas,0.1926341632253792,0.27175257085314364,0.015957438183282473,0.013227312058917369,0.011084549844293535,2.086503688996394
Construcción,0.5260221105234197,0.08640247568306739,0.003581688441687966,0.02561894943477856,0.027967306321258805,4.531213574214764
Transporte,0.25391367522871444,0.5628139168696077,0.0496123848396551,0.015816537874192092,0.022285770269127494,4.047725748089855
Correo y telecomunicaciones,0.40867744689612995,0.41870784496414093,0.023664960481621228,0.019844131907117795,0.022372300283896737,3.9808528455944083
Finanzas y seguros,0.24966742641632253,0.3544507984495585,0.01912816654484893,0.00960243313242416,0.009175558225398502,1.6653262759556322
Servicios a empresas de todo tipo,0.25972939899785713,0.5703175141518538,0.02431463822823345,0.010973024632329681,0.02131807270476613,3.8697091506153947
Otros servicios,0.32099827440817685,2.893652895008843,0.22971153339607053,0.021211388850040647,0.04329542604739903,7.473148482699758
