Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.2140152336763033,1.6763648525045638,0.2395029627706986,0.023809220306326925,0.008665182826910083,1.0554631777340193
Caza y pesca,0.33163557485224276,0.1635861726242551,0.014043608840750413,0.011871253813205206,0.01924360716768061,2.0998272280261916
Minería (energía),0.3142494239175106,0.5566847818537641,0.011282030834384027,0.010298063347495228,0.005021154648549768,0.7763424634650472
Minería (no energía),0.24836836065285356,0.6301228221178439,0.019663575110719946,0.009920596328560976,0.0046817873165731485,0.5929200560137583
Carne y derivados,0.8112441525885403,0.15717877876963018,0.019740384861109014,0.11929069049599438,0.01018084765528173,1.79778988471181
"Molinería, panadería y pastas",0.5550167929925822,0.16718147631226013,0.015802077712216606,0.049969452797866784,0.011789154745041067,9.649608340966301
Azúcar y productos de confitería,0.6418147108310732,0.13235738315150924,0.011776959748414452,0.05809953905569845,0.012747232544137278,3.476837783935742
Otros productos alimenticios,0.6042132972985667,0.26600396124157355,0.02322073216542173,0.0443008875565691,0.029783912976660575,3.7007350683031155
Bebidas,0.48135132882331055,0.02940114431337097,0.0014396132664852013,0.026659875709488266,0.019769033659963815,4.850067496558079
Productos de tabaco,0.3602053511236778,0.0002104711962878,1.5686100432817335e-05,0.04009559430040649,0.004000064095595871,0.48150241293084606
Textiles,0.5111635663770124,0.5705466135482115,0.031307993085255025,0.03489388151618363,0.007964384843819764,1.787618182417215
Confecciones,0.5611457896496759,0.10855145418696839,0.005649085800366516,0.02497333088397237,0.00898721512475614,4.491221187101464
Calzado,0.5281319568414344,0.16425437359329806,0.00692592032198559,0.021383606636047735,0.01769418059015066,14.674370618287039
Madera y productos de madera y corcho,0.5676566928611476,0.2899906717188121,0.021447256170323642,0.04773887014024209,0.007139593013771629,2.164221446510277
"Pulpa de madera, papel, imprentas y editoriales",0.4216138106372908,0.5103079120941458,0.023869081370686197,0.01630358077249958,0.007695595045826003,1.5368705882899567
"Coque, petróleo refinado y combustible nuclear",0.32503285254305503,0.578164777967757,0.02627760870828652,0.004665843105218048,0.004119456956301676,0.5021433703577612
Productos químicos básicos,0.47580701455985674,0.16190871993115055,0.006910073249761337,0.02383498440701263,0.01088644354032681,1.3257450491941027
Otros productos químicos (excluye farmacéuticos),0.4026847379871474,0.41712179517566034,0.02001383570468168,0.018805539161538765,0.009238487929624692,1.2826454820658058
Productos farmacéuticos,0.45889328867200085,0.07323890467260806,0.004069977500837418,0.02787056368632325,0.010073089904745357,4.158920356854536
Productos de caucho y plástico,0.2754484963053699,0.5193710965927286,0.026522887580866215,0.013193303660537184,0.006884207083738644,0.8890641225495086
Productos minerales no metálicos,0.46050733180022374,0.26999290114275026,0.010666818730828162,0.018790795893023435,0.006718848610884551,0.9336014401767866
Hierro y acero,0.43253664982037404,0.43089649004112957,0.017124992951408763,0.029177537638129525,0.00887155826013806,1.0163989813078933
Metales no ferrosos,0.575545271528069,0.7425029910939833,0.025403456754657397,0.013051155374116228,0.005107779825350494,0.7017189847586819
Productos fabricados de metal (excepto maquinarias y equipos),0.38676200947889894,0.5098879396002056,0.020767877820485153,0.020869703426757532,0.008193394286043685,1.047956383645659
Maquinarias y equipos (excluye maquinaria eléctrica),0.568966115748265,0.018291552592529285,0.0007875334401479465,0.01629209918746451,0.01641325868502447,2.0230040177008983
Equipos de oficina (incluye equipo computacional),0.2740155573560447,0.15444953468565611,0.0061349109105508035,0.01212413527207376,0.022101833894673163,6.480638844859339
Maquinarias y aparatos eléctricos,0.48862186361037724,0.27332921977854774,0.011456350710882123,0.01721810417293776,0.016618115762352042,2.3069054764461705
"Radio, televisión y equipos de telecomunicaciones",0.45803838817874554,0.04146061834966633,0.0018051186034290774,0.022487332593370053,0.025639685025401593,11.542389716093465
Equipo médico e instrumentos ópticos y de precisión,0.42368513843851463,0.05065495266631814,0.0021166127777140623,0.025261008300158337,0.029706133659629704,11.858475213996114
"Vehículos de motor, remolques y semirremolques",0.3905535298870093,0.02360680170952615,0.0010329835503482016,0.019618332309487476,0.009687534163318672,1.6813794037659955
Aeronaves y naves espaciales,0.0,0.0,0.0,0.0,0.0,0.0
Otro equipo de transporte,0.4443283510307683,0.09039358782187974,0.003461127042628986,0.022493720198238715,0.011367968831704663,2.4925068830690247
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.4838787980189878,0.2404761659841273,0.010102285330636894,0.021834111946002686,0.008363811250661607,3.2420952848861346
Electricidad y gas,0.41701332927658546,0.5052135768809694,0.022679192745759393,0.01203369440881611,0.005299080049211858,0.8092618789687066
Construcción,0.4441265380037201,0.10769152713149428,0.004712630378861369,0.016824124410021582,0.014090446682284215,1.8388474699201642
Transporte,0.4537052899131321,0.9155229177972586,0.04385322749646981,0.026212956131866826,0.007741986550478576,1.018412619733904
Correo y telecomunicaciones,0.4216043331306731,0.3056888905364647,0.012960574949401484,0.021465916002769245,0.006308834171684664,1.2814770707014302
Finanzas y seguros,0.26961535379484136,0.6257545062803067,0.02891056995225587,0.014211263284392933,0.005493876540075085,0.7117384719349429
Servicios a empresas de todo tipo,0.3979023689592874,1.2003505719437424,0.0575422008566374,0.02570086528852623,0.011346770000667637,1.424162495667308
Otros servicios,0.2941801135098473,3.496565855072063,0.18900018409321398,0.016354466480659833,0.029255372014984456,3.2779839684472094
