Sector,In degree weighted,Out degree weighted,Hub,Authority,Random Walk Centrality,Counting Betweenness
Agricultura y forestal,0.38752428838927244,2.197923164992163,0.2646905235008143,0.03133711889208234,0.006622339491879032,1.057178365842518
Caza y pesca,0.42805284164945384,0.05345189634149516,0.004420714547905008,0.017913075785334773,0.010805937669131776,3.6731267635305493
Minería (energía),0.27799959409635655,0.7151514724486822,0.018718726907779586,0.008813385956876075,0.003280152379224417,0.6030754684125172
Minería (no energía),0.3241519549922737,0.495272751986418,0.011573841963203378,0.010148109946812001,0.003436365670533792,0.6400913321298412
Carne y derivados,0.7755036784493715,0.22980255726803844,0.01714098827313542,0.10787075131612793,0.010507566035924851,2.011216484603225
"Molinería, panadería y pastas",0.6606965882575709,0.17452075738674033,0.018427041731402884,0.061748651566752986,0.008525130021663775,4.683777741025155
Azúcar y productos de confitería,0.699752063090614,0.14559473415586496,0.0169424909579534,0.07838630465148903,0.009714572489131455,2.491930334771092
Otros productos alimenticios,0.7100019603159486,0.5856617640265275,0.05430864832869568,0.07901890418662297,0.014104436531269608,3.5353598369186483
Bebidas,0.650332385344624,0.08775599801262741,0.006385219863657129,0.0533746397171519,0.012486700504290538,3.800067334607721
Productos de tabaco,0.6213763281926533,0.05713054996557476,0.0072630565373909646,0.07549066671365932,0.0060250325247362315,53.758912249521444
Textiles,0.5316692526728412,0.563512950307367,0.022258457868607914,0.02804424298966341,0.0047252566531657755,1.0926462204209029
Confecciones,0.5740718497611552,0.17946885379879768,0.004945592140089429,0.01628495841897706,0.012637857024368081,4.905460971209813
Calzado,0.6415990656799155,0.13088278265059566,0.0035831020342422387,0.015291281619901497,0.017990730296336868,29.07045493732358
Madera y productos de madera y corcho,0.5715028874371311,0.3392090278210007,0.015659583097467712,0.037556887042387674,0.006276580059088922,2.0922568786294042
"Pulpa de madera, papel, imprentas y editoriales",0.5605907756544423,0.5734878872442265,0.028568868996080497,0.02389016877644922,0.004868487330315089,1.127266381524771
"Coque, petróleo refinado y combustible nuclear",0.672488247266563,0.7018856583855281,0.023108020958340122,0.013646944076348866,0.0037790346789991244,0.7104238823131158
Productos químicos básicos,0.5773993416883274,0.8544496875128678,0.03380122726416851,0.018154296321682722,0.004816773335622805,0.9056455166094979
Otros productos químicos (excluye farmacéuticos),0.5825195975663667,0.7195719072181782,0.025873634352349018,0.027040782442076562,0.006270481743191415,1.1704229620240794
Productos farmacéuticos,0.43433288511646273,0.0831257183346438,0.0034198678505793887,0.01655717611621936,0.005373206206262509,1.1334904755179924
Productos de caucho y plástico,0.587727269275578,0.621964788017829,0.026294976569712695,0.018543939723995026,0.006113135635314043,1.0853400085816391
Productos minerales no metálicos,0.5292959223073374,0.2876570154810654,0.008893410223552955,0.015526422117419057,0.004838241727594583,1.0818184773323423
Hierro y acero,0.5870643757444798,0.9000475287713889,0.020628282621319577,0.014690436277207931,0.0048318492279605845,0.9925116242709963
Metales no ferrosos,0.5359137412968911,0.3639108303351212,0.008294562956527928,0.01045040659640241,0.004208196816602853,0.9551441550377213
Productos fabricados de metal (excepto maquinarias y equipos),0.5206339375725001,0.5810256170323831,0.018804242396612433,0.013221709865832541,0.005530701514152944,1.0450887063694696
Maquinarias y equipos (excluye maquinaria eléctrica),0.5419294025648698,0.26599751791441223,0.009355796428958419,0.01324350201363799,0.009529851338726308,1.7610604613729206
Equipos de oficina (incluye equipo computacional),0.4276877234562794,0.025267384472181933,0.0005777460082422987,0.011913471417737678,0.015089086611509926,3.9367690088149536
Maquinarias y aparatos eléctricos,0.5552102669425006,0.38126247365048826,0.009522471583953147,0.013044033673429569,0.011546257688992452,2.5580839961456032
"Radio, televisión y equipos de telecomunicaciones",0.5357512723399435,0.1754694682980189,0.003906049772689533,0.01443571809208268,0.011016144447695973,3.3735884665962605
Equipo médico e instrumentos ópticos y de precisión,0.39690806403269974,0.06679439855159189,0.0013120376336545182,0.008862121912991,0.013080423006439964,5.612784541091541
"Vehículos de motor, remolques y semirremolques",0.6029616958003948,0.37928888350219353,0.009078496829661121,0.013878588677002536,0.008592293164490289,3.33688575167503
Aeronaves y naves espaciales,0.5455433994978753,0.07137365995521719,0.0016006635504270375,0.013051992447051854,0.009409542214709741,4.26817846301301
Otro equipo de transporte,0.5377160441690395,0.2923921660641857,0.0065282896080528525,0.012932761013283335,0.007984615855331601,4.004300925355859
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.49914586506431996,0.09886305337888036,0.002995665263864725,0.0147596457744198,0.009368666080338817,2.3847629002430386
Electricidad y gas,0.4452229478925864,0.9031481776063572,0.033171297082277104,0.014763039797419397,0.0027444482632226347,0.5852867073554158
Construcción,0.4330158891667348,0.1355030365244843,0.003912018180965964,0.011307159497414516,0.008113084950941346,1.4907892668323024
Transporte,0.449038960163481,1.2994694824475725,0.06168335262747931,0.016509901756391852,0.006107825776155942,1.050062478352471
Correo y telecomunicaciones,0.3905021885496873,0.23831743401158292,0.0072139706396933895,0.013856140764522068,0.0043348768747285184,1.159797472666056
Finanzas y seguros,0.3125090870588045,0.7954908062934218,0.028933534595618638,0.011376039095776261,0.003022816325447047,0.5866518168838994
Servicios a empresas de todo tipo,0.2904883780246096,1.819561652287773,0.06514831206845259,0.01147995183899227,0.009446219831211217,1.5980608021801448
Otros servicios,0.29160345758790585,2.1067699796763746,0.09105521618442118,0.011584671110374655,0.008767136682756338,1.4340742257130197
