In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Hierro y acero,0.7134639662703143,Servicios a empresas de todo tipo,2.863297774371731,Servicios a empresas de todo tipo,0.14551474363285918,Carne y derivados,0.06068063593642702,Productos de tabaco,0.01080287023731088,Productos de tabaco,744.6253964242329
Carne y derivados,0.6859561140931507,Agricultura y forestal,1.5955697780002973,Agricultura y forestal,0.1379569545437585,Azúcar y productos de confitería,0.0604535497115908,Calzado,0.0052524963486173465,Calzado,33.07477384530049
Otros productos alimenticios,0.6821584376509792,Minería (energía),1.516069958883794,Minería (energía),0.098814838319597,Otros productos alimenticios,0.04208736311072312,Otros productos alimenticios,0.003955584834748147,"Molinería, panadería y pastas",13.134767605512863
"Molinería, panadería y pastas",0.6799415719703426,Productos químicos básicos,1.4290015815383061,Transporte,0.07579206126186866,Bebidas,0.04123902009744157,Agricultura y forestal,0.003850837367325553,Bebidas,8.521742933565962
Azúcar y productos de confitería,0.670748870882387,Transporte,1.3885376324763472,Productos químicos básicos,0.07376725695720095,"Coque, petróleo refinado y combustible nuclear",0.04030373848227405,Confecciones,0.0036487837449004157,Otros productos alimenticios,7.271322082287119
Madera y productos de madera y corcho,0.6602285321677732,Finanzas y seguros,0.937370034546644,Finanzas y seguros,0.04361977694447912,Madera y productos de madera y corcho,0.038230643579363885,Bebidas,0.003453489940349338,Caza y pesca,5.808806989126987
Bebidas,0.6464771526110135,Electricidad y gas,0.8170117156873323,Otros servicios,0.04108331113660474,"Molinería, panadería y pastas",0.03776657489348984,Equipos de oficina (incluye equipo computacional),0.0033649665070570635,Equipos de oficina (incluye equipo computacional),4.3591585948387905
"Pulpa de madera, papel, imprentas y editoriales",0.6298051477102475,Otros servicios,0.7995376447461506,Electricidad y gas,0.03894201705646116,Agricultura y forestal,0.03680668818490403,Construcción,0.0032547981939201787,Confecciones,3.9803366314915793
Confecciones,0.61013115474603,"Vehículos de motor, remolques y semirremolques",0.7384443909461273,Otros productos alimenticios,0.027468761116268392,Productos de tabaco,0.0360571316561128,Caza y pesca,0.003150140671377453,Maquinarias y aparatos eléctricos,3.8751598304998733
Calzado,0.6086549665886567,Hierro y acero,0.6399321879996385,"Pulpa de madera, papel, imprentas y editoriales",0.026615522515965818,Productos químicos básicos,0.03442625465424118,Maquinarias y aparatos eléctricos,0.003108278947057334,Textiles,3.44022603397046
Textiles,0.6083745008533116,Minería (no energía),0.6105807948090048,Productos de caucho y plástico,0.02649226837179947,Textiles,0.03373535455312934,Transporte,0.0027692944135648545,Agricultura y forestal,3.3359721423187008
Agricultura y forestal,0.5954869900100067,Productos de caucho y plástico,0.5113259955897089,Hierro y acero,0.02578331483245104,Correo y telecomunicaciones,0.03131767359239771,"Molinería, panadería y pastas",0.002608030416097332,Madera y productos de madera y corcho,3.029482509124778
Productos de tabaco,0.5696411985711862,Otros productos alimenticios,0.5033821429918853,Otros productos químicos (excluye farmacéuticos),0.02233245100978062,Hierro y acero,0.03038895950124999,Textiles,0.002046186149140087,Construcción,2.7254759638439086
Caza y pesca,0.5689080046121681,"Pulpa de madera, papel, imprentas y editoriales",0.49057600511729915,Minería (no energía),0.0217389724251728,"Pulpa de madera, papel, imprentas y editoriales",0.02943088462742945,Aeronaves y naves espaciales,0.0020369004213157587,Transporte,2.644199181853194
Construcción,0.556626118361204,Otros productos químicos (excluye farmacéuticos),0.45878998133904925,Correo y telecomunicaciones,0.021181863991334655,Productos farmacéuticos,0.029226210918614177,Productos farmacéuticos,0.0018543210167780001,Aeronaves y naves espaciales,2.3519884859075204
"Coque, petróleo refinado y combustible nuclear",0.5505053929350782,Correo y telecomunicaciones,0.4104891444091833,Carne y derivados,0.020876670590052916,Otros productos químicos (excluye farmacéuticos),0.02921718270064495,Otros productos químicos (excluye farmacéuticos),0.0018538843009380968,Carne y derivados,2.2329488395747363
Electricidad y gas,0.5503328669783457,Productos farmacéuticos,0.3451360034828723,Productos farmacéuticos,0.016736048206550145,Calzado,0.02880990826407137,Otro equipo de transporte,0.0018283118701784048,Productos farmacéuticos,2.0820010630847845
Productos químicos básicos,0.5494098541824034,Carne y derivados,0.30964657974101184,"Molinería, panadería y pastas",0.01547050759669865,Servicios a empresas de todo tipo,0.02839967817572868,Servicios a empresas de todo tipo,0.0017248686293448838,Otros productos químicos (excluye farmacéuticos),2.0813703231097853
Productos farmacéuticos,0.5466853397163907,Maquinarias y equipos (excluye maquinaria eléctrica),0.2975576649944632,Madera y productos de madera y corcho,0.013725696532144172,Productos de caucho y plástico,0.02794495788918854,Carne y derivados,0.001679387471643032,Otro equipo de transporte,2.0435746401493122
Otros productos químicos (excluye farmacéuticos),0.5465164640991824,Metales no ferrosos,0.268037947462329,Maquinarias y equipos (excluye maquinaria eléctrica),0.011527665959457542,Transporte,0.02495850471940682,"Pulpa de madera, papel, imprentas y editoriales",0.0016770413783833643,"Pulpa de madera, papel, imprentas y editoriales",2.039485349631911
Productos de caucho y plástico,0.5459515442288907,Madera y productos de madera y corcho,0.23440832464532652,Construcción,0.0109383366755332,Confecciones,0.024409350533912695,Productos químicos básicos,0.0016608165858498104,Hierro y acero,1.7577298317300292
Correo y telecomunicaciones,0.5433045115016498,"Molinería, panadería y pastas",0.23188273600605078,"Coque, petróleo refinado y combustible nuclear",0.010528107148948479,Electricidad y gas,0.024248626785054184,Madera y productos de madera y corcho,0.001316507271767439,Servicios a empresas de todo tipo,1.5582350194184431
Transporte,0.48575725424372285,Construcción,0.2309730854648168,Textiles,0.009119121914936494,Construcción,0.023862255281554667,Productos de caucho y plástico,0.001310186035900312,Productos químicos básicos,1.4542839082332717
Metales no ferrosos,0.4658015235642443,"Coque, petróleo refinado y combustible nuclear",0.20863694894662108,Metales no ferrosos,0.00904795126188881,Productos minerales no metálicos,0.023610857971180885,Azúcar y productos de confitería,0.0012951496834914954,Azúcar y productos de confitería,1.371713462664498
"Radio, televisión y equipos de telecomunicaciones",0.4649432506081956,"Radio, televisión y equipos de telecomunicaciones",0.1944455767790667,Productos minerales no metálicos,0.007504759004087369,Caza y pesca,0.021915231477715253,Maquinarias y equipos (excluye maquinaria eléctrica),0.0011894567263522446,Productos de caucho y plástico,1.3162945755702946
Equipo médico e instrumentos ópticos y de precisión,0.46494228422852296,Maquinarias y aparatos eléctricos,0.18941572780244,Maquinarias y aparatos eléctricos,0.006306313017998958,Minería (energía),0.020387846536128875,Hierro y acero,0.0011266630968442928,Correo y telecomunicaciones,1.2912173027138591
Servicios a empresas de todo tipo,0.4646917024299841,Productos minerales no metálicos,0.186453192328797,Bebidas,0.0052964103483880975,Maquinarias y equipos (excluye maquinaria eléctrica),0.017841464596155106,Productos fabricados de metal (excepto maquinarias y equipos),0.0010384482996819437,Maquinarias y equipos (excluye maquinaria eléctrica),1.1700456322664794
Equipos de oficina (incluye equipo computacional),0.4611294168812594,Textiles,0.17324249548158452,Caza y pesca,0.005167293067830356,Aeronaves y naves espaciales,0.01574461585479369,Minería (energía),0.0008495740275657419,Productos fabricados de metal (excepto maquinarias y equipos),1.031102591411757
Productos minerales no metálicos,0.45021502712357314,Otro equipo de transporte,0.1617274086626353,Calzado,0.0051546759440154015,Finanzas y seguros,0.01510411276002873,Productos minerales no metálicos,0.0007824073667439089,Productos minerales no metálicos,0.9290209630701668
Maquinarias y aparatos eléctricos,0.40945393471047037,Equipos de oficina (incluye equipo computacional),0.1590584115775266,Productos de tabaco,0.004789176147331783,Productos fabricados de metal (excepto maquinarias y equipos),0.014830417608695546,Correo y telecomunicaciones,0.0006550401745646302,Electricidad y gas,0.8973741531299413
Aeronaves y naves espaciales,0.39133997996000164,Equipo médico e instrumentos ópticos y de precisión,0.12505860622013032,Otro equipo de transporte,0.00417202756407936,Equipos de oficina (incluye equipo computacional),0.013939026131295273,Otros servicios,0.0005991880559727257,Minería (energía),0.7559388410668532
Maquinarias y equipos (excluye maquinaria eléctrica),0.3676069267321072,Aeronaves y naves espaciales,0.11672113970453633,Productos fabricados de metal (excepto maquinarias y equipos),0.003867932018820312,Otro equipo de transporte,0.013644170945273967,Metales no ferrosos,0.000589822775982378,Metales no ferrosos,0.7393601947051044
Productos fabricados de metal (excepto maquinarias y equipos),0.34795151530800933,Calzado,0.10296034035823505,Aeronaves y naves espaciales,0.002987312498312591,Minería (no energía),0.013334207646229859,"Coque, petróleo refinado y combustible nuclear",0.0005880839805758645,"Coque, petróleo refinado y combustible nuclear",0.5439653241512116
Otro equipo de transporte,0.33913241412420053,Productos fabricados de metal (excepto maquinarias y equipos),0.09430987462387211,Confecciones,0.0029172061524135044,Metales no ferrosos,0.012923358635048763,Electricidad y gas,0.0005706726408906301,Otros servicios,0.537767155881135
"Vehículos de motor, remolques y semirremolques",0.3167331429857649,Bebidas,0.07988079854668641,Equipos de oficina (incluye equipo computacional),0.002217182209446917,Maquinarias y aparatos eléctricos,0.01237697897065752,Minería (no energía),0.0005389022943573259,Minería (no energía),0.5280220599213707
Minería (energía),0.28627089730222083,Caza y pesca,0.0781338548268088,"Vehículos de motor, remolques y semirremolques",0.0021939969162226543,Otros servicios,0.003289538594545247,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.00039773001257859485,Finanzas y seguros,0.3895306725831202
Finanzas y seguros,0.2575995962114877,Productos de tabaco,0.07504297848574519,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.0009639304647557237,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.0022045754950457616,Finanzas y seguros,0.0003599258167676513,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.3884791722969766
Minería (no energía),0.23666260909777637,Confecciones,0.05733492288191934,"Radio, televisión y equipos de telecomunicaciones",0.0005777185134818514,"Radio, televisión y equipos de telecomunicaciones",0.0018097862788754196,"Vehículos de motor, remolques y semirremolques",0.0,"Vehículos de motor, remolques y semirremolques",0.0
Otros servicios,0.07157979806843033,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.021992563973999676,Azúcar y productos de confitería,0.0004382836954851658,Equipo médico e instrumentos ópticos y de precisión,0.0018097825172536173,Equipo médico e instrumentos ópticos y de precisión,0.0,Equipo médico e instrumentos ópticos y de precisión,0.0
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.05672027988892964,Azúcar y productos de confitería,0.005866307759641813,Equipo médico e instrumentos ópticos y de precisión,0.00037156243551734986,"Vehículos de motor, remolques y semirremolques",0.001232880132125567,"Radio, televisión y equipos de telecomunicaciones",0.0,"Radio, televisión y equipos de telecomunicaciones",0.0
