In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.7755036784493715,Agricultura y forestal,2.197923164992163,Agricultura y forestal,0.2646905235008143,Carne y derivados,0.10787075131612793,Calzado,0.017990730296336868,Productos de tabaco,53.758912249521444
Otros productos alimenticios,0.7100019603159486,Otros servicios,2.1067699796763746,Otros servicios,0.09105521618442118,Otros productos alimenticios,0.07901890418662297,Equipos de oficina (incluye equipo computacional),0.015089086611509926,Calzado,29.07045493732358
Azúcar y productos de confitería,0.699752063090614,Servicios a empresas de todo tipo,1.819561652287773,Servicios a empresas de todo tipo,0.06514831206845259,Azúcar y productos de confitería,0.07838630465148903,Otros productos alimenticios,0.014104436531269608,Equipo médico e instrumentos ópticos y de precisión,5.612784541091541
"Coque, petróleo refinado y combustible nuclear",0.672488247266563,Transporte,1.2994694824475725,Transporte,0.06168335262747931,Productos de tabaco,0.07549066671365932,Equipo médico e instrumentos ópticos y de precisión,0.013080423006439964,Confecciones,4.905460971209813
"Molinería, panadería y pastas",0.6606965882575709,Electricidad y gas,0.9031481776063572,Otros productos alimenticios,0.05430864832869568,"Molinería, panadería y pastas",0.061748651566752986,Confecciones,0.012637857024368081,"Molinería, panadería y pastas",4.683777741025155
Bebidas,0.650332385344624,Hierro y acero,0.9000475287713889,Productos químicos básicos,0.03380122726416851,Bebidas,0.0533746397171519,Bebidas,0.012486700504290538,Aeronaves y naves espaciales,4.26817846301301
Calzado,0.6415990656799155,Productos químicos básicos,0.8544496875128678,Electricidad y gas,0.033171297082277104,Madera y productos de madera y corcho,0.037556887042387674,Maquinarias y aparatos eléctricos,0.011546257688992452,Otro equipo de transporte,4.004300925355859
Productos de tabaco,0.6213763281926533,Finanzas y seguros,0.7954908062934218,Finanzas y seguros,0.028933534595618638,Agricultura y forestal,0.03133711889208234,"Radio, televisión y equipos de telecomunicaciones",0.011016144447695973,Equipos de oficina (incluye equipo computacional),3.9367690088149536
"Vehículos de motor, remolques y semirremolques",0.6029616958003948,Otros productos químicos (excluye farmacéuticos),0.7195719072181782,"Pulpa de madera, papel, imprentas y editoriales",0.028568868996080497,Textiles,0.02804424298966341,Caza y pesca,0.010805937669131776,Bebidas,3.800067334607721
Productos de caucho y plástico,0.587727269275578,Minería (energía),0.7151514724486822,Productos de caucho y plástico,0.026294976569712695,Otros productos químicos (excluye farmacéuticos),0.027040782442076562,Carne y derivados,0.010507566035924851,Caza y pesca,3.6731267635305493
Hierro y acero,0.5870643757444798,"Coque, petróleo refinado y combustible nuclear",0.7018856583855281,Otros productos químicos (excluye farmacéuticos),0.025873634352349018,"Pulpa de madera, papel, imprentas y editoriales",0.02389016877644922,Azúcar y productos de confitería,0.009714572489131455,Otros productos alimenticios,3.5353598369186483
Otros productos químicos (excluye farmacéuticos),0.5825195975663667,Productos de caucho y plástico,0.621964788017829,"Coque, petróleo refinado y combustible nuclear",0.023108020958340122,Productos de caucho y plástico,0.018543939723995026,Maquinarias y equipos (excluye maquinaria eléctrica),0.009529851338726308,"Radio, televisión y equipos de telecomunicaciones",3.3735884665962605
Productos químicos básicos,0.5773993416883274,Otros productos alimenticios,0.5856617640265275,Textiles,0.022258457868607914,Productos químicos básicos,0.018154296321682722,Servicios a empresas de todo tipo,0.009446219831211217,"Vehículos de motor, remolques y semirremolques",3.33688575167503
Confecciones,0.5740718497611552,Productos fabricados de metal (excepto maquinarias y equipos),0.5810256170323831,Hierro y acero,0.020628282621319577,Caza y pesca,0.017913075785334773,Aeronaves y naves espaciales,0.009409542214709741,Maquinarias y aparatos eléctricos,2.5580839961456032
Madera y productos de madera y corcho,0.5715028874371311,"Pulpa de madera, papel, imprentas y editoriales",0.5734878872442265,Productos fabricados de metal (excepto maquinarias y equipos),0.018804242396612433,Productos farmacéuticos,0.01655717611621936,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.009368666080338817,Azúcar y productos de confitería,2.491930334771092
"Pulpa de madera, papel, imprentas y editoriales",0.5605907756544423,Textiles,0.563512950307367,Minería (energía),0.018718726907779586,Transporte,0.016509901756391852,Otros servicios,0.008767136682756338,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),2.3847629002430386
Maquinarias y aparatos eléctricos,0.5552102669425006,Minería (no energía),0.495272751986418,"Molinería, panadería y pastas",0.018427041731402884,Confecciones,0.01628495841897706,"Vehículos de motor, remolques y semirremolques",0.008592293164490289,Madera y productos de madera y corcho,2.0922568786294042
Aeronaves y naves espaciales,0.5455433994978753,Maquinarias y aparatos eléctricos,0.38126247365048826,Carne y derivados,0.01714098827313542,Productos minerales no metálicos,0.015526422117419057,"Molinería, panadería y pastas",0.008525130021663775,Carne y derivados,2.011216484603225
Maquinarias y equipos (excluye maquinaria eléctrica),0.5419294025648698,"Vehículos de motor, remolques y semirremolques",0.37928888350219353,Azúcar y productos de confitería,0.0169424909579534,Calzado,0.015291281619901497,Construcción,0.008113084950941346,Maquinarias y equipos (excluye maquinaria eléctrica),1.7610604613729206
Otro equipo de transporte,0.5377160441690395,Metales no ferrosos,0.3639108303351212,Madera y productos de madera y corcho,0.015659583097467712,Electricidad y gas,0.014763039797419397,Otro equipo de transporte,0.007984615855331601,Servicios a empresas de todo tipo,1.5980608021801448
Metales no ferrosos,0.5359137412968911,Madera y productos de madera y corcho,0.3392090278210007,Minería (no energía),0.011573841963203378,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.0147596457744198,Agricultura y forestal,0.006622339491879032,Construcción,1.4907892668323024
"Radio, televisión y equipos de telecomunicaciones",0.5357512723399435,Otro equipo de transporte,0.2923921660641857,Maquinarias y aparatos eléctricos,0.009522471583953147,Hierro y acero,0.014690436277207931,Madera y productos de madera y corcho,0.006276580059088922,Otros servicios,1.4340742257130197
Textiles,0.5316692526728412,Productos minerales no metálicos,0.2876570154810654,Maquinarias y equipos (excluye maquinaria eléctrica),0.009355796428958419,"Radio, televisión y equipos de telecomunicaciones",0.01443571809208268,Otros productos químicos (excluye farmacéuticos),0.006270481743191415,Otros productos químicos (excluye farmacéuticos),1.1704229620240794
Productos minerales no metálicos,0.5292959223073374,Maquinarias y equipos (excluye maquinaria eléctrica),0.26599751791441223,"Vehículos de motor, remolques y semirremolques",0.009078496829661121,"Vehículos de motor, remolques y semirremolques",0.013878588677002536,Productos de caucho y plástico,0.006113135635314043,Correo y telecomunicaciones,1.159797472666056
Productos fabricados de metal (excepto maquinarias y equipos),0.5206339375725001,Correo y telecomunicaciones,0.23831743401158292,Productos minerales no metálicos,0.008893410223552955,Correo y telecomunicaciones,0.013856140764522068,Transporte,0.006107825776155942,Productos farmacéuticos,1.1334904755179924
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.49914586506431996,Carne y derivados,0.22980255726803844,Metales no ferrosos,0.008294562956527928,"Coque, petróleo refinado y combustible nuclear",0.013646944076348866,Productos de tabaco,0.0060250325247362315,"Pulpa de madera, papel, imprentas y editoriales",1.127266381524771
Transporte,0.449038960163481,Confecciones,0.17946885379879768,Productos de tabaco,0.0072630565373909646,Maquinarias y equipos (excluye maquinaria eléctrica),0.01324350201363799,Productos fabricados de metal (excepto maquinarias y equipos),0.005530701514152944,Textiles,1.0926462204209029
Electricidad y gas,0.4452229478925864,"Radio, televisión y equipos de telecomunicaciones",0.1754694682980189,Correo y telecomunicaciones,0.0072139706396933895,Productos fabricados de metal (excepto maquinarias y equipos),0.013221709865832541,Productos farmacéuticos,0.005373206206262509,Productos de caucho y plástico,1.0853400085816391
Productos farmacéuticos,0.43433288511646273,"Molinería, panadería y pastas",0.17452075738674033,Otro equipo de transporte,0.0065282896080528525,Aeronaves y naves espaciales,0.013051992447051854,"Pulpa de madera, papel, imprentas y editoriales",0.004868487330315089,Productos minerales no metálicos,1.0818184773323423
Construcción,0.4330158891667348,Azúcar y productos de confitería,0.14559473415586496,Bebidas,0.006385219863657129,Maquinarias y aparatos eléctricos,0.013044033673429569,Productos minerales no metálicos,0.004838241727594583,Agricultura y forestal,1.057178365842518
Caza y pesca,0.42805284164945384,Construcción,0.1355030365244843,Confecciones,0.004945592140089429,Otro equipo de transporte,0.012932761013283335,Hierro y acero,0.0048318492279605845,Transporte,1.050062478352471
Equipos de oficina (incluye equipo computacional),0.4276877234562794,Calzado,0.13088278265059566,Caza y pesca,0.004420714547905008,Equipos de oficina (incluye equipo computacional),0.011913471417737678,Productos químicos básicos,0.004816773335622805,Productos fabricados de metal (excepto maquinarias y equipos),1.0450887063694696
Equipo médico e instrumentos ópticos y de precisión,0.39690806403269974,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.09886305337888036,Construcción,0.003912018180965964,Otros servicios,0.011584671110374655,Textiles,0.0047252566531657755,Hierro y acero,0.9925116242709963
Correo y telecomunicaciones,0.3905021885496873,Bebidas,0.08775599801262741,"Radio, televisión y equipos de telecomunicaciones",0.003906049772689533,Servicios a empresas de todo tipo,0.01147995183899227,Correo y telecomunicaciones,0.0043348768747285184,Metales no ferrosos,0.9551441550377213
Agricultura y forestal,0.38752428838927244,Productos farmacéuticos,0.0831257183346438,Calzado,0.0035831020342422387,Finanzas y seguros,0.011376039095776261,Metales no ferrosos,0.004208196816602853,Productos químicos básicos,0.9056455166094979
Minería (no energía),0.3241519549922737,Aeronaves y naves espaciales,0.07137365995521719,Productos farmacéuticos,0.0034198678505793887,Construcción,0.011307159497414516,"Coque, petróleo refinado y combustible nuclear",0.0037790346789991244,"Coque, petróleo refinado y combustible nuclear",0.7104238823131158
Finanzas y seguros,0.3125090870588045,Equipo médico e instrumentos ópticos y de precisión,0.06679439855159189,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.002995665263864725,Metales no ferrosos,0.01045040659640241,Minería (no energía),0.003436365670533792,Minería (no energía),0.6400913321298412
