In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.7812537122861533,Otros servicios,2.2104941028185,Agricultura y forestal,0.41574283619600905,Carne y derivados,0.2168680759116366,Otros productos alimenticios,0.04803031364501978,"Molinería, panadería y pastas",13.518484489607845
"Molinería, panadería y pastas",0.706519727186463,Agricultura y forestal,1.693509215259684,Otros servicios,0.10329163160845466,"Molinería, panadería y pastas",0.1189430258920906,Caza y pesca,0.039072626713748115,Confecciones,8.727295099654212
Equipos de oficina (incluye equipo computacional),0.5595141545908906,Productos fabricados de metal (excepto maquinarias y equipos),1.267216358571889,Transporte,0.06788569735372584,Otros productos alimenticios,0.08256219079196639,Otros servicios,0.037839557641614174,Bebidas,7.6432964854403975
Calzado,0.5309890069686519,Transporte,1.1480119189636289,Finanzas y seguros,0.046387328563079776,Bebidas,0.07735133863160829,Bebidas,0.03489905607188372,Otros productos alimenticios,6.839249517785008
Bebidas,0.5260034390993231,Finanzas y seguros,0.9090052143415674,Productos fabricados de metal (excepto maquinarias y equipos),0.03338923439242488,Madera y productos de madera y corcho,0.05416731463632483,Equipos de oficina (incluye equipo computacional),0.02941090617933342,Caza y pesca,4.223126371995545
Otros productos alimenticios,0.506893388616873,"Coque, petróleo refinado y combustible nuclear",0.8692546907624318,Carne y derivados,0.032305366939595515,Textiles,0.05251604822492393,"Molinería, panadería y pastas",0.02765554811085628,Equipos de oficina (incluye equipo computacional),4.1719146859864065
Productos minerales no metálicos,0.499336789710234,Servicios a empresas de todo tipo,0.7641209045923417,Servicios a empresas de todo tipo,0.03082270404818925,Calzado,0.02544451453634759,Productos fabricados de metal (excepto maquinarias y equipos),0.024492237644397168,Calzado,4.034072031004954
"Radio, televisión y equipos de telecomunicaciones",0.4902654221823126,Construcción,0.49607479511433855,"Coque, petróleo refinado y combustible nuclear",0.03021152228619939,Agricultura y forestal,0.021294766112820905,Maquinarias y aparatos eléctricos,0.0236730050992424,Otros servicios,3.7407602977948478
Confecciones,0.48418517239368786,Productos químicos básicos,0.38248294766107505,Otros productos alimenticios,0.02948927685164924,"Pulpa de madera, papel, imprentas y editoriales",0.017523954356248164,Confecciones,0.022744117788999926,Productos fabricados de metal (excepto maquinarias y equipos),3.3320144791934365
Construcción,0.46477124911160667,"Pulpa de madera, papel, imprentas y editoriales",0.34360194791881615,Productos de caucho y plástico,0.024390450782694743,Confecciones,0.017373310697612308,Equipo médico e instrumentos ópticos y de precisión,0.021619680468295027,Maquinarias y aparatos eléctricos,3.113234766920546
Productos fabricados de metal (excepto maquinarias y equipos),0.4302304538922646,Otros productos químicos (excluye farmacéuticos),0.3131845789984896,Construcción,0.017609463722145457,Productos minerales no metálicos,0.017343681808586857,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.021615714110548218,Construcción,2.940792413059208
Maquinarias y aparatos eléctricos,0.41614960722095573,Electricidad y gas,0.30540314306471983,"Molinería, panadería y pastas",0.017526053217101833,Equipos de oficina (incluye equipo computacional),0.017135225226261576,Maquinarias y equipos (excluye maquinaria eléctrica),0.021120180886448684,"Vehículos de motor, remolques y semirremolques",2.8167312765488832
Productos químicos básicos,0.4131736662408933,Productos de caucho y plástico,0.2949834900788144,Electricidad y gas,0.01573939817549022,Productos químicos básicos,0.015002424917533732,Metales no ferrosos,0.02081875119318937,Equipo médico e instrumentos ópticos y de precisión,2.7724219645739048
"Pulpa de madera, papel, imprentas y editoriales",0.3946003964175978,Correo y telecomunicaciones,0.27373571330388696,Productos químicos básicos,0.01457278702979681,Otros productos químicos (excluye farmacéuticos),0.014090758228949705,"Vehículos de motor, remolques y semirremolques",0.02056911125597755,Maquinarias y equipos (excluye maquinaria eléctrica),2.692224612564101
Otros productos químicos (excluye farmacéuticos),0.3863958752203653,Carne y derivados,0.2721849562690809,"Pulpa de madera, papel, imprentas y editoriales",0.014453067230539905,"Radio, televisión y equipos de telecomunicaciones",0.013620945954881331,Hierro y acero,0.020480785097273475,Otro equipo de transporte,2.4067329798432597
Minería (no energía),0.3851113391555568,Otros productos alimenticios,0.2390204544463229,Otros productos químicos (excluye farmacéuticos),0.011756094922454156,Minería (no energía),0.013566360522138462,Agricultura y forestal,0.019174030198236068,Metales no ferrosos,2.3943214580774574
Madera y productos de madera y corcho,0.3835866166155546,Textiles,0.23671035630154624,Textiles,0.010693609776846701,Productos fabricados de metal (excepto maquinarias y equipos),0.01325238153627083,Otro equipo de transporte,0.018252613682449074,Hierro y acero,2.3746979546544402
Equipo médico e instrumentos ópticos y de precisión,0.3699973450816897,Madera y productos de madera y corcho,0.21780332395416,Madera y productos de madera y corcho,0.01031975190569291,Productos de caucho y plástico,0.013144556319860013,Calzado,0.018107613115645727,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),2.222739267835124
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.36846691078278804,Maquinarias y equipos (excluye maquinaria eléctrica),0.19816106725724095,Correo y telecomunicaciones,0.009573998211478734,Otros servicios,0.01294594733502494,Construcción,0.016814484149984286,Productos minerales no metálicos,2.1683454526314176
Textiles,0.3665257873954453,Maquinarias y aparatos eléctricos,0.1851873851522161,Caza y pesca,0.007704412708516886,Maquinarias y aparatos eléctricos,0.012744659253107433,Productos minerales no metálicos,0.014380358515717862,Productos farmacéuticos,2.0228155878381395
Maquinarias y equipos (excluye maquinaria eléctrica),0.35913716263740403,Minería (no energía),0.17607755686568405,Minería (no energía),0.005656721890089433,Transporte,0.0119640410387229,Productos químicos básicos,0.013908376126423818,"Pulpa de madera, papel, imprentas y editoriales",2.001318250167431
Caza y pesca,0.35055456481704195,Productos minerales no metálicos,0.1592609851092594,Maquinarias y equipos (excluye maquinaria eléctrica),0.005433440015529314,Productos farmacéuticos,0.01159886793438257,Otros productos químicos (excluye farmacéuticos),0.0130232445867703,Agricultura y forestal,1.9332934488803268
Metales no ferrosos,0.31932304945108486,Metales no ferrosos,0.15472508877850202,Maquinarias y aparatos eléctricos,0.005077710585556633,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.011567935704387893,Carne y derivados,0.01258550637562795,Productos químicos básicos,1.7807444138775168
Hierro y acero,0.316604065574993,Equipo médico e instrumentos ópticos y de precisión,0.1541451550819274,Productos minerales no metálicos,0.004948401798164172,Equipo médico e instrumentos ópticos y de precisión,0.011331237626560658,"Pulpa de madera, papel, imprentas y editoriales",0.01246745899970022,Otros productos químicos (excluye farmacéuticos),1.636724400217568
"Vehículos de motor, remolques y semirremolques",0.30755838202526736,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.14761443855623396,Metales no ferrosos,0.0048452767215202,Azúcar y productos de confitería,0.01114044843508536,"Radio, televisión y equipos de telecomunicaciones",0.012457807483577187,"Radio, televisión y equipos de telecomunicaciones",1.497849867479012
Servicios a empresas de todo tipo,0.296058457520097,Confecciones,0.09287854704234855,Equipo médico e instrumentos ópticos y de precisión,0.004226554011918388,Maquinarias y equipos (excluye maquinaria eléctrica),0.01099864251586648,Azúcar y productos de confitería,0.011127916264680168,Carne y derivados,1.4309353160094398
Otros servicios,0.2884627215814158,Calzado,0.0921634971892378,Calzado,0.0037644501653193094,"Vehículos de motor, remolques y semirremolques",0.010636420065588787,Servicios a empresas de todo tipo,0.010536519411031696,Azúcar y productos de confitería,1.3818222084850833
Agricultura y forestal,0.28172395505106107,"Molinería, panadería y pastas",0.08964422353103206,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.003662310357825474,Productos de tabaco,0.010462564298619496,Transporte,0.009720284267835621,Servicios a empresas de todo tipo,1.2076683667249974
Transporte,0.27294908958583247,Equipos de oficina (incluye equipo computacional),0.08154331205943818,Confecciones,0.0035676591071964396,Construcción,0.010225680555761186,Productos de caucho y plástico,0.009627861686083662,Transporte,1.0278464934507598
Productos farmacéuticos,0.27124522878832863,Hierro y acero,0.08101709860684847,Bebidas,0.0032015243346369348,Servicios a empresas de todo tipo,0.010211008428798903,Productos farmacéuticos,0.00817804049948011,Productos de caucho y plástico,0.9945387078544881
Otro equipo de transporte,0.26214314330615374,"Vehículos de motor, remolques y semirremolques",0.08048531369491047,Hierro y acero,0.0025027496767413295,Caza y pesca,0.009854349821034065,Madera y productos de madera y corcho,0.007107114348744605,Madera y productos de madera y corcho,0.9908964432757567
Productos de tabaco,0.2593704425203603,Productos farmacéuticos,0.06789044510633727,Equipos de oficina (incluye equipo computacional),0.002235861468021833,Metales no ferrosos,0.009779327881851027,Textiles,0.005862174059177707,Textiles,0.7574241594737494
Productos de caucho y plástico,0.2592740549386355,Caza y pesca,0.04819351116286163,Productos farmacéuticos,0.0018545068785895322,Hierro y acero,0.009696058494077502,Correo y telecomunicaciones,0.005785989776206392,Correo y telecomunicaciones,0.7294387183925504
Correo y telecomunicaciones,0.229683752386002,Otro equipo de transporte,0.046219504542074144,Azúcar y productos de confitería,0.0018039281344269962,Otro equipo de transporte,0.009065805884259813,Minería (no energía),0.004497129672793952,Minería (no energía),0.5582239632828674
Finanzas y seguros,0.20856728810620742,Bebidas,0.03406994746579681,"Vehículos de motor, remolques y semirremolques",0.001706684179992006,Correo y telecomunicaciones,0.008795392415419672,Finanzas y seguros,0.004318319206312028,Finanzas y seguros,0.5044135355306855
Azúcar y productos de confitería,0.1764600069390657,"Radio, televisión y equipos de telecomunicaciones",0.027271946890067837,Otro equipo de transporte,0.0009800806331952592,Finanzas y seguros,0.007421343172494152,Electricidad y gas,0.0024851845329339007,Electricidad y gas,0.32085756290791184
Electricidad y gas,0.1740644404155856,Azúcar y productos de confitería,0.015108315711300906,"Radio, televisión y equipos de telecomunicaciones",0.0006674541191907605,Electricidad y gas,0.006078401220835913,"Coque, petróleo refinado y combustible nuclear",0.0017903552014069228,"Coque, petróleo refinado y combustible nuclear",0.21898318915983922
"Coque, petróleo refinado y combustible nuclear",0.07130558641076827,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,"Coque, petróleo refinado y combustible nuclear",0.002280993612059331,Productos de tabaco,0.0,Productos de tabaco,0.0
Aeronaves y naves espaciales,0.0,Productos de tabaco,0.0,Productos de tabaco,0.0,Minería (energía),0.0,Minería (energía),0.0,Aeronaves y naves espaciales,0.0
Minería (energía),0.0,Minería (energía),0.0,Minería (energía),0.0,Aeronaves y naves espaciales,0.0,Aeronaves y naves espaciales,0.0,Minería (energía),0.0
