In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.9140580545332899,40,3.3157963981283802,1,0.3586676448149941,5,0.1812114620589907,40,0.011761888264388903,32,306.55065580589735
16,0.8195979147481247,1,1.9996835102567,40,0.13077383924245153,8,0.1084264882366368,9,0.007527406922508138,10,106.12758708104266
32,0.7847609127301037,36,1.7893264764607215,36,0.0803558897873027,6,0.05682657944811159,32,0.005885624352614757,9,59.21183705535781
12,0.7335848392822808,39,0.9431509442952447,39,0.033884825876840365,7,0.046470075758543464,6,0.005319209674098155,13,29.53750381982564
13,0.7119200694805027,22,0.8545216743954287,11,0.03256785130410402,1,0.04144223077592915,33,0.005288593460737861,6,25.23915032384103
6,0.6911582994668055,3,0.8277987315131199,20,0.02863045783055738,10,0.04105070420721456,13,0.005146387210725852,2,10.308826710951829
9,0.6859775470638578,11,0.7891599268930164,15,0.025592594429275146,9,0.04092162981455236,8,0.005113553502808197,40,7.176165298943953
8,0.6675447789187744,17,0.7260395974476771,3,0.02444089154340212,11,0.03151591079913993,12,0.005079682174975012,12,6.88520815684372
20,0.6436622564901286,24,0.647245402137659,5,0.023404731171348375,14,0.023895564658414095,1,0.004583518810698798,7,6.002818759151099
15,0.6145452536794639,15,0.5961407127110916,17,0.022199155328606918,12,0.02310712439117167,2,0.004340801301992151,29,4.9499596575035225
34,0.5604866001165034,20,0.5951307399912685,22,0.020227512765849866,32,0.022589401818830394,7,0.004003491715470859,8,4.7728463104674415
7,0.5405095370634272,34,0.5904752379157229,34,0.01907385267096319,19,0.02160822931660608,35,0.0038179102170734208,19,4.606048187077126
33,0.5393079927547002,37,0.3991422844161896,24,0.01905780243666454,15,0.02063764339541511,39,0.0033642985393614903,33,4.096598181471301
24,0.5147129637337673,38,0.38236760619335397,8,0.018766227328319098,16,0.019250955906998612,36,0.00326902550023237,15,3.0997979202481636
35,0.4956814608699117,18,0.3575947153569436,6,0.017763477491563155,20,0.01868184565859279,15,0.00294357750916848,1,2.825953155361602
25,0.47784036791050266,14,0.3488625744664846,37,0.012503011673826949,39,0.018102741814066337,5,0.002711448271093574,35,2.648940391598563
38,0.47674767225117815,23,0.3404312935010802,7,0.012187389235960898,37,0.01789059142190481,19,0.0027090408664953115,30,2.51042119607718
19,0.4730755148712805,16,0.29396197639221733,14,0.011965835093009953,13,0.017623425622200515,31,0.0026347560349522796,31,2.4123440001281473
36,0.4637980908781235,13,0.2563473243122437,18,0.011851438836409947,24,0.017212891805656102,21,0.002333602644473166,21,2.2560167900978425
11,0.4468237677113013,35,0.25438091518286116,38,0.01178814201895866,33,0.016488536341042553,29,0.002269511836649321,5,2.2135181814436216
18,0.4301150598187261,5,0.2262436134091893,9,0.00987987012342481,36,0.016315224697455832,20,0.0021610902269695678,39,2.0891768004805904
37,0.4189948643854161,32,0.21313188749065698,16,0.008957811565435033,18,0.015544512485209057,16,0.0018642407431322947,28,2.072411814286737
21,0.4115428217599275,21,0.1954277994361629,10,0.00828117475945922,38,0.015410550514962288,18,0.001793040906753391,36,2.0717774373062303
14,0.4079026313570509,30,0.19230324545283556,32,0.008076759291358522,35,0.014574746121929157,37,0.0017823564505892336,25,1.6834047935364913
17,0.39524902980240517,6,0.19214192173547806,13,0.0077936500145041766,34,0.014297789370837978,25,0.001758887966266751,20,1.5421783992091278
29,0.3853958874102803,25,0.19083001928379098,35,0.006247199563943977,21,0.013536863524346989,30,0.0017370545505982985,37,1.522575677773214
10,0.3752305258912917,8,0.1746671620234421,21,0.0059678330079274205,28,0.012745816160001894,17,0.0016446054538722986,18,1.4134941970534765
28,0.3744033611509703,7,0.15790727915608035,25,0.005167416605718004,29,0.012319267150352132,24,0.0016125701107284932,38,1.3951113419732095
22,0.3714824301897609,9,0.14815863464741974,23,0.004967778765997356,40,0.012055707436030343,3,0.0016033070565631897,24,1.3635186547467706
30,0.35516861302428315,27,0.12710066525847263,30,0.003891410237710821,25,0.011709835153136812,4,0.0015336886800718806,16,1.3414770713753394
1,0.33446814102252087,10,0.12063257983662201,27,0.0026217397571368134,17,0.011620806161997975,38,0.0015185673191222965,4,1.3112880925560233
39,0.3223136427074761,28,0.09253377453264153,2,0.0023133959424291523,2,0.010897470745539895,28,0.0015116252903021013,17,1.2553937442978913
2,0.3133222774991323,4,0.060295953555388006,12,0.002033212317041668,22,0.01029717482722252,14,0.0013004748780782122,14,1.1496822949053358
40,0.29704552835514975,31,0.0549214069528117,28,0.0020054591504375273,30,0.008528414427453234,34,0.001161485385632861,34,1.1093524186650099
27,0.27740266983525264,12,0.05489694708610212,33,0.0014822502591598894,3,0.007688082047023546,27,0.0011289476095561535,3,1.0574353310485867
3,0.2350867219870099,2,0.05283419097696143,19,0.0013955111774153638,31,0.006115318833766463,11,0.0010932770316001011,26,1.0500127372753916
31,0.22907371122209244,33,0.04360520634099137,4,0.0012536652474609217,4,0.00598637500305088,10,0.0010230590438938061,11,0.9508752733337037
4,0.20903744000855698,29,0.03307583685501336,31,0.0009300656552545822,27,0.0057689875179504305,22,0.0005945223716840715,27,0.909754928178115
23,0.1978818919946851,19,0.03254353670995567,29,0.0007027582759065294,26,0.005696880856441112,23,0.0004063919235156997,22,0.5046115475072529
26,0.09489271748405265,26,0.020994158752649154,26,0.00032846740186937993,23,0.0039361437152736,26,0.00030783938884735294,23,0.40043852523103773
