In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.6350829134338352,1,1.941282251843589,1,0.4068725166185624,5,0.177510513234723,40,0.07461141161133619,6,11.152421492159252
22,0.6178539422105049,4,1.2381874367786694,4,0.17024868672871912,8,0.1335943256058646,9,0.05167662700884121,13,6.371608202556448
8,0.6009958795859813,3,1.1463860276557047,36,0.07724638373480305,6,0.09948215106055631,8,0.041951426892864865,40,5.5540201714569415
6,0.5775421478189747,36,0.962201724580136,3,0.05882474536819594,22,0.07934572049962078,7,0.03670377968431951,9,4.649289233986428
23,0.5608445227010548,40,0.7055375852834882,14,0.04107879760233244,23,0.07202448621234116,20,0.03456389987349979,14,4.555837899632804
14,0.5483104616796889,21,0.6339419989095125,6,0.035020886867221074,14,0.07110121177530125,35,0.031422359941238535,8,3.63267413639666
7,0.4930048897720284,39,0.6151467586204751,40,0.026340344087104443,7,0.043587043287472337,6,0.029975572985808992,7,3.5367304288394874
9,0.45907901276699425,16,0.399403502164469,21,0.02345183841260894,1,0.039820734053785736,19,0.025856830735018245,20,2.6958341430964956
16,0.449753788422783,34,0.3718677753261804,34,0.023233775640098108,10,0.025835836444358523,13,0.025757259553913763,35,2.307066666489819
35,0.42893942018581394,23,0.35890794062286174,16,0.018096181182261896,35,0.0243188017400849,39,0.02456040257510304,19,2.0896202146958682
21,0.39842985684101856,14,0.3460357281327286,39,0.017792837764124894,21,0.02293864710903497,38,0.02443480651500759,37,2.0325338566549487
37,0.385161515037516,11,0.28864918030340375,11,0.014282557972856281,9,0.022767872141932356,24,0.024108379260449134,39,1.9911681134354273
3,0.3649976213723195,37,0.28714778831838045,38,0.010951219650629273,16,0.020214578583096637,36,0.02394516459772693,11,1.901768390225119
20,0.2728501197861672,15,0.22222394566410106,37,0.009842449872074638,20,0.015787938215291994,37,0.022306365437996092,38,1.7791249707222605
10,0.27114364497394516,38,0.2152371012443362,7,0.008916970149333073,3,0.015060489007045461,1,0.02069581463200495,24,1.7657361418163071
39,0.269098264775387,6,0.1770864879771585,8,0.008619197752044073,11,0.013985239202793043,12,0.020186989031591725,36,1.7463557270517738
11,0.2612963148105577,10,0.1348908162890075,23,0.008411853443985042,19,0.012864730146914726,11,0.0183182599931877,1,1.722393534175696
40,0.25764205763580245,13,0.11352277895752132,5,0.008107883891601397,12,0.011646047066489989,34,0.014663392999265546,12,1.5966111252370159
13,0.253352917652487,5,0.11350562967243646,10,0.007051610785614741,13,0.011509655265182852,5,0.013700519875721594,15,1.348368397843249
24,0.2523965677258409,20,0.09783003488426252,13,0.004077505784318786,4,0.011166489748862748,21,0.013561305150832651,2,1.2717943580652051
34,0.23063685949844295,8,0.09199831722369566,15,0.003887851083949936,40,0.0107901003236583,4,0.013412187226686348,17,1.1306265963324724
19,0.2222548196549751,7,0.07729308186306255,20,0.003795175729074696,34,0.008157904434750089,17,0.012897389899145267,5,1.1023611803331281
38,0.22042095819506058,18,0.06069559009630312,18,0.002649763159960685,17,0.00702627770956845,14,0.012810578463719222,34,1.1018998567532339
1,0.21982902643724586,17,0.050214748269642444,33,0.0022836043962899447,2,0.006800905880790345,33,0.011397342707585656,21,1.039068823130212
12,0.2175419936068729,9,0.04602476359046902,12,0.0015072015299626347,15,0.006389988913935662,15,0.011257863205097614,4,1.0374235335460675
15,0.21313302772612705,33,0.04563391383212689,17,0.0014717951804209012,37,0.006043041718553175,22,0.011241661602664555,33,0.9004558779622773
36,0.19894134003311753,19,0.03198615310328496,19,0.00131904348936391,39,0.0048155913148665895,2,0.010639929652922164,22,0.889769586344031
33,0.18101264967026687,12,0.023506700287919242,9,0.0013168872763697184,24,0.004759790273236457,23,0.010337635242346824,23,0.8074698899983906
4,0.1477303813165,22,0.02184341524126952,22,0.0008631688134597135,36,0.004056776460475826,3,0.009007230484047531,3,0.7987620931701133
2,0.14502851957098245,35,0.0185771852900479,25,0.0007590426053989412,38,0.0036558060223919903,29,0.008715660031893425,29,0.6685517402241635
17,0.12153557074675413,25,0.011478804656469171,24,0.0004605317603863208,33,0.003369839268579411,30,0.008254861251549462,30,0.6344600254041691
29,0.09166393321014245,2,0.00979225035496302,35,0.00041532060543138526,18,0.003052474850198737,16,0.007542989427558004,16,0.6250581762484441
30,0.08622218415081434,30,0.006138614392942576,30,0.00035469503047012033,29,0.0017286332442291968,18,0.006964205073245752,18,0.5551818501232374
27,0.06676794643857706,24,0.006112579911002776,2,0.0001951275645127177,30,0.0016276084775005736,27,0.006375381516869762,27,0.5009234454626824
32,0.057887381491480254,27,0.0026232196773848786,27,0.00017605684892535044,27,0.0012603725679072397,25,0.004076276144808866,25,0.33558920662229463
18,0.05275344488707697,29,0.0011568735539764475,29,7.649161753319896e-05,32,0.0010927349357219224,32,0.0,31,0.0
25,0.04293280874984576,32,0.0,32,0.0,25,0.0008096432028830435,31,0.0,32,0.0
26,0.0,31,0.0,31,0.0,31,0.0,10,0.0,28,0.0
28,0.0,28,0.0,28,0.0,28,0.0,26,0.0,10,0.0
31,0.0,26,0.0,26,0.0,26,0.0,28,0.0,26,0.0
