In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
10,0.7522434221425376,1,2.577171061627143,1,0.30769788562295564,10,0.09734114709375416,12,0.004150996288860817,10,450.00706886041075
6,0.7434550048355277,40,1.914567882641796,8,0.08330563383146464,6,0.08517188527272841,13,0.004095722866907662,13,123.660693534595
9,0.7402163255594847,39,1.8345694750866757,40,0.07817355269378772,9,0.08461545468701027,39,0.003031018212591579,12,31.564809087215256
7,0.7346448402414584,36,1.3888806853738842,36,0.06310395332313418,7,0.08439238599051632,5,0.0029788361792703498,31,17.299748243773656
8,0.724697491446428,34,1.0864555853756388,39,0.05607800352444226,8,0.08190044175470912,9,0.002697659964733717,32,17.299747883511294
5,0.7158478245268108,16,1.0509327963282427,34,0.03704778220822969,5,0.08050046571607057,36,0.0024072049846661364,26,3.9154872235181744
30,0.6896480503250005,22,0.9760530417760522,18,0.029159151019058166,2,0.0387314504992165,37,0.0023849335470359874,30,2.4733944464856084
16,0.6585254704945783,18,0.9758821687972812,16,0.02859274975817612,14,0.03393765102065347,10,0.002337205333581027,6,2.4442509742217484
13,0.6276153464739319,38,0.8665066252359699,38,0.028551445124309384,1,0.02828907795383445,26,0.0022468658392675745,9,2.4251317266800076
18,0.6057194796161568,8,0.7930078081511758,17,0.026533891039214965,18,0.02766609846775057,40,0.002213852006055217,7,2.382271809942522
25,0.5998949160157804,24,0.7564498664288739,15,0.025889446291192213,11,0.026205207648946426,8,0.0022068495692567957,8,2.344071991074506
20,0.5991515895116087,17,0.7457427693469297,24,0.022918544907699852,15,0.022061780275517227,25,0.0021983524205074043,5,2.315828429362342
31,0.5839947678487026,20,0.6321506743395502,20,0.022069202542329212,20,0.015038053116181485,6,0.002152314077939999,29,2.189579991954003
32,0.5839947519202909,11,0.5898172130960847,11,0.02183861959565331,17,0.014508985547014972,7,0.0021518303796876233,39,2.171660608923759
14,0.5784502899594031,15,0.5362749361458012,7,0.021007854098227353,21,0.013291212727755387,31,0.001965037280967135,28,1.8202358260841947
22,0.5761633354385927,3,0.5013458948564246,22,0.017488226551274584,30,0.012879933198810478,32,0.0019650372605492894,37,1.7215708342640923
27,0.5749482003261293,27,0.4421080765011598,5,0.016738405113356496,4,0.01283320730472354,27,0.0018203626896542017,36,1.7121681435563298
