In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
22,0.7134639662703143,39,2.863297774371731,39,0.14551474363285918,5,0.06068063593642702,10,0.01080287023731088,10,744.6253964242329
5,0.6859561140931507,1,1.5955697780002973,1,0.1379569545437585,7,0.0604535497115908,13,0.0052524963486173465,13,33.07477384530049
8,0.6821584376509792,3,1.516069958883794,3,0.098814838319597,8,0.04208736311072312,8,0.003955584834748147,6,13.134767605512863
6,0.6799415719703426,17,1.4290015815383061,36,0.07579206126186866,9,0.04123902009744157,1,0.003850837367325553,9,8.521742933565962
7,0.670748870882387,36,1.3885376324763472,17,0.07376725695720095,16,0.04030373848227405,12,0.0036487837449004157,8,7.271322082287119
14,0.6602285321677732,38,0.937370034546644,38,0.04361977694447912,14,0.038230643579363885,9,0.003453489940349338,2,5.808806989126987
9,0.6464771526110135,34,0.8170117156873323,40,0.04108331113660474,6,0.03776657489348984,26,0.0033649665070570635,26,4.3591585948387905
15,0.6298051477102475,40,0.7995376447461506,34,0.03894201705646116,1,0.03680668818490403,35,0.0032547981939201787,12,3.9803366314915793
12,0.61013115474603,30,0.7384443909461273,8,0.027468761116268392,10,0.0360571316561128,2,0.003150140671377453,27,3.8751598304998733
13,0.6086549665886567,22,0.6399321879996385,15,0.026615522515965818,17,0.03442625465424118,27,0.003108278947057334,11,3.44022603397046
11,0.6083745008533116,4,0.6105807948090048,20,0.02649226837179947,11,0.03373535455312934,36,0.0027692944135648545,1,3.3359721423187008
1,0.5954869900100067,20,0.5113259955897089,22,0.02578331483245104,37,0.03131767359239771,6,0.002608030416097332,14,3.029482509124778
10,0.5696411985711862,8,0.5033821429918853,18,0.02233245100978062,22,0.03038895950124999,11,0.002046186149140087,35,2.7254759638439086
2,0.5689080046121681,15,0.49057600511729915,4,0.0217389724251728,15,0.02943088462742945,31,0.0020369004213157587,36,2.644199181853194
35,0.556626118361204,18,0.45878998133904925,37,0.021181863991334655,19,0.029226210918614177,19,0.0018543210167780001,31,2.3519884859075204
16,0.5505053929350782,37,0.4104891444091833,5,0.020876670590052916,18,0.02921718270064495,18,0.0018538843009380968,5,2.2329488395747363
34,0.5503328669783457,19,0.3451360034828723,19,0.016736048206550145,13,0.02880990826407137,32,0.0018283118701784048,19,2.0820010630847845
17,0.5494098541824034,5,0.30964657974101184,6,0.01547050759669865,39,0.02839967817572868,39,0.0017248686293448838,18,2.0813703231097853
19,0.5466853397163907,25,0.2975576649944632,14,0.013725696532144172,20,0.02794495788918854,5,0.001679387471643032,32,2.0435746401493122
18,0.5465164640991824,23,0.268037947462329,25,0.011527665959457542,36,0.02495850471940682,15,0.0016770413783833643,15,2.039485349631911
20,0.5459515442288907,14,0.23440832464532652,35,0.0109383366755332,12,0.024409350533912695,17,0.0016608165858498104,22,1.7577298317300292
37,0.5433045115016498,6,0.23188273600605078,16,0.010528107148948479,34,0.024248626785054184,14,0.001316507271767439,39,1.5582350194184431
36,0.48575725424372285,35,0.2309730854648168,11,0.009119121914936494,35,0.023862255281554667,20,0.001310186035900312,17,1.4542839082332717
23,0.4658015235642443,16,0.20863694894662108,23,0.00904795126188881,21,0.023610857971180885,7,0.0012951496834914954,7,1.371713462664498
28,0.4649432506081956,28,0.1944455767790667,21,0.007504759004087369,2,0.021915231477715253,25,0.0011894567263522446,20,1.3162945755702946
29,0.46494228422852296,27,0.18941572780244,27,0.006306313017998958,3,0.020387846536128875,22,0.0011266630968442928,37,1.2912173027138591
39,0.4646917024299841,21,0.186453192328797,9,0.0052964103483880975,25,0.017841464596155106,24,0.0010384482996819437,25,1.1700456322664794
26,0.4611294168812594,11,0.17324249548158452,2,0.005167293067830356,31,0.01574461585479369,3,0.0008495740275657419,24,1.031102591411757
21,0.45021502712357314,32,0.1617274086626353,13,0.0051546759440154015,38,0.01510411276002873,21,0.0007824073667439089,21,0.9290209630701668
27,0.40945393471047037,26,0.1590584115775266,10,0.004789176147331783,24,0.014830417608695546,37,0.0006550401745646302,34,0.8973741531299413
31,0.39133997996000164,29,0.12505860622013032,32,0.00417202756407936,26,0.013939026131295273,40,0.0005991880559727257,3,0.7559388410668532
25,0.3676069267321072,31,0.11672113970453633,24,0.003867932018820312,32,0.013644170945273967,23,0.000589822775982378,23,0.7393601947051044
24,0.34795151530800933,13,0.10296034035823505,31,0.002987312498312591,4,0.013334207646229859,16,0.0005880839805758645,16,0.5439653241512116
32,0.33913241412420053,24,0.09430987462387211,12,0.0029172061524135044,23,0.012923358635048763,34,0.0005706726408906301,40,0.537767155881135
30,0.3167331429857649,9,0.07988079854668641,26,0.002217182209446917,27,0.01237697897065752,4,0.0005389022943573259,4,0.5280220599213707
3,0.28627089730222083,2,0.0781338548268088,30,0.0021939969162226543,40,0.003289538594545247,33,0.00039773001257859485,38,0.3895306725831202
38,0.2575995962114877,10,0.07504297848574519,33,0.0009639304647557237,33,0.0022045754950457616,38,0.0003599258167676513,33,0.3884791722969766
4,0.23666260909777637,12,0.05733492288191934,28,0.0005777185134818514,28,0.0018097862788754196,30,0.0,30,0.0
40,0.07157979806843033,33,0.021992563973999676,7,0.0004382836954851658,29,0.0018097825172536173,29,0.0,29,0.0
33,0.05672027988892964,7,0.005866307759641813,29,0.00037156243551734986,30,0.001232880132125567,28,0.0,28,0.0
