In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.9169582195173792,40,3.13088005953078,1,0.3301120431372605,5,0.155289891714051,35,0.02331317714775322,31,52.36447080731413
31,0.7487865386612055,1,2.115199325289748,40,0.16592939060269074,8,0.07572386365345463,40,0.02322809938570375,32,7.637869160191583
22,0.6969039114309193,39,2.0230507882587996,39,0.0894874236307483,7,0.0725010213653082,14,0.021835986589826897,30,7.458113566110073
8,0.6808474087863701,36,1.3396016867793041,36,0.05554443522259211,6,0.06123907162638755,33,0.021164908040774262,2,6.2661836204936465
18,0.665065475806715,34,0.8202686885590831,8,0.03410935728499385,31,0.06080832734931976,9,0.01668142571612042,12,5.935978923889752
7,0.6580149163324889,17,0.7941468488247615,15,0.03395740887643688,10,0.05884865493122595,24,0.015151285042501282,13,5.6214880673542105
6,0.6294503408858511,15,0.7059204920916085,34,0.028686030690521076,14,0.04643201625989777,30,0.014576793986993719,33,5.101041493990097
14,0.5852915211643277,20,0.6364985218490746,17,0.02724787024585772,18,0.02607542085031091,18,0.013936236321852454,9,4.952445222909299
24,0.5822690056565476,38,0.5930293007130418,20,0.027151804073665835,11,0.025236810215976537,6,0.013900035826152481,6,4.888175117958194
12,0.5549281202643706,28,0.5290601513234676,38,0.021585388808269997,15,0.02218640938782595,25,0.013704697301799709,14,4.881080987554967
26,0.5490772963714702,3,0.5286599313297099,5,0.01643368614819746,19,0.02154728679246668,8,0.013628451304256398,35,3.886630897075582
27,0.5404078222318534,4,0.4828272839614204,11,0.013944915580473203,9,0.019665986161721504,13,0.013270826403102651,8,3.587546644781951
15,0.5315322157774128,22,0.47166164163670404,22,0.012741466604159752,1,0.019420260475252513,27,0.011728502021669696,24,3.240946411585211
13,0.5299941364616503,8,0.4404074020020383,23,0.011328929432926245,32,0.019063629527971537,36,0.011471354945323116,40,2.8643456714316633
11,0.5009854304884845,23,0.430178049448533,6,0.011311141821456525,27,0.01900048586724399,7,0.010843294631741721,27,2.8634759780768606
33,0.5005080605772319,11,0.4057100879045493,4,0.011258584589686085,36,0.018057599502263204,22,0.010765269851344343,25,2.6169932338508826
21,0.4905940441774973,21,0.33127862357811466,37,0.010938759670163214,22,0.018023098450629698,4,0.010119640062640177,18,2.599083031467212
19,0.490264313345903,37,0.3160726489079907,16,0.009819889764169084,12,0.017679288343316234,12,0.00951248930502828,22,2.4415377378585688
10,0.48560292619997075,16,0.3070373158108478,21,0.008569984328641152,37,0.017610742132656634,34,0.009185083608635748,7,2.3265337746938033
20,0.48428546349964363,5,0.19054931000990089,14,0.007401177999093924,20,0.0173501907807515,1,0.008921860669846455,10,2.2751623081095165
9,0.4819038612701307,24,0.18773310215410632,7,0.007392740851296983,40,0.016538601706079306,21,0.008559087956575144,34,2.0134224041864273
25,0.47082810540128434,12,0.18177780567558652,24,0.006361814464530368,24,0.01617013015352036,20,0.008344147545463476,19,1.8720380276341868
35,0.4591746819264887,14,0.17623404662440148,13,0.006272122542877323,30,0.015587434420962899,2,0.008052281405949093,36,1.8574160042212593
32,0.4434471339650432,25,0.1661275514252697,12,0.005980259244914804,33,0.014852373148921934,15,0.007920338780971977,21,1.7950206225623269
34,0.4382505115124109,13,0.16405851937317997,3,0.005962154092981596,21,0.014175366740746306,37,0.007599226607029261,11,1.7399535168609055
37,0.4229526305218496,30,0.132078765562063,25,0.00572666641285674,13,0.014100749868788493,5,0.0075500856810870294,4,1.6452552633132669
30,0.4165382133448867,6,0.12672000067103273,28,0.004262543754578603,25,0.013702551997547848,19,0.007512836410042507,15,1.604588083594958
16,0.41208731593829057,33,0.11118942273974215,18,0.004259344580394788,35,0.012637782791468955,11,0.007005374489311762,37,1.5845324720500722
36,0.39648179210191875,7,0.10925538878003158,30,0.004199464714575063,38,0.012421723825146419,10,0.006373824998454874,5,1.4953808917195845
38,0.3290525640103955,18,0.10735341914442502,33,0.0034143209364399627,39,0.011939678194704716,31,0.006154560936864466,1,1.46580431525976
40,0.3214747109351707,35,0.0972622017963572,2,0.0031600524570338305,17,0.011488027265798516,38,0.005063286518339503,20,1.4026024314699386
29,0.29559315629070354,32,0.09151678888372854,32,0.0030864365356356367,4,0.011103483571159494,17,0.004963058954022293,29,1.1550978434124195
17,0.2909182630182496,2,0.08989419202086499,31,0.002910447325120664,34,0.009377025381935484,3,0.004680873038989651,38,0.9938332467694039
4,0.2860850664944773,27,0.07187486667813997,9,0.002512292507059064,29,0.008968474774985025,32,0.004675253822717538,17,0.9192946097181598
2,0.26791571794283986,9,0.06011954231644473,35,0.0020573405559794573,23,0.007305277886201996,16,0.0046506464939855005,3,0.8878386439523237
1,0.263677030919598,19,0.037753208216679573,27,0.0019647206020902428,2,0.00565744308867904,29,0.004354440231905605,16,0.7746561479918505
39,0.24665975563857725,29,0.028810404321431133,19,0.0019536337730909413,3,0.0043857421914028,39,0.00425292835988902,39,0.690255844080239
23,0.21759099060860457,31,0.028654375911256413,29,0.0007240842230229651,16,0.003724659495302488,23,0.00183102722211462,23,0.40904287475091833
3,0.19672995497441337,10,0.0032708585775790273,10,0.00023987191351733758,26,0.0023130013867193175,28,0.0009426316752365855,28,0.2822232651159581
28,0.08459399422917292,26,0.0,26,0.0,28,0.0017904167218968175,26,0.0,26,0.0
