In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.7895710868642851,40,3.3827674984548626,1,0.2402060828260165,5,0.09856110834618402,33,0.028347497812351907,13,16.389364865600438
10,0.7124619589614208,1,2.0376249178281087,40,0.19250765459643018,6,0.06983854746515442,40,0.02478640298834767,30,8.714299389842061
34,0.6699149686744336,39,1.8103235511600093,39,0.10051143924198522,10,0.06061559692459266,27,0.0216968873865769,31,8.711060649622922
6,0.6520053549664087,34,0.8594005984065223,34,0.03893767739045599,7,0.05299883752214685,29,0.02164656626167808,32,8.711060526582203
8,0.6393619305475613,22,0.8208080186598783,36,0.03420426294881902,9,0.04496463316765145,28,0.019947693373253923,6,6.9903111885561415
33,0.6355615540602906,36,0.8015189994329444,14,0.03226770063316591,14,0.04153220545675298,26,0.018682702460747748,8,5.560661515063008
23,0.6294115785261589,14,0.635630891244872,22,0.030430075088820254,8,0.04012817910428066,13,0.015557907909747749,9,4.461297545882407
13,0.6080049234023215,38,0.6003181600554321,38,0.029317335205226842,13,0.035225470135807194,8,0.015557431054296486,27,4.132366874987696
7,0.6077702016075521,11,0.5398140544278546,15,0.02902594987150144,11,0.029320261382964587,12,0.015225031444672719,29,4.116542583485135
27,0.5636651332090584,16,0.52362356868159,11,0.027530542123392582,1,0.0256584582083175,9,0.015090025252664705,28,3.609646069918994
29,0.5614865614947945,4,0.5185068277984497,16,0.0208019690944822,22,0.02519552892406676,30,0.013398951922065666,26,3.263770338960846
9,0.5216613949945021,15,0.4919885285532004,7,0.020734943420480406,17,0.02375569755747888,31,0.013398075980000555,19,3.2365318650138524
12,0.5157274627171697,3,0.39103701501414984,20,0.017326176074946267,12,0.023582100653841392,32,0.013398075946712601,2,3.168496912527274
28,0.49170078901104913,20,0.36483336845359143,2,0.01539130187949389,19,0.02343708128195959,16,0.012440470831234517,5,3.11373740086067
14,0.4660198233873336,27,0.2693797054308262,4,0.014643184732575544,27,0.022082615442748615,6,0.011720524891851063,33,3.105999451305493
26,0.4440831699856498,18,0.25001899464385735,5,0.014521829453329896,33,0.022069780791420367,35,0.011450296597954152,40,2.774731574836896
11,0.43532071396780564,30,0.24317584010675306,6,0.013885565059339272,29,0.021997265900003886,5,0.011356398319887153,12,2.3885997497351057
35,0.4323198274756866,2,0.24283852333076159,8,0.013850892735149918,34,0.02023727236790635,2,0.011027840076106226,7,2.25746418996946
21,0.42009715675862447,37,0.23047425764148272,13,0.012735326980117888,35,0.019844776483976458,23,0.01092444762094054,16,1.513248683518958
16,0.4084472015141882,21,0.2291097068303742,27,0.011185119475189737,28,0.019263280265022047,18,0.010736289904472358,21,1.3958876481787035
3,0.40502330887779947,8,0.20767809024563438,3,0.01059349928904058,20,0.01838023858232015,1,0.01026099591905491,37,1.3882038766259988
22,0.3852312047600769,7,0.20369516999725018,18,0.010356679005045579,38,0.01801607419167014,39,0.009950503271373654,35,1.3584857865981619
38,0.38222396015650745,13,0.19196881205610017,37,0.009629123028434003,26,0.01739777270160282,38,0.009410291525755185,23,1.3373248414165047
15,0.37841254303756755,17,0.18662704413004133,21,0.009422051252132602,4,0.016858594636766228,37,0.009270302746874308,38,1.3359503816553775
17,0.37725019842857455,23,0.18500655119871906,17,0.008708221695817335,18,0.015881623140373387,21,0.009107531181408036,18,1.2985274570663023
1,0.33977178061113966,33,0.16119356663800163,23,0.00686290514365934,15,0.015418779733756804,4,0.008534142079322692,34,1.2946748721533738
2,0.308702166776863,29,0.15098064490553545,29,0.0062689821009669884,21,0.015347963156108143,22,0.007924396840453894,1,1.2421645702500586
36,0.2943349882411066,28,0.11645539938758873,33,0.006221293301730089,36,0.014684393185687327,24,0.007815706589326553,3,1.2225292452990306
37,0.2890168740782095,6,0.10529278220504164,30,0.005369691601159033,3,0.014411120540685237,19,0.00672089875606956,39,1.190976101692578
4,0.2869951890546313,5,0.10337317804983409,28,0.00483543314296036,23,0.014253385263074474,3,0.006628830932054376,17,1.0458487780208046
24,0.27857052075967814,24,0.07594633016633283,24,0.003069845600081228,24,0.013811277573967922,17,0.005860826783004336,22,1.030430969267381
19,0.2743163131569516,25,0.06704865025058862,25,0.0027244699802179673,37,0.01367892903216067,7,0.005831585656134389,4,1.0261630054049906
30,0.2589298281206356,35,0.05487905427944968,35,0.0014553255820536903,39,0.012809389104607048,34,0.005767356335900262,11,0.9634327539997419
31,0.25883317188379523,26,0.02930308319650104,9,0.0014301877023224028,16,0.012658231915250503,11,0.005731709486182448,24,0.960014456303399
32,0.25883316821179136,12,0.023121489463096813,26,0.0012167155874645236,30,0.011120210453899009,25,0.005383912688616486,15,0.7678910365257188
40,0.2586969589221748,9,0.020838602443484476,19,0.0008527764597986618,31,0.01111605937673981,14,0.004716979350838677,14,0.7213645139567713
39,0.2505001197635928,19,0.01862900369969259,12,0.0008339811829357859,32,0.011116059219038962,20,0.004519420121687654,25,0.6674370489524571
20,0.23038163801269043,32,0.004516588935375132,32,9.973313821605308e-05,2,0.011061802464512712,36,0.0036955538772860713,20,0.5504708740758162
18,0.22587960467853874,31,0.0014168900205146875,31,3.128708197156347e-05,40,0.010982477909919776,15,0.003535321289925241,36,0.5015891168185309
25,0.20469091648341348,10,2.328871773037959e-05,10,2.7692930734887605e-06,25,0.010686920435582609,10,0.0,10,0.0
