In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.7797443305645878,40,2.893652895008843,1,0.3827675317196849,5,0.14196346798682663,40,0.04329542604739903,2,42.62898382836255
6,0.777648091179633,1,2.210896815332911,40,0.22971153339607053,14,0.1031479865648561,35,0.027967306321258805,13,28.20129280693341
14,0.6707718359291626,39,0.5703175141518538,36,0.0496123848396551,7,0.10140550611652983,9,0.02770875968304351,6,23.960458609342304
13,0.6676816629442195,36,0.5628139168696077,11,0.04388590760180731,6,0.09474077996209934,10,0.027702492309237194,40,7.473148482699758
7,0.6673050042519372,16,0.47705160642086053,6,0.03182157880587989,8,0.08880006466948516,6,0.022587194974275557,9,6.022291180552943
8,0.6498026638063524,11,0.45461942443066844,39,0.02431463822823345,12,0.05190202122255808,37,0.022372300283896737,10,6.021298926790775
35,0.5260221105234197,37,0.41870784496414093,37,0.023664960481621228,11,0.051872940284156586,36,0.022285770269127494,8,4.7347471572809345
11,0.5240137713688569,38,0.3544507984495585,8,0.023657865540668847,13,0.03511257547559616,39,0.02131807270476613,35,4.531213574214764
12,0.5193312032312436,15,0.2948292744942885,16,0.02269976193356017,2,0.030066620885337868,7,0.01987992325653825,14,4.358600007604211
37,0.40867744689612995,34,0.27175257085314364,38,0.01912816654484893,21,0.027317453427799166,33,0.01710516306321471,11,4.308254176779944
33,0.39266181785067444,19,0.26480949259954256,12,0.01828589305214712,1,0.0268810197063717,13,0.016616821975831517,12,4.2680773043600775
15,0.39112110382458276,21,0.2285027484007527,34,0.015957438183282473,35,0.02561894943477856,8,0.0153302293751771,36,4.047725748089855
2,0.38614826877385156,13,0.21754467574488176,14,0.01564078191968754,40,0.021211388850040647,11,0.014405769358212701,15,4.033199897501567
40,0.32099827440817685,6,0.2104416374595481,13,0.013628805319194685,37,0.019844131907117795,12,0.014345836614631109,37,3.9808528455944083
9,0.30150800133619177,22,0.19929846738088103,21,0.010345783408262192,33,0.017777144163162763,5,0.014232905997550067,39,3.8697091506153947
10,0.2997779345273453,12,0.18948575799708411,19,0.010275431707087055,36,0.015816537874192092,2,0.01311430079953176,7,3.641170968589857
21,0.2982099207103335,8,0.1531651166936126,33,0.008588448542524255,9,0.014781721366082069,4,0.012413846250979677,33,3.429948153589013
39,0.25972939899785713,25,0.1462675907153569,15,0.00815131235691291,10,0.014757724810683276,34,0.011084549844293535,5,3.166384258080581
1,0.2561514383803612,7,0.12991083944834889,25,0.0075162931485537226,15,0.013612261937491023,1,0.010547594495243359,4,2.1693512750747415
36,0.25391367522871444,20,0.1295669075691093,7,0.0065668471670688065,34,0.013227312058917369,15,0.00972645321245285,34,2.086503688996394
38,0.24966742641632253,33,0.123218864279691,5,0.00628488640759236,39,0.010973024632329681,14,0.00961048711126879,21,2.054676893719965
34,0.1926341632253792,14,0.11887927020216801,20,0.005027649463155062,38,0.00960243313242416,21,0.009238418172284057,1,1.9889018873056574
4,0.1799914452968092,35,0.08640247568306739,22,0.004761624990685469,17,0.008795362843204172,38,0.009175558225398502,38,1.6653262759556322
17,0.12607030447023027,17,0.0841763864673269,35,0.003581688441687966,18,0.008747285379151527,25,0.005009691414801346,25,0.940164016134503
18,0.12037691718594273,9,0.06089287410003908,17,0.0031535508760122235,19,0.008697509743316624,24,0.004849990284239844,24,0.9038912365986121
19,0.10951483478632032,18,0.06086496882175908,18,0.0024156987597547747,20,0.008697509742381381,32,0.004149088723163175,32,0.7756586930053014
20,0.10951483477454427,5,0.0488788888016369,9,0.002301701340767187,4,0.006840781593837253,28,0.003727186505289253,27,0.7046972399955218
23,0.10486487194661386,10,0.040426383969909434,10,0.0015280845839702204,25,0.003332903886180189,26,0.003711112375220139,28,0.7005062769678311
24,0.08673998625747735,32,0.030199064882821435,32,0.0012846837858370907,23,0.0032408847816446794,27,0.0037068604413181294,26,0.6986502896356639
25,0.08506371745760173,23,0.0232779177211463,24,0.0008915618298075762,24,0.0032236134057790885,17,0.0031721269661567123,17,0.6482515669050423
22,0.0721885870785756,24,0.018795244382311,2,0.0007650803078069817,32,0.003186287483464168,18,0.0030890570098932248,18,0.5991856419893179
32,0.07148694018176213,2,0.014218376037038799,4,0.0005665425279285857,22,0.0031515055401856204,19,0.0030682245194920757,19,0.5917312619423268
16,0.06443361357348151,4,0.013128786888779208,23,0.0005483970907850779,27,0.003118312532061365,20,0.003068149830733073,20,0.5917267498216487
27,0.0637395922782106,28,0.00729875910155444,28,0.0003379639923190349,28,0.003114843592944177,23,0.0015971496300025258,23,0.4338728208767016
28,0.06349434697005611,27,0.002949564888492041,27,0.00019044906992232114,26,0.003112806850627603,16,0.0014487304707064587,22,0.3339302983493754
26,0.0633576903419939,26,0.0026635057622172833,26,0.0001390726352171292,16,0.0023073261563860224,22,0.0014026344489793147,16,0.31448266342401227
30,0.0,31,0.0,31,0.0,31,0.0,31,0.0,30,0.0
31,0.0,30,0.0,30,0.0,29,0.0,29,0.0,29,0.0
3,0.0,29,0.0,29,0.0,3,0.0,3,0.0,3,0.0
29,0.0,3,0.0,3,0.0,30,0.0,30,0.0,31,0.0
