In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.8112441525885403,40,3.496565855072063,1,0.2395029627706986,5,0.11929069049599438,8,0.029783912976660575,13,14.674370618287039
7,0.6418147108310732,1,1.6763648525045638,40,0.18900018409321398,7,0.05809953905569845,29,0.029706133659629704,29,11.858475213996114
8,0.6042132972985667,39,1.2003505719437424,39,0.0575422008566374,6,0.049969452797866784,40,0.029255372014984456,28,11.542389716093465
23,0.575545271528069,36,0.9155229177972586,36,0.04385322749646981,14,0.04773887014024209,28,0.025639685025401593,6,9.649608340966301
25,0.568966115748265,23,0.7425029910939833,11,0.031307993085255025,8,0.0443008875565691,26,0.022101833894673163,26,6.480638844859339
14,0.5676566928611476,4,0.6301228221178439,38,0.02891056995225587,10,0.04009559430040649,9,0.019769033659963815,9,4.850067496558079
12,0.5611457896496759,38,0.6257545062803067,20,0.026522887580866215,11,0.03489388151618363,2,0.01924360716768061,12,4.491221187101464
6,0.5550167929925822,16,0.578164777967757,16,0.02627760870828652,22,0.029177537638129525,13,0.01769418059015066,19,4.158920356854536
13,0.5281319568414344,11,0.5705466135482115,23,0.025403456754657397,19,0.02787056368632325,27,0.016618115762352042,8,3.7007350683031155
11,0.5111635663770124,3,0.5566847818537641,15,0.023869081370686197,9,0.026659875709488266,25,0.01641325868502447,7,3.476837783935742
27,0.48862186361037724,20,0.5193710965927286,8,0.02322073216542173,36,0.026212956131866826,35,0.014090446682284215,40,3.2779839684472094
33,0.4838787980189878,15,0.5103079120941458,34,0.022679192745759393,39,0.02570086528852623,7,0.012747232544137278,33,3.2420952848861346
9,0.48135132882331055,24,0.5098879396002056,14,0.021447256170323642,29,0.025261008300158337,6,0.011789154745041067,32,2.4925068830690247
17,0.47580701455985674,34,0.5052135768809694,24,0.020767877820485153,12,0.02497333088397237,32,0.011367968831704663,27,2.3069054764461705
21,0.46050733180022374,22,0.43089649004112957,18,0.02001383570468168,17,0.02383498440701263,39,0.011346770000667637,14,2.164221446510277
19,0.45889328867200085,18,0.41712179517566034,5,0.019740384861109014,1,0.023809220306326925,17,0.01088644354032681,2,2.0998272280261916
28,0.45803838817874554,37,0.3056888905364647,4,0.019663575110719946,32,0.022493720198238715,5,0.01018084765528173,25,2.0230040177008983
36,0.4537052899131321,14,0.2899906717188121,22,0.017124992951408763,28,0.022487332593370053,19,0.010073089904745357,35,1.8388474699201642
32,0.4443283510307683,27,0.27332921977854774,6,0.015802077712216606,33,0.021834111946002686,30,0.009687534163318672,5,1.79778988471181
35,0.4441265380037201,21,0.26999290114275026,2,0.014043608840750413,37,0.021465916002769245,18,0.009238487929624692,11,1.787618182417215
22,0.43253664982037404,8,0.26600396124157355,37,0.012960574949401484,13,0.021383606636047735,12,0.00898721512475614,30,1.6813794037659955
29,0.42368513843851463,33,0.2404761659841273,7,0.011776959748414452,24,0.020869703426757532,22,0.00887155826013806,15,1.5368705882899567
15,0.4216138106372908,6,0.16718147631226013,27,0.011456350710882123,30,0.019618332309487476,1,0.008665182826910083,39,1.424162495667308
37,0.4216043331306731,13,0.16425437359329806,3,0.011282030834384027,18,0.018805539161538765,33,0.008363811250661607,17,1.3257450491941027
34,0.41701332927658546,2,0.1635861726242551,21,0.010666818730828162,21,0.018790795893023435,24,0.008193394286043685,18,1.2826454820658058
18,0.4026847379871474,17,0.16190871993115055,33,0.010102285330636894,27,0.01721810417293776,11,0.007964384843819764,37,1.2814770707014302
39,0.3979023689592874,5,0.15717877876963018,13,0.00692592032198559,35,0.016824124410021582,36,0.007741986550478576,1,1.0554631777340193
30,0.3905535298870093,26,0.15444953468565611,17,0.006910073249761337,40,0.016354466480659833,15,0.007695595045826003,24,1.047956383645659
24,0.38676200947889894,7,0.13235738315150924,26,0.0061349109105508035,15,0.01630358077249958,14,0.007139593013771629,36,1.018412619733904
10,0.3602053511236778,12,0.10855145418696839,12,0.005649085800366516,25,0.01629209918746451,20,0.006884207083738644,22,1.0163989813078933
2,0.33163557485224276,35,0.10769152713149428,35,0.004712630378861369,38,0.014211263284392933,21,0.006718848610884551,21,0.9336014401767866
16,0.32503285254305503,32,0.09039358782187974,19,0.004069977500837418,20,0.013193303660537184,37,0.006308834171684664,20,0.8890641225495086
3,0.3142494239175106,19,0.07323890467260806,32,0.003461127042628986,23,0.013051155374116228,38,0.005493876540075085,34,0.8092618789687066
40,0.2941801135098473,29,0.05065495266631814,29,0.0021166127777140623,26,0.01212413527207376,34,0.005299080049211858,3,0.7763424634650472
20,0.2754484963053699,28,0.04146061834966633,28,0.0018051186034290774,34,0.01203369440881611,23,0.005107779825350494,38,0.7117384719349429
26,0.2740155573560447,9,0.02940114431337097,9,0.0014396132664852013,2,0.011871253813205206,3,0.005021154648549768,23,0.7017189847586819
38,0.26961535379484136,30,0.02360680170952615,30,0.0010329835503482016,3,0.010298063347495228,4,0.0046817873165731485,4,0.5929200560137583
4,0.24836836065285356,25,0.018291552592529285,25,0.0007875334401479465,4,0.009920596328560976,16,0.004119456956301676,16,0.5021433703577612
1,0.2140152336763033,10,0.0002104711962878,10,1.5686100432817335e-05,16,0.004665843105218048,10,0.004000064095595871,10,0.48150241293084606
31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0
