In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.7755036784493715,1,2.197923164992163,1,0.2646905235008143,5,0.10787075131612793,13,0.017990730296336868,10,53.758912249521444
8,0.7100019603159486,40,2.1067699796763746,40,0.09105521618442118,8,0.07901890418662297,26,0.015089086611509926,13,29.07045493732358
7,0.699752063090614,39,1.819561652287773,39,0.06514831206845259,7,0.07838630465148903,8,0.014104436531269608,29,5.612784541091541
16,0.672488247266563,36,1.2994694824475725,36,0.06168335262747931,10,0.07549066671365932,29,0.013080423006439964,12,4.905460971209813
6,0.6606965882575709,34,0.9031481776063572,8,0.05430864832869568,6,0.061748651566752986,12,0.012637857024368081,6,4.683777741025155
9,0.650332385344624,22,0.9000475287713889,17,0.03380122726416851,9,0.0533746397171519,9,0.012486700504290538,31,4.26817846301301
13,0.6415990656799155,17,0.8544496875128678,34,0.033171297082277104,14,0.037556887042387674,27,0.011546257688992452,32,4.004300925355859
10,0.6213763281926533,38,0.7954908062934218,38,0.028933534595618638,1,0.03133711889208234,28,0.011016144447695973,26,3.9367690088149536
30,0.6029616958003948,18,0.7195719072181782,15,0.028568868996080497,11,0.02804424298966341,2,0.010805937669131776,9,3.800067334607721
20,0.587727269275578,3,0.7151514724486822,20,0.026294976569712695,18,0.027040782442076562,5,0.010507566035924851,2,3.6731267635305493
22,0.5870643757444798,16,0.7018856583855281,18,0.025873634352349018,15,0.02389016877644922,7,0.009714572489131455,8,3.5353598369186483
18,0.5825195975663667,20,0.621964788017829,16,0.023108020958340122,20,0.018543939723995026,25,0.009529851338726308,28,3.3735884665962605
17,0.5773993416883274,8,0.5856617640265275,11,0.022258457868607914,17,0.018154296321682722,39,0.009446219831211217,30,3.33688575167503
12,0.5740718497611552,24,0.5810256170323831,22,0.020628282621319577,2,0.017913075785334773,31,0.009409542214709741,27,2.5580839961456032
14,0.5715028874371311,15,0.5734878872442265,24,0.018804242396612433,19,0.01655717611621936,33,0.009368666080338817,7,2.491930334771092
15,0.5605907756544423,11,0.563512950307367,3,0.018718726907779586,36,0.016509901756391852,40,0.008767136682756338,33,2.3847629002430386
27,0.5552102669425006,4,0.495272751986418,6,0.018427041731402884,12,0.01628495841897706,30,0.008592293164490289,14,2.0922568786294042
31,0.5455433994978753,27,0.38126247365048826,5,0.01714098827313542,21,0.015526422117419057,6,0.008525130021663775,5,2.011216484603225
25,0.5419294025648698,30,0.37928888350219353,7,0.0169424909579534,13,0.015291281619901497,35,0.008113084950941346,25,1.7610604613729206
32,0.5377160441690395,23,0.3639108303351212,14,0.015659583097467712,34,0.014763039797419397,32,0.007984615855331601,39,1.5980608021801448
23,0.5359137412968911,14,0.3392090278210007,4,0.011573841963203378,33,0.0147596457744198,1,0.006622339491879032,35,1.4907892668323024
28,0.5357512723399435,32,0.2923921660641857,27,0.009522471583953147,22,0.014690436277207931,14,0.006276580059088922,40,1.4340742257130197
11,0.5316692526728412,21,0.2876570154810654,25,0.009355796428958419,28,0.01443571809208268,18,0.006270481743191415,18,1.1704229620240794
21,0.5292959223073374,25,0.26599751791441223,30,0.009078496829661121,30,0.013878588677002536,20,0.006113135635314043,37,1.159797472666056
24,0.5206339375725001,37,0.23831743401158292,21,0.008893410223552955,37,0.013856140764522068,36,0.006107825776155942,19,1.1334904755179924
33,0.49914586506431996,5,0.22980255726803844,23,0.008294562956527928,16,0.013646944076348866,10,0.0060250325247362315,15,1.127266381524771
36,0.449038960163481,12,0.17946885379879768,10,0.0072630565373909646,25,0.01324350201363799,24,0.005530701514152944,11,1.0926462204209029
34,0.4452229478925864,28,0.1754694682980189,37,0.0072139706396933895,24,0.013221709865832541,19,0.005373206206262509,20,1.0853400085816391
19,0.43433288511646273,6,0.17452075738674033,32,0.0065282896080528525,31,0.013051992447051854,15,0.004868487330315089,21,1.0818184773323423
35,0.4330158891667348,7,0.14559473415586496,9,0.006385219863657129,27,0.013044033673429569,21,0.004838241727594583,1,1.057178365842518
2,0.42805284164945384,35,0.1355030365244843,12,0.004945592140089429,32,0.012932761013283335,22,0.0048318492279605845,36,1.050062478352471
26,0.4276877234562794,13,0.13088278265059566,2,0.004420714547905008,26,0.011913471417737678,17,0.004816773335622805,24,1.0450887063694696
29,0.39690806403269974,33,0.09886305337888036,35,0.003912018180965964,40,0.011584671110374655,11,0.0047252566531657755,22,0.9925116242709963
37,0.3905021885496873,9,0.08775599801262741,28,0.003906049772689533,39,0.01147995183899227,37,0.0043348768747285184,23,0.9551441550377213
1,0.38752428838927244,19,0.0831257183346438,13,0.0035831020342422387,38,0.011376039095776261,23,0.004208196816602853,17,0.9056455166094979
4,0.3241519549922737,31,0.07137365995521719,19,0.0034198678505793887,35,0.011307159497414516,16,0.0037790346789991244,16,0.7104238823131158
38,0.3125090870588045,29,0.06679439855159189,33,0.002995665263864725,23,0.01045040659640241,4,0.003436365670533792,4,0.6400913321298412
40,0.29160345758790585,10,0.05713054996557476,31,0.0016006635504270375,4,0.010148109946812001,3,0.003280152379224417,3,0.6030754684125172
39,0.2904883780246096,2,0.05345189634149516,29,0.0013120376336545182,29,0.008862121912991,38,0.003022816325447047,38,0.5866518168838994
3,0.27799959409635655,26,0.025267384472181933,26,0.0005777460082422987,3,0.008813385956876075,34,0.0027444482632226347,34,0.5852867073554158
