In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.7812537122861533,40,2.2104941028185,1,0.41574283619600905,5,0.2168680759116366,8,0.04803031364501978,6,13.518484489607845
6,0.706519727186463,1,1.693509215259684,40,0.10329163160845466,6,0.1189430258920906,2,0.039072626713748115,12,8.727295099654212
26,0.5595141545908906,24,1.267216358571889,36,0.06788569735372584,8,0.08256219079196639,40,0.037839557641614174,9,7.6432964854403975
13,0.5309890069686519,36,1.1480119189636289,38,0.046387328563079776,9,0.07735133863160829,9,0.03489905607188372,8,6.839249517785008
9,0.5260034390993231,38,0.9090052143415674,24,0.03338923439242488,14,0.05416731463632483,26,0.02941090617933342,2,4.223126371995545
8,0.506893388616873,16,0.8692546907624318,5,0.032305366939595515,11,0.05251604822492393,6,0.02765554811085628,26,4.1719146859864065
21,0.499336789710234,39,0.7641209045923417,39,0.03082270404818925,13,0.02544451453634759,24,0.024492237644397168,13,4.034072031004954
28,0.4902654221823126,35,0.49607479511433855,16,0.03021152228619939,1,0.021294766112820905,27,0.0236730050992424,40,3.7407602977948478
12,0.48418517239368786,17,0.38248294766107505,8,0.02948927685164924,15,0.017523954356248164,12,0.022744117788999926,24,3.3320144791934365
35,0.46477124911160667,15,0.34360194791881615,20,0.024390450782694743,12,0.017373310697612308,29,0.021619680468295027,27,3.113234766920546
24,0.4302304538922646,18,0.3131845789984896,35,0.017609463722145457,21,0.017343681808586857,33,0.021615714110548218,35,2.940792413059208
27,0.41614960722095573,34,0.30540314306471983,6,0.017526053217101833,26,0.017135225226261576,25,0.021120180886448684,30,2.8167312765488832
17,0.4131736662408933,20,0.2949834900788144,34,0.01573939817549022,17,0.015002424917533732,23,0.02081875119318937,29,2.7724219645739048
15,0.3946003964175978,37,0.27373571330388696,17,0.01457278702979681,18,0.014090758228949705,30,0.02056911125597755,25,2.692224612564101
18,0.3863958752203653,5,0.2721849562690809,15,0.014453067230539905,28,0.013620945954881331,22,0.020480785097273475,32,2.4067329798432597
4,0.3851113391555568,8,0.2390204544463229,18,0.011756094922454156,4,0.013566360522138462,1,0.019174030198236068,23,2.3943214580774574
14,0.3835866166155546,11,0.23671035630154624,11,0.010693609776846701,24,0.01325238153627083,32,0.018252613682449074,22,2.3746979546544402
29,0.3699973450816897,14,0.21780332395416,14,0.01031975190569291,20,0.013144556319860013,13,0.018107613115645727,33,2.222739267835124
33,0.36846691078278804,25,0.19816106725724095,37,0.009573998211478734,40,0.01294594733502494,35,0.016814484149984286,21,2.1683454526314176
11,0.3665257873954453,27,0.1851873851522161,2,0.007704412708516886,27,0.012744659253107433,21,0.014380358515717862,19,2.0228155878381395
25,0.35913716263740403,4,0.17607755686568405,4,0.005656721890089433,36,0.0119640410387229,17,0.013908376126423818,15,2.001318250167431
2,0.35055456481704195,21,0.1592609851092594,25,0.005433440015529314,19,0.01159886793438257,18,0.0130232445867703,1,1.9332934488803268
23,0.31932304945108486,23,0.15472508877850202,27,0.005077710585556633,33,0.011567935704387893,5,0.01258550637562795,17,1.7807444138775168
22,0.316604065574993,29,0.1541451550819274,21,0.004948401798164172,29,0.011331237626560658,15,0.01246745899970022,18,1.636724400217568
30,0.30755838202526736,33,0.14761443855623396,23,0.0048452767215202,7,0.01114044843508536,28,0.012457807483577187,28,1.497849867479012
39,0.296058457520097,12,0.09287854704234855,29,0.004226554011918388,25,0.01099864251586648,7,0.011127916264680168,5,1.4309353160094398
40,0.2884627215814158,13,0.0921634971892378,13,0.0037644501653193094,30,0.010636420065588787,39,0.010536519411031696,7,1.3818222084850833
1,0.28172395505106107,6,0.08964422353103206,33,0.003662310357825474,10,0.010462564298619496,36,0.009720284267835621,39,1.2076683667249974
36,0.27294908958583247,26,0.08154331205943818,12,0.0035676591071964396,35,0.010225680555761186,20,0.009627861686083662,36,1.0278464934507598
19,0.27124522878832863,22,0.08101709860684847,9,0.0032015243346369348,39,0.010211008428798903,19,0.00817804049948011,20,0.9945387078544881
32,0.26214314330615374,30,0.08048531369491047,22,0.0025027496767413295,2,0.009854349821034065,14,0.007107114348744605,14,0.9908964432757567
10,0.2593704425203603,19,0.06789044510633727,26,0.002235861468021833,23,0.009779327881851027,11,0.005862174059177707,11,0.7574241594737494
20,0.2592740549386355,2,0.04819351116286163,19,0.0018545068785895322,22,0.009696058494077502,37,0.005785989776206392,37,0.7294387183925504
37,0.229683752386002,32,0.046219504542074144,7,0.0018039281344269962,32,0.009065805884259813,4,0.004497129672793952,4,0.5582239632828674
38,0.20856728810620742,9,0.03406994746579681,30,0.001706684179992006,37,0.008795392415419672,38,0.004318319206312028,38,0.5044135355306855
7,0.1764600069390657,28,0.027271946890067837,32,0.0009800806331952592,38,0.007421343172494152,34,0.0024851845329339007,34,0.32085756290791184
34,0.1740644404155856,7,0.015108315711300906,28,0.0006674541191907605,34,0.006078401220835913,16,0.0017903552014069228,16,0.21898318915983922
16,0.07130558641076827,31,0.0,31,0.0,16,0.002280993612059331,10,0.0,10,0.0
31,0.0,10,0.0,10,0.0,3,0.0,3,0.0,31,0.0
3,0.0,3,0.0,3,0.0,31,0.0,31,0.0,3,0.0
