In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
5,0.7451782967886016,40,1.6486227839502117,1,0.3339857065065026,5,0.1884379884014964,40,0.023386286496330944,32,24.73819555509821
16,0.7284459989054152,1,1.4470218642262764,40,0.08309872751008288,7,0.11605525888457358,33,0.023298271485100636,13,16.32425711683666
21,0.5362912253286063,39,1.2169204574046166,5,0.05541706366711877,8,0.08125582004613287,24,0.022341344489345716,26,13.631202244563385
23,0.5163263107437909,17,0.8776405442200407,39,0.052017754522314275,6,0.0714028895971484,9,0.02151959326146268,12,6.1184238784580325
32,0.5139985552891533,36,0.7587807684327713,36,0.04144575599036248,1,0.05214191578401246,4,0.020741030790992362,5,5.97322659570012
6,0.5060445191418401,3,0.7433951605389695,3,0.04066489587965452,10,0.05024739067551165,13,0.01962529985983735,14,4.354442330624615
8,0.49981157506411267,38,0.688566268987126,17,0.03856801749366588,14,0.03847292785083617,8,0.01957765672277162,8,4.313623666420989
33,0.4985091602734207,23,0.6113178562343764,8,0.03800117139200827,16,0.03260208058289504,21,0.019575835743665667,33,4.055874798308249
14,0.4937890372306403,24,0.468254625301724,38,0.03206339547556034,36,0.026231974221449843,26,0.01957554164095573,6,3.970710070408107
26,0.4866557817687469,15,0.4625792786712669,6,0.02666680600797246,17,0.019519104922816062,29,0.01912532781247396,2,3.6905068325385817
7,0.48639519228923717,34,0.42401885836665754,7,0.023234513927544328,21,0.01836519404307224,12,0.018908641631960568,21,3.498636203584554
36,0.47520629084490856,22,0.4220786752605548,15,0.021328552825388935,38,0.017052460666780567,32,0.017493577339537516,24,3.300620098393711
24,0.4683644951539625,11,0.39285625643785405,34,0.021005958898288796,32,0.016989782997819496,1,0.01615303648450998,23,3.196823928556412
12,0.45694283755184717,8,0.36863197286688804,24,0.01733776695059958,33,0.016239469035321728,35,0.015263145829166965,40,3.1914338750199853
17,0.44367109280437483,18,0.3194378453281941,20,0.016615619313109873,12,0.01601175388283896,23,0.014935536105986712,9,3.0620521348422036
22,0.4188619964286709,20,0.30739374361436117,23,0.016194542143436765,20,0.015407151336641927,18,0.014417480015130067,4,3.022735750261776
1,0.4080841606876539,33,0.29585052693820046,14,0.015727100202201274,11,0.014329913188495766,20,0.014060327055919322,29,2.948066220095962
38,0.37313230725698043,21,0.29259876564345483,18,0.014197504490886855,9,0.013809244861988689,6,0.013911731969643635,22,2.896378914972957
9,0.373109903640789,14,0.2784019538196515,11,0.014046620782905882,40,0.013624899578526216,14,0.013850045047469067,1,2.7371028832108064
20,0.3713044102132694,37,0.22303641229583798,33,0.013339699497677793,26,0.013526440287405841,22,0.01359629033172855,35,2.6056477832956237
29,0.35687192997656403,6,0.2176873750051953,22,0.010326331925625558,15,0.013463748977778066,5,0.012457351243231492,19,2.4110186492433607
15,0.3530289357533707,4,0.20703941414976276,21,0.00887951359808166,24,0.013169867903638392,27,0.012352568756181983,18,2.2799644132052683
11,0.34450651214708716,27,0.19982273427770286,37,0.008859354549256118,4,0.01280372234532084,15,0.011207561468026454,7,2.278758407583223
10,0.33946966448463184,5,0.19264878496138899,25,0.008488409884941256,23,0.012328082893227649,36,0.011068690189342149,27,1.9481097794163533
18,0.32150506778975485,35,0.17962067284364436,16,0.00712343924471366,18,0.011907085264377993,11,0.010718041062313086,20,1.941426321187591
13,0.30430082788224566,25,0.17471186072587755,35,0.006854382422048776,34,0.011798448032990117,19,0.010587140611737286,11,1.9327687478469096
4,0.296058640013103,7,0.15655917695397686,4,0.005984289934027744,19,0.011767817165775516,17,0.009819869401553648,15,1.8865131449767425
27,0.2914830610475244,16,0.15600067127242023,30,0.005613599537776379,29,0.01175719707566046,7,0.00909183213347273,17,1.6890458333781377
40,0.286750223217222,30,0.10690027465511388,27,0.005304901564852924,22,0.01122241033996281,34,0.009003905396256558,36,1.6731084572540096
19,0.2815500970963675,12,0.09838970894311863,2,0.0034929805657599737,25,0.009433014651636111,25,0.007835375526480658,34,1.2736392951560311
35,0.2669008502280209,13,0.08452005210981393,12,0.0029782053940863758,27,0.00922395342222466,2,0.007453863596594528,25,1.1220981272321013
34,0.26502213700143923,2,0.0615689826273835,9,0.0028523329323343364,13,0.009072575278038009,10,0.0061956476749655785,38,0.9097709832502971
25,0.21484519501972005,9,0.06130695286491818,19,0.0023712801547228213,2,0.008143580030433233,39,0.006032887377012579,39,0.8856733581270305
2,0.18349741571174785,32,0.050478356993699465,29,0.0021161200360080555,39,0.0073067304331792095,38,0.005371649888606375,10,0.8832742784636289
39,0.15214360089923423,29,0.04556213681822286,13,0.0018892010887547684,35,0.005480562507410533,16,0.004682085878507105,16,0.7419166682187048
3,0.10603540095078884,19,0.045420617671649406,32,0.001739237046137941,3,0.004885596199933243,30,0.0017635096119137969,30,0.302634838168647
37,0.0790587465507458,26,0.004448075820597148,26,0.0001208965505987696,37,0.0030963759110796585,37,0.001258834150312917,37,0.23006880992744483
30,0.04796679353976651,10,0.0010277794818369314,10,4.83500929901977e-05,30,0.001415570721569828,3,0.0011367976987466627,3,0.20692839725170276
28,0.0,31,0.0,28,0.0,28,0.0,28,0.0,31,0.0
31,0.0,28,0.0,31,0.0,31,0.0,31,0.0,28,0.0
