,Agricultura y forestal,Carne y derivados,Finanzas y seguros,Otros servicios
Argentina,0.325927734375,0.3238525390625,0.3887176513671875,0.3698272705078125
Bolivia,0.355682373046875,0.3574066162109375,0.3567657470703125,0.3530120849609375
Brasil,0.279754638671875,0.334228515625,0.33074951171875,0.326751708984375
Chile,0.3148956298828125,0.337738037109375,0.3328857421875,0.3346710205078125
Colombia,0.3440093994140625,0.343475341796875,0.3992156982421875,0.367095947265625
Ecuador,0.303497314453125,0.3100128173828125,0.34747314453125,0.337890625
Paraguay,0.26641845703125,0.2772369384765625,0.3726806640625,0.310089111328125
Peru,0.2993316650390625,0.2979736328125,0.343536376953125,0.305267333984375
Sudamerica,0.277862548828125,0.296783447265625,0.3402099609375,0.31512451171875
Uruguay,0.28375244140625,0.2924346923828125,0.3476104736328125,0.341094970703125
Venezuela,0.345703125,0.3454437255859375,0.3333282470703125,0.33056640625
