Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otros servicios,29837.5546354985,Otros servicios,66032.07500045671,Otros servicios,95869.6296359552,Construcción,2814.311161250171,Otros productos alimenticios,10301.2033157808,Otros servicios,63321.4776000977
Agricultura y forestal,17388.0745450957,Construcción,22872.52018758152,Construcción,28617.7993598505,Otros servicios,2038.019269082157,Agricultura y forestal,5409.57238270712,Agricultura y forestal,14753.5988121033
Transporte,13020.6846541915,Otros productos alimenticios,14588.99080773896,Agricultura y forestal,24128.5837112061,"Vehículos de motor, remolques y semirremolques",1099.951032046581,"Coque, petróleo refinado y combustible nuclear",4379.74584938939,Construcción,10937.6398925781
Servicios a empresas de todo tipo,8517.34523475102,Transporte,9396.370376429824,Transporte,22417.0550306213,Productos químicos básicos,1035.060925444153,"Vehículos de motor, remolques y semirremolques",2844.77211725323,Transporte,10198.0111408234
Minería (energía),7437.85500566288,Agricultura y forestal,6740.50916611037,Otros productos alimenticios,16768.2226645689,"Pulpa de madera, papel, imprentas y editoriales",1034.87614427404,Productos químicos básicos,1513.27225659877,Minería (energía),7983.45018959045
Construcción,5745.27917226901,"Coque, petróleo refinado y combustible nuclear",6091.31021705616,Minería (energía),10999.7603053371,Otros productos químicos (excluye farmacéuticos),1022.934057299296,Carne y derivados,1490.04432285484,Servicios a empresas de todo tipo,6302.16554450989
Hierro y acero,5219.98489364695,"Vehículos de motor, remolques y semirremolques",5928.222064208842,Servicios a empresas de todo tipo,9790.86288011426,Agricultura y forestal,911.014438342307,Hierro y acero,1387.50046174495,Otros productos alimenticios,4861.68670654297
Finanzas y seguros,4481.02580671544,Carne y derivados,4954.636596465358,"Coque, petróleo refinado y combustible nuclear",9764.10804352811,Transporte,906.072673267099,Otros productos químicos (excluye farmacéuticos),1308.35448907405,"Vehículos de motor, remolques y semirremolques",4230.87843322754
"Pulpa de madera, papel, imprentas y editoriales",4405.88020805454,Otros productos químicos (excluye farmacéuticos),3844.169504581868,"Vehículos de motor, remolques y semirremolques",8540.9884602431,Hierro y acero,897.1797175081131,Minería (no energía),1255.32503340081,Correo y telecomunicaciones,4182.31250667572
Correo y telecomunicaciones,4340.53983343602,Correo y telecomunicaciones,3749.5823900806736,Correo y telecomunicaciones,8090.12222351669,Maquinarias y equipos (excluye maquinaria eléctrica),885.8508625989839,Minería (energía),1245.17474915152,Finanzas y seguros,3875.52326703072
Electricidad y gas,4234.44008121975,Maquinarias y equipos (excluye maquinaria eléctrica),3726.835837265446,Finanzas y seguros,7902.24822198723,Productos de caucho y plástico,848.847805878484,Transporte,1179.2686753767,Hierro y acero,3158.32295799255
Productos químicos básicos,3991.09327907652,"Molinería, panadería y pastas",3672.689767769015,"Pulpa de madera, papel, imprentas y editoriales",6833.37306350812,"Coque, petróleo refinado y combustible nuclear",556.931519934619,Electricidad y gas,1040.67428922468,Otros productos químicos (excluye farmacéuticos),2629.64065170288
"Coque, petróleo refinado y combustible nuclear",3672.79782647196,Minería (energía),3561.905299674203,Otros productos químicos (excluye farmacéuticos),6743.37340881611,Otros productos alimenticios,525.018226522544,Calzado,891.799560266086,Productos químicos básicos,2494.10551643372
