Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otros servicios,9831.85,Otros servicios,26640.907699309188,Otros servicios,36472.75769930919,"Coque, petróleo refinado y combustible nuclear",1912.678748033348,Minería (no energía),9404.500044220167,Otros servicios,24138.45933532715
Transporte,4676.12,Minería (no energía),11331.7571467559,Minería (no energía),14278.1471467559,Otros servicios,941.629294021049,Metales no ferrosos,4702.434617614101,Minería (no energía),9929.519804954529
Agricultura y forestal,4251.3,Construcción,7253.656737376143,Transporte,8178.568957638659,Transporte,632.7820003245474,Otros productos alimenticios,2248.1360511901976,Agricultura y forestal,4402.220100104809
Servicios a empresas de todo tipo,3668.92,Metales no ferrosos,4608.911716924756,Construcción,7824.436737376142,Productos de caucho y plástico,583.6463892815916,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1334.3142956197855,Construcción,3612.620024204254
Minería (no energía),2946.3899999999994,Otros productos alimenticios,4186.209556957641,Agricultura y forestal,6282.63688010948,Minería (no energía),533.0165678152487,Madera y productos de madera y corcho,1309.2330649488729,Transporte,3533.24991607666
"Coque, petróleo refinado y combustible nuclear",2410.86,Transporte,3502.448957638658,Servicios a empresas de todo tipo,5922.658882790204,Construcción,514.4839631780346,Confecciones,1016.6807950031246,Servicios a empresas de todo tipo,3283.4099464416504
Finanzas y seguros,2177.38,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),2269.4493030860804,Metales no ferrosos,5528.461716924756,Otros productos alimenticios,465.6482731500736,"Coque, petróleo refinado y combustible nuclear",782.4358747483142,Metales no ferrosos,2155.43998670578
Minería (energía),1628.35,Servicios a empresas de todo tipo,2253.738882790204,Otros productos alimenticios,5255.329556957641,Agricultura y forestal,410.4370591645616,Otros servicios,669.1833628901113,Finanzas y seguros,2124.899968147278
"Pulpa de madera, papel, imprentas y editoriales",1416.7899999999995,Confecciones,2191.1152928386014,"Coque, petróleo refinado y combustible nuclear",3640.678136814644,"Molinería, panadería y pastas",329.299470292108,Transporte,467.6108572943381,Correo y telecomunicaciones,1591.620002746582
Productos minerales no metálicos,1343.88,Agricultura y forestal,2031.3368801094807,Finanzas y seguros,3219.660853070473,Productos fabricados de metal (excepto maquinarias y equipos),311.69816221877807,Agricultura y forestal,431.7372257700857,Minería (energía),1525.7500095367432
Electricidad y gas,1317.1800000000003,"Molinería, panadería y pastas",1941.518255113748,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),3132.80930308608,"Pulpa de madera, papel, imprentas y editoriales",307.08033791461844,Textiles,411.4991721871262,Otros productos alimenticios,1460.9400024414062
Textiles,1309.25,Correo y telecomunicaciones,1786.0839860235928,Correo y telecomunicaciones,3083.1039860235924,Otros productos químicos (excluye farmacéuticos),300.71548936527034,Minería (energía),281.46706436061976,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1403.7800085395577
