Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Servicios a empresas de todo tipo,172255.75585447185,Otros servicios,588853.5317537549,Otros servicios,727883.1722993365,Otros servicios,12973.017577348508,Minería (energía),51396.50676231698,Otros servicios,495912.2270967364
Otros servicios,139029.6405455816,Construcción,142298.81516993494,Servicios a empresas de todo tipo,309699.10199162306,"Coque, petróleo refinado y combustible nuclear",11326.175007928354,Minería (no energía),35458.77429055984,Servicios a empresas de todo tipo,212627.9810601473
Agricultura y forestal,101350.33257849756,Servicios a empresas de todo tipo,137443.34613715118,Construcción,166500.59874636235,"Vehículos de motor, remolques y semirremolques",8622.742946592281,Otros productos alimenticios,22993.941513215887,Agricultura y forestal,88322.82601290941
Transporte,87956.13430472082,Otros productos alimenticios,74231.43412053245,Transporte,154893.80141311826,Productos químicos básicos,6568.84012744117,"Coque, petróleo refinado y combustible nuclear",20913.207698591417,Construcción,85373.41242676692
Finanzas y seguros,68340.61683369195,Transporte,66937.66710839742,Agricultura y forestal,151269.5324666594,Transporte,6239.970594788024,Agricultura y forestal,17262.899671710336,Finanzas y seguros,78802.29581284523
Minería (energía),59984.26616504845,Minería (energía),58823.92149464765,Finanzas y seguros,120272.8972665685,Minería (energía),6086.636626318007,Hierro y acero,12983.84609905675,Minería (energía),78145.68273472784
Electricidad y gas,57035.6513235711,Finanzas y seguros,51932.28043287654,Minería (energía),118808.18765969612,Servicios a empresas de todo tipo,5954.521354995304,Servicios a empresas de todo tipo,12075.562851309776,Transporte,76505.53326797484
"Coque, petróleo refinado y combustible nuclear",53252.756716204654,Agricultura y forestal,49919.19988816186,Otros productos alimenticios,109658.9747913466,Construcción,5738.586137317672,"Vehículos de motor, remolques y semirremolques",9683.688509214604,Electricidad y gas,40569.532851934426
Productos químicos básicos,42059.71923257375,"Vehículos de motor, remolques y semirremolques",46272.496567178976,"Coque, petróleo refinado y combustible nuclear",92930.90448120196,Otros productos químicos (excluye farmacéuticos),5238.727563194543,Metales no ferrosos,9355.64560767274,Minería (no energía),37763.66702076793
Hierro y acero,37478.82979313445,"Coque, petróleo refinado y combustible nuclear",39678.14776499732,Electricidad y gas,77902.93407837028,Hierro y acero,4504.724835685254,Carne y derivados,9277.93388133386,Otros productos alimenticios,28347.50891911984
Otros productos químicos (excluye farmacéuticos),37222.85136645658,Carne y derivados,38850.8057479402,"Vehículos de motor, remolques y semirremolques",71945.58888911658,"Radio, televisión y equipos de telecomunicaciones",4120.500853518739,Otros servicios,8238.31116449833,Correo y telecomunicaciones,19679.006157159813
"Pulpa de madera, papel, imprentas y editoriales",35922.50834789625,Minería (no energía),38068.87333918194,Minería (no energía),58189.67961602836,Productos de caucho y plástico,3900.6710011666273,Transporte,7262.902841567988,"Pulpa de madera, papel, imprentas y editoriales",19084.651078790423
Otros productos alimenticios,35427.54067081415,Maquinarias y equipos (excluye maquinaria eléctrica),28849.51028919849,Otros productos químicos (excluye farmacéuticos),56112.99667475541,Maquinarias y equipos (excluye maquinaria eléctrica),3803.066768982745,Madera y productos de madera y corcho,6352.922218916009,"Coque, petróleo refinado y combustible nuclear",17980.44593107701
Productos de caucho y plástico,30790.991937524475,Electricidad y gas,20867.282754799195,"Pulpa de madera, papel, imprentas y editoriales",52877.13791518357,"Pulpa de madera, papel, imprentas y editoriales",3171.3607613671256,Maquinarias y equipos (excluye maquinaria eléctrica),5225.341479145689,Otros productos químicos (excluye farmacéuticos),17053.89844378829
"Vehículos de motor, remolques y semirremolques",25673.09232193761,Confecciones,20339.37067220241,Hierro y acero,52165.82572356739,Finanzas y seguros,3115.544867302872,Productos químicos básicos,5172.995542458879,Hierro y acero,16310.335647378106
Productos fabricados de metal (excepto maquinarias y equipos),25425.972770447697,Otros productos químicos (excluye farmacéuticos),18890.145308298837,Productos químicos básicos,50370.89381803069,Agricultura y forestal,2978.744851434248,"Pulpa de madera, papel, imprentas y editoriales",4356.943732691382,"Vehículos de motor, remolques y semirremolques",15284.340300425893
Construcción,24201.78357642741,Correo y telecomunicaciones,18452.140240045755,Carne y derivados,49588.05052786654,Electricidad y gas,2169.3425106385093,Azúcar y productos de confitería,4224.299497719854,Productos fabricados de metal (excepto maquinarias y equipos),14912.031527206307
Productos minerales no metálicos,22573.32172157293,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),17984.14361972205,Maquinarias y equipos (excluye maquinaria eléctrica),41681.97497853504,Productos farmacéuticos,2137.108054928237,Aeronaves y naves espaciales,4099.373968794936,Productos químicos básicos,13663.35355916619
Minería (no energía),20120.80627684641,"Molinería, panadería y pastas",17953.626542889477,Productos de caucho y plástico,37349.53224041788,Maquinarias y aparatos eléctricos,2046.3573987221505,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),3043.847216062083,Maquinarias y equipos (excluye maquinaria eléctrica),12529.93897800148
Correo y telecomunicaciones,17612.96683257179,"Pulpa de madera, papel, imprentas y editoriales",16954.629567287324,Correo y telecomunicaciones,36065.107072617546,Otros productos alimenticios,2038.3069631354197,Confecciones,2928.665161676232,Productos minerales no metálicos,10761.35222201049
Textiles,17086.199122918246,Bebidas,16621.932378846657,Productos fabricados de metal (excepto maquinarias y equipos),36008.06455945132,Equipos de oficina (incluye equipo computacional),1850.4115886629172,Otros productos químicos (excluye farmacéuticos),2657.287604603121,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),10607.763069882987
