Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Minería (energía),11197.86716345225,Otros servicios,41120.63716047384,Otros servicios,49318.23175631197,"Vehículos de motor, remolques y semirremolques",2106.615487225623,Minería (energía),35968.229247211595,Minería (energía),41689.62129211426
Otros servicios,8197.59459583814,Minería (energía),36809.83680253624,Minería (energía),48007.70396598849,Otros servicios,1609.921526862312,"Coque, petróleo refinado y combustible nuclear",11510.242477295817,Otros servicios,32419.6787109375
Servicios a empresas de todo tipo,7036.19478629647,Construcción,14181.17293648518,Construcción,15649.718596578055,"Coque, petróleo refinado y combustible nuclear",1456.2746508915843,Hierro y acero,2168.4349718337003,Servicios a empresas de todo tipo,9453.738403320312
Agricultura y forestal,5338.946332101379,"Coque, petróleo refinado y combustible nuclear",13652.06381180936,"Coque, petróleo refinado y combustible nuclear",14448.256345536636,Construcción,1051.1882653640744,Metales no ferrosos,1255.1715963915246,Construcción,9266.87580871582
Transporte,3604.354402713779,Servicios a empresas de todo tipo,5316.896162873012,Servicios a empresas de todo tipo,12353.090949169482,Correo y telecomunicaciones,708.6576503806577,Productos químicos básicos,1183.9171164749555,Agricultura y forestal,4814.523765563965
Finanzas y seguros,3582.0676995152203,Transporte,4519.29808295762,Agricultura y forestal,9223.437210831164,Servicios a empresas de todo tipo,662.1337211575479,"Vehículos de motor, remolques y semirremolques",418.9638529990291,Transporte,4018.282539367676
Otros productos alimenticios,2191.7040943898646,"Molinería, panadería y pastas",3926.396142996217,Transporte,8123.652485671399,Minería (energía),646.7256537661497,Minería (no energía),380.4092399189285,Correo y telecomunicaciones,3574.898147583008
"Pulpa de madera, papel, imprentas y editoriales",2041.1718644816972,Agricultura y forestal,3884.490878729786,"Molinería, panadería y pastas",5173.009445012342,Otros productos alimenticios,631.6057078315914,Productos fabricados de metal (excepto maquinarias y equipos),256.19600778756563,"Coque, petróleo refinado y combustible nuclear",2316.3043518066406
Electricidad y gas,1944.5991793527687,Correo y telecomunicaciones,3606.227624166556,Correo y telecomunicaciones,4950.209248363766,"Pulpa de madera, papel, imprentas y editoriales",605.2835999860156,Productos minerales no metálicos,187.0313486915869,Finanzas y seguros,2315.0525970458984
Productos químicos básicos,1887.542605071559,Carne y derivados,3164.9702980297016,Finanzas y seguros,4770.36325107674,Finanzas y seguros,530.9209065063696,Productos de caucho y plástico,147.63313411209506,"Molinería, panadería y pastas",2134.348617553711
Hierro y acero,1793.563449620727,Hierro y acero,2740.928425270943,Hierro y acero,4534.49187489167,Otros productos químicos (excluye farmacéuticos),484.4836384418263,Otro equipo de transporte,143.66835205661167,"Pulpa de madera, papel, imprentas y editoriales",2033.036922454834
Productos minerales no metálicos,1494.6857069744417,"Vehículos de motor, remolques y semirremolques",2472.862046865733,Carne y derivados,4497.249310607285,Hierro y acero,460.3457235368078,Otros productos químicos (excluye farmacéuticos),130.87265235392215,Hierro y acero,2013.2014083862305
Productos fabricados de metal (excepto maquinarias y equipos),1493.5630936960874,"Pulpa de madera, papel, imprentas y editoriales",2202.888360907011,"Pulpa de madera, papel, imprentas y editoriales",4244.060225388708,"Molinería, panadería y pastas",382.7799775140052,Otros productos alimenticios,121.16639916586595,Electricidad y gas,1798.5922222137451
Construcción,1468.5456600928767,Otros productos alimenticios,1911.4485365234696,Otros productos alimenticios,4103.152630913334,Agricultura y forestal,375.5345048126858,Productos de tabaco,116.78439251721228,Productos químicos básicos,1350.2741012573242
Otros productos químicos (excluye farmacéuticos),1405.7963324605644,Metales no ferrosos,1298.6614575932017,"Vehículos de motor, remolques y semirremolques",3129.252652289478,Productos químicos básicos,280.48170793127343,Maquinarias y aparatos eléctricos,93.1185567708442,Otros productos alimenticios,1315.2447891235352
Correo y telecomunicaciones,1343.9816241972103,Finanzas y seguros,1188.2955515615197,Productos químicos básicos,3008.931575819336,Textiles,275.4105447816017,Maquinarias y equipos (excluye maquinaria eléctrica),86.69145653342838,Bebidas,1080.0824279785156
Carne y derivados,1332.279012577584,Productos farmacéuticos,1141.7695004479056,Electricidad y gas,2575.097243063586,Maquinarias y equipos (excluye maquinaria eléctrica),275.3478530609036,Bebidas,84.5053399057209,Productos fabricados de metal (excepto maquinarias y equipos),949.6739540100098
"Molinería, panadería y pastas",1246.6133020161246,Productos químicos básicos,1121.388970747777,Productos fabricados de metal (excepto maquinarias y equipos),2393.231314992476,Bebidas,264.1644309670626,"Molinería, panadería y pastas",51.05509049341411,Otros productos químicos (excluye farmacéuticos),944.442440032959
Productos de caucho y plástico,1236.3567374796758,Bebidas,1083.8030145949372,Bebidas,2276.6249166957014,Transporte,263.8046032195348,Madera y productos de madera y corcho,48.10349610099184,Minería (no energía),902.4276428222656
