In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.6350829134338352,Agricultura y forestal,1.941282251843589,Agricultura y forestal,0.4068725166185624,Carne y derivados,0.177510513234723,Otros servicios,0.07461141161133619,"Molinería, panadería y pastas",11.152421492159252
Hierro y acero,0.6178539422105049,Minería (no energía),1.2381874367786694,Minería (no energía),0.17024868672871912,Otros productos alimenticios,0.1335943256058646,Bebidas,0.05167662700884121,Calzado,6.371608202556448
Otros productos alimenticios,0.6009958795859813,Minería (energía),1.1463860276557047,Transporte,0.07724638373480305,"Molinería, panadería y pastas",0.09948215106055631,Otros productos alimenticios,0.041951426892864865,Otros servicios,5.5540201714569415
"Molinería, panadería y pastas",0.5775421478189747,Transporte,0.962201724580136,Minería (energía),0.05882474536819594,Hierro y acero,0.07934572049962078,Azúcar y productos de confitería,0.03670377968431951,Bebidas,4.649289233986428
Metales no ferrosos,0.5608445227010548,Otros servicios,0.7055375852834882,Madera y productos de madera y corcho,0.04107879760233244,Metales no ferrosos,0.07202448621234116,Productos de caucho y plástico,0.03456389987349979,Madera y productos de madera y corcho,4.555837899632804
Madera y productos de madera y corcho,0.5483104616796889,Productos minerales no metálicos,0.6339419989095125,"Molinería, panadería y pastas",0.035020886867221074,Madera y productos de madera y corcho,0.07110121177530125,Construcción,0.031422359941238535,Otros productos alimenticios,3.63267413639666
Azúcar y productos de confitería,0.4930048897720284,Servicios a empresas de todo tipo,0.6151467586204751,Otros servicios,0.026340344087104443,Azúcar y productos de confitería,0.043587043287472337,"Molinería, panadería y pastas",0.029975572985808992,Azúcar y productos de confitería,3.5367304288394874
Bebidas,0.45907901276699425,"Coque, petróleo refinado y combustible nuclear",0.399403502164469,Productos minerales no metálicos,0.02345183841260894,Agricultura y forestal,0.039820734053785736,Productos farmacéuticos,0.025856830735018245,Productos de caucho y plástico,2.6958341430964956
"Coque, petróleo refinado y combustible nuclear",0.449753788422783,Electricidad y gas,0.3718677753261804,Electricidad y gas,0.023233775640098108,Productos de tabaco,0.025835836444358523,Calzado,0.025757259553913763,Construcción,2.307066666489819
Construcción,0.42893942018581394,Metales no ferrosos,0.35890794062286174,"Coque, petróleo refinado y combustible nuclear",0.018096181182261896,Construcción,0.0243188017400849,Servicios a empresas de todo tipo,0.02456040257510304,Productos farmacéuticos,2.0896202146958682
Productos minerales no metálicos,0.39842985684101856,Madera y productos de madera y corcho,0.3460357281327286,Servicios a empresas de todo tipo,0.017792837764124894,Productos minerales no metálicos,0.02293864710903497,Finanzas y seguros,0.02443480651500759,Correo y telecomunicaciones,2.0325338566549487
Correo y telecomunicaciones,0.385161515037516,Textiles,0.28864918030340375,Textiles,0.014282557972856281,Bebidas,0.022767872141932356,Productos fabricados de metal (excepto maquinarias y equipos),0.024108379260449134,Servicios a empresas de todo tipo,1.9911681134354273
Minería (energía),0.3649976213723195,Correo y telecomunicaciones,0.28714778831838045,Finanzas y seguros,0.010951219650629273,"Coque, petróleo refinado y combustible nuclear",0.020214578583096637,Transporte,0.02394516459772693,Textiles,1.901768390225119
Productos de caucho y plástico,0.2728501197861672,"Pulpa de madera, papel, imprentas y editoriales",0.22222394566410106,Correo y telecomunicaciones,0.009842449872074638,Productos de caucho y plástico,0.015787938215291994,Correo y telecomunicaciones,0.022306365437996092,Finanzas y seguros,1.7791249707222605
