In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Productos de tabaco,0.7522434221425376,Agricultura y forestal,2.577171061627143,Agricultura y forestal,0.30769788562295564,Productos de tabaco,0.09734114709375416,Confecciones,0.004150996288860817,Productos de tabaco,450.00706886041075
"Molinería, panadería y pastas",0.7434550048355277,Otros servicios,1.914567882641796,Otros productos alimenticios,0.08330563383146464,"Molinería, panadería y pastas",0.08517188527272841,Calzado,0.004095722866907662,Calzado,123.660693534595
Bebidas,0.7402163255594847,Servicios a empresas de todo tipo,1.8345694750866757,Otros servicios,0.07817355269378772,Bebidas,0.08461545468701027,Servicios a empresas de todo tipo,0.003031018212591579,Confecciones,31.564809087215256
Azúcar y productos de confitería,0.7346448402414584,Transporte,1.3888806853738842,Transporte,0.06310395332313418,Azúcar y productos de confitería,0.08439238599051632,Carne y derivados,0.0029788361792703498,Aeronaves y naves espaciales,17.299748243773656
Otros productos alimenticios,0.724697491446428,Electricidad y gas,1.0864555853756388,Servicios a empresas de todo tipo,0.05607800352444226,Otros productos alimenticios,0.08190044175470912,Bebidas,0.002697659964733717,Otro equipo de transporte,17.299747883511294
Carne y derivados,0.7158478245268108,"Coque, petróleo refinado y combustible nuclear",1.0509327963282427,Electricidad y gas,0.03704778220822969,Carne y derivados,0.08050046571607057,Transporte,0.0024072049846661364,Equipos de oficina (incluye equipo computacional),3.9154872235181744
"Vehículos de motor, remolques y semirremolques",0.6896480503250005,Hierro y acero,0.9760530417760522,Otros productos químicos (excluye farmacéuticos),0.029159151019058166,Caza y pesca,0.0387314504992165,Correo y telecomunicaciones,0.0023849335470359874,"Vehículos de motor, remolques y semirremolques",2.4733944464856084
"Coque, petróleo refinado y combustible nuclear",0.6585254704945783,Otros productos químicos (excluye farmacéuticos),0.9758821687972812,"Coque, petróleo refinado y combustible nuclear",0.02859274975817612,Madera y productos de madera y corcho,0.03393765102065347,Productos de tabaco,0.002337205333581027,"Molinería, panadería y pastas",2.4442509742217484
Calzado,0.6276153464739319,Finanzas y seguros,0.8665066252359699,Finanzas y seguros,0.028551445124309384,Agricultura y forestal,0.02828907795383445,Equipos de oficina (incluye equipo computacional),0.0022468658392675745,Bebidas,2.4251317266800076
Otros productos químicos (excluye farmacéuticos),0.6057194796161568,Otros productos alimenticios,0.7930078081511758,Productos químicos básicos,0.026533891039214965,Otros productos químicos (excluye farmacéuticos),0.02766609846775057,Otros servicios,0.002213852006055217,Azúcar y productos de confitería,2.382271809942522
Maquinarias y equipos (excluye maquinaria eléctrica),0.5998949160157804,Productos fabricados de metal (excepto maquinarias y equipos),0.7564498664288739,"Pulpa de madera, papel, imprentas y editoriales",0.025889446291192213,Textiles,0.026205207648946426,Otros productos alimenticios,0.0022068495692567957,Otros productos alimenticios,2.344071991074506
Productos de caucho y plástico,0.5991515895116087,Productos químicos básicos,0.7457427693469297,Productos fabricados de metal (excepto maquinarias y equipos),0.022918544907699852,"Pulpa de madera, papel, imprentas y editoriales",0.022061780275517227,Maquinarias y equipos (excluye maquinaria eléctrica),0.0021983524205074043,Carne y derivados,2.315828429362342
Aeronaves y naves espaciales,0.5839947678487026,Productos de caucho y plástico,0.6321506743395502,Productos de caucho y plástico,0.022069202542329212,Productos de caucho y plástico,0.015038053116181485,"Molinería, panadería y pastas",0.002152314077939999,Equipo médico e instrumentos ópticos y de precisión,2.189579991954003
Otro equipo de transporte,0.5839947519202909,Textiles,0.5898172130960847,Textiles,0.02183861959565331,Productos químicos básicos,0.014508985547014972,Azúcar y productos de confitería,0.0021518303796876233,Servicios a empresas de todo tipo,2.171660608923759
Madera y productos de madera y corcho,0.5784502899594031,"Pulpa de madera, papel, imprentas y editoriales",0.5362749361458012,Azúcar y productos de confitería,0.021007854098227353,Productos minerales no metálicos,0.013291212727755387,Aeronaves y naves espaciales,0.001965037280967135,"Radio, televisión y equipos de telecomunicaciones",1.8202358260841947
Hierro y acero,0.5761633354385927,Minería (energía),0.5013458948564246,Hierro y acero,0.017488226551274584,"Vehículos de motor, remolques y semirremolques",0.012879933198810478,Otro equipo de transporte,0.0019650372605492894,Correo y telecomunicaciones,1.7215708342640923
Maquinarias y aparatos eléctricos,0.5749482003261293,Maquinarias y aparatos eléctricos,0.4421080765011598,Carne y derivados,0.016738405113356496,Minería (no energía),0.01283320730472354,Maquinarias y aparatos eléctricos,0.0018203626896542017,Transporte,1.7121681435563298
Productos químicos básicos,0.5713365405408072,"Vehículos de motor, remolques y semirremolques",0.3891609067018718,Madera y productos de madera y corcho,0.015271843457702267,Minería (energía),0.012746634378008896,"Coque, petróleo refinado y combustible nuclear",0.0017813933289910892,Maquinarias y equipos (excluye maquinaria eléctrica),1.7008423976953937
Productos minerales no metálicos,0.5643989780520291,Madera y productos de madera y corcho,0.37596765009387495,Maquinarias y equipos (excluye maquinaria eléctrica),0.010130183286838115,"Radio, televisión y equipos de telecomunicaciones",0.012706957365460857,"Radio, televisión y equipos de telecomunicaciones",0.0016930474553255716,Maquinarias y aparatos eléctricos,1.6639588289740803
"Radio, televisión y equipos de telecomunicaciones",0.5574964388314612,Minería (no energía),0.37301903520627255,Maquinarias y aparatos eléctricos,0.009357235187830116,Correo y telecomunicaciones,0.012390324057388165,"Pulpa de madera, papel, imprentas y editoriales",0.001536483047431849,Otros servicios,1.5889190914530211
Confecciones,0.5473324011444551,Otro equipo de transporte,0.33904911332296045,"Molinería, panadería y pastas",0.008568863309403377,Transporte,0.012333466147428269,Caza y pesca,0.0015089173670554967,"Coque, petróleo refinado y combustible nuclear",1.4498780422913873
"Pulpa de madera, papel, imprentas y editoriales",0.5312303404026602,Productos minerales no metálicos,0.29862876036342534,Minería (no energía),0.008364652530483276,Electricidad y gas,0.012026731523191643,Minería (energía),0.0014929624961658788,"Pulpa de madera, papel, imprentas y editoriales",1.2828820799401797
Minería (no energía),0.5245783676529848,Maquinarias y equipos (excluye maquinaria eléctrica),0.2951148000431515,"Vehículos de motor, remolques y semirremolques",0.008126392722635515,Confecciones,0.011867127370628339,"Vehículos de motor, remolques y semirremolques",0.0014538112340557192,Minería (no energía),1.238256923737723
Productos fabricados de metal (excepto maquinarias y equipos),0.5182120756047419,Carne y derivados,0.25778124260293583,Productos de tabaco,0.00753344913424253,Maquinarias y aparatos eléctricos,0.011608771069596137,Hierro y acero,0.0013717373991979432,Construcción,1.223731805289156
Textiles,0.5172198546006685,Confecciones,0.24676177252930465,Minería (energía),0.007010979959717894,Hierro y acero,0.011577305478042494,Construcción,0.0013468721198724451,Minería (energía),1.1935268502525311
Metales no ferrosos,0.5045195216660637,Metales no ferrosos,0.18921011400245266,Productos minerales no metálicos,0.006505267882100316,Productos farmacéuticos,0.011510817719446686,Otros productos químicos (excluye farmacéuticos),0.0013372227842926335,Caza y pesca,1.1859640641074816
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.48746174382758045,"Radio, televisión y equipos de telecomunicaciones",0.1846803723016016,Otro equipo de transporte,0.005541351657204822,Maquinarias y equipos (excluye maquinaria eléctrica),0.011213574807329214,Productos fabricados de metal (excepto maquinarias y equipos),0.0013308119934148433,Productos minerales no metálicos,1.184721645262963
Minería (energía),0.475319458590262,Azúcar y productos de confitería,0.1681379176243567,Confecciones,0.004286593889573126,Metales no ferrosos,0.0111008897743698,Minería (no energía),0.0013293014231869754,Hierro y acero,1.1786383451792783
Caza y pesca,0.46699077030706204,Construcción,0.09816698235323715,Bebidas,0.003628282603934441,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.011041798431166169,Productos de caucho y plástico,0.0013162497890965776,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),1.1461712364856864
Correo y telecomunicaciones,0.4401712302321513,Correo y telecomunicaciones,0.08753691223508103,Metales no ferrosos,0.0035644849816917307,Calzado,0.01058239647644195,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.0012863034887415504,Productos fabricados de metal (excepto maquinarias y equipos),1.0588007614315709
Transporte,0.43787797590183253,"Molinería, panadería y pastas",0.06588381907577838,"Radio, televisión y equipos de telecomunicaciones",0.0033089660455039183,Equipos de oficina (incluye equipo computacional),0.010468271898693877,Productos farmacéuticos,0.0011990846352889118,Otros productos químicos (excluye farmacéuticos),1.04063352958927
Equipos de oficina (incluye equipo computacional),0.42194294396939397,Equipo médico e instrumentos ópticos y de precisión,0.06301711933957849,Productos farmacéuticos,0.003186268608375061,Aeronaves y naves espaciales,0.010160254966307342,Equipo médico e instrumentos ópticos y de precisión,0.0011810016275439073,Madera y productos de madera y corcho,1.0260550420391976
Electricidad y gas,0.4112682560759915,Productos farmacéuticos,0.06090483074415623,Correo y telecomunicaciones,0.001957570875512766,Otro equipo de transporte,0.010160254683514386,Productos minerales no metálicos,0.0011758336756841445,Productos de caucho y plástico,1.01078344180558
Agricultura y forestal,0.41003164363735456,Aeronaves y naves espaciales,0.059832195208826836,Construcción,0.001948505741511258,Productos fabricados de metal (excepto maquinarias y equipos),0.009827356504837131,Finanzas y seguros,0.0011750132942176487,Finanzas y seguros,0.933734950977898
Productos farmacéuticos,0.387443035742189,Calzado,0.05790330407260466,Caza y pesca,0.0014798013342465287,Otros servicios,0.009175482544572774,Agricultura y forestal,0.0011126649721217375,Metales no ferrosos,0.8859472101409038
Construcción,0.3688679587704792,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.05352880332438708,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.001150559472065702,Servicios a empresas de todo tipo,0.008384911248887931,Metales no ferrosos,0.001095885625792604,Productos químicos básicos,0.8610878042362731
Equipo médico e instrumentos ópticos y de precisión,0.33781684816681457,Bebidas,0.0516845067360602,Calzado,0.0010017204027362116,Finanzas y seguros,0.008203285726704297,Productos químicos básicos,0.0010797165606531594,Productos farmacéuticos,0.8464180225863727
Otros servicios,0.30254997940244555,Productos de tabaco,0.04849083079091258,Aeronaves y naves espaciales,0.0009778855655044954,"Coque, petróleo refinado y combustible nuclear",0.00789223618089248,Textiles,0.0007208646864875992,Agricultura y forestal,0.7264107130784254
Finanzas y seguros,0.2948713358786008,Caza y pesca,0.01150213564705059,Equipo médico e instrumentos ópticos y de precisión,0.000865216800012494,Equipo médico e instrumentos ópticos y de precisión,0.006849311039717935,Electricidad y gas,0.0006243079617252936,Textiles,0.6932693142910281
Servicios a empresas de todo tipo,0.2777763197650723,Equipos de oficina (incluye equipo computacional),0.0020454400169634956,Equipos de oficina (incluye equipo computacional),3.95773066683772e-05,Construcción,0.006807402332180093,Madera y productos de madera y corcho,0.0005792317315191311,Electricidad y gas,0.5326368935567046
