In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.9169582195173792,Otros servicios,3.13088005953078,Agricultura y forestal,0.3301120431372605,Carne y derivados,0.155289891714051,Construcción,0.02331317714775322,Aeronaves y naves espaciales,52.36447080731413
Aeronaves y naves espaciales,0.7487865386612055,Agricultura y forestal,2.115199325289748,Otros servicios,0.16592939060269074,Otros productos alimenticios,0.07572386365345463,Otros servicios,0.02322809938570375,Otro equipo de transporte,7.637869160191583
Hierro y acero,0.6969039114309193,Servicios a empresas de todo tipo,2.0230507882587996,Servicios a empresas de todo tipo,0.0894874236307483,Azúcar y productos de confitería,0.0725010213653082,Madera y productos de madera y corcho,0.021835986589826897,"Vehículos de motor, remolques y semirremolques",7.458113566110073
Otros productos alimenticios,0.6808474087863701,Transporte,1.3396016867793041,Transporte,0.05554443522259211,"Molinería, panadería y pastas",0.06123907162638755,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.021164908040774262,Caza y pesca,6.2661836204936465
Otros productos químicos (excluye farmacéuticos),0.665065475806715,Electricidad y gas,0.8202686885590831,Otros productos alimenticios,0.03410935728499385,Aeronaves y naves espaciales,0.06080832734931976,Bebidas,0.01668142571612042,Confecciones,5.935978923889752
Azúcar y productos de confitería,0.6580149163324889,Productos químicos básicos,0.7941468488247615,"Pulpa de madera, papel, imprentas y editoriales",0.03395740887643688,Productos de tabaco,0.05884865493122595,Productos fabricados de metal (excepto maquinarias y equipos),0.015151285042501282,Calzado,5.6214880673542105
"Molinería, panadería y pastas",0.6294503408858511,"Pulpa de madera, papel, imprentas y editoriales",0.7059204920916085,Electricidad y gas,0.028686030690521076,Madera y productos de madera y corcho,0.04643201625989777,"Vehículos de motor, remolques y semirremolques",0.014576793986993719,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),5.101041493990097
Madera y productos de madera y corcho,0.5852915211643277,Productos de caucho y plástico,0.6364985218490746,Productos químicos básicos,0.02724787024585772,Otros productos químicos (excluye farmacéuticos),0.02607542085031091,Otros productos químicos (excluye farmacéuticos),0.013936236321852454,Bebidas,4.952445222909299
Productos fabricados de metal (excepto maquinarias y equipos),0.5822690056565476,Finanzas y seguros,0.5930293007130418,Productos de caucho y plástico,0.027151804073665835,Textiles,0.025236810215976537,"Molinería, panadería y pastas",0.013900035826152481,"Molinería, panadería y pastas",4.888175117958194
