In degree weighted,In degree weighted,Out degree weighted,Out degree weighted,Hub,Hub,Authority,Authority,Random Walk Centrality,Random Walk Centrality,Counting Betweenness,Counting Betweenness
Sector,In degree weighted,Sector,Out degree weighted,Sector,Hub,Sector,Authority,Sector,Random Walk Centrality,Sector,Counting Betweenness
Carne y derivados,0.7451782967886016,Otros servicios,1.6486227839502117,Agricultura y forestal,0.3339857065065026,Carne y derivados,0.1884379884014964,Otros servicios,0.023386286496330944,Otro equipo de transporte,24.73819555509821
"Coque, petróleo refinado y combustible nuclear",0.7284459989054152,Agricultura y forestal,1.4470218642262764,Otros servicios,0.08309872751008288,Azúcar y productos de confitería,0.11605525888457358,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.023298271485100636,Calzado,16.32425711683666
Productos minerales no metálicos,0.5362912253286063,Servicios a empresas de todo tipo,1.2169204574046166,Carne y derivados,0.05541706366711877,Otros productos alimenticios,0.08125582004613287,Productos fabricados de metal (excepto maquinarias y equipos),0.022341344489345716,Equipos de oficina (incluye equipo computacional),13.631202244563385
Metales no ferrosos,0.5163263107437909,Productos químicos básicos,0.8776405442200407,Servicios a empresas de todo tipo,0.052017754522314275,"Molinería, panadería y pastas",0.0714028895971484,Bebidas,0.02151959326146268,Confecciones,6.1184238784580325
Otro equipo de transporte,0.5139985552891533,Transporte,0.7587807684327713,Transporte,0.04144575599036248,Agricultura y forestal,0.05214191578401246,Minería (no energía),0.020741030790992362,Carne y derivados,5.97322659570012
"Molinería, panadería y pastas",0.5060445191418401,Minería (energía),0.7433951605389695,Minería (energía),0.04066489587965452,Productos de tabaco,0.05024739067551165,Calzado,0.01962529985983735,Madera y productos de madera y corcho,4.354442330624615
Otros productos alimenticios,0.49981157506411267,Finanzas y seguros,0.688566268987126,Productos químicos básicos,0.03856801749366588,Madera y productos de madera y corcho,0.03847292785083617,Otros productos alimenticios,0.01957765672277162,Otros productos alimenticios,4.313623666420989
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.4985091602734207,Metales no ferrosos,0.6113178562343764,Otros productos alimenticios,0.03800117139200827,"Coque, petróleo refinado y combustible nuclear",0.03260208058289504,Productos minerales no metálicos,0.019575835743665667,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),4.055874798308249
Madera y productos de madera y corcho,0.4937890372306403,Productos fabricados de metal (excepto maquinarias y equipos),0.468254625301724,Finanzas y seguros,0.03206339547556034,Transporte,0.026231974221449843,Equipos de oficina (incluye equipo computacional),0.01957554164095573,"Molinería, panadería y pastas",3.970710070408107
Equipos de oficina (incluye equipo computacional),0.4866557817687469,"Pulpa de madera, papel, imprentas y editoriales",0.4625792786712669,"Molinería, panadería y pastas",0.02666680600797246,Productos químicos básicos,0.019519104922816062,Equipo médico e instrumentos ópticos y de precisión,0.01912532781247396,Caza y pesca,3.6905068325385817
Azúcar y productos de confitería,0.48639519228923717,Electricidad y gas,0.42401885836665754,Azúcar y productos de confitería,0.023234513927544328,Productos minerales no metálicos,0.01836519404307224,Confecciones,0.018908641631960568,Productos minerales no metálicos,3.498636203584554
Transporte,0.47520629084490856,Hierro y acero,0.4220786752605548,"Pulpa de madera, papel, imprentas y editoriales",0.021328552825388935,Finanzas y seguros,0.017052460666780567,Otro equipo de transporte,0.017493577339537516,Productos fabricados de metal (excepto maquinarias y equipos),3.300620098393711
Productos fabricados de metal (excepto maquinarias y equipos),0.4683644951539625,Textiles,0.39285625643785405,Electricidad y gas,0.021005958898288796,Otro equipo de transporte,0.016989782997819496,Agricultura y forestal,0.01615303648450998,Metales no ferrosos,3.196823928556412
Confecciones,0.45694283755184717,Otros productos alimenticios,0.36863197286688804,Productos fabricados de metal (excepto maquinarias y equipos),0.01733776695059958,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.016239469035321728,Construcción,0.015263145829166965,Otros servicios,3.1914338750199853
Productos químicos básicos,0.44367109280437483,Otros productos químicos (excluye farmacéuticos),0.3194378453281941,Productos de caucho y plástico,0.016615619313109873,Confecciones,0.01601175388283896,Metales no ferrosos,0.014935536105986712,Bebidas,3.0620521348422036
Hierro y acero,0.4188619964286709,Productos de caucho y plástico,0.30739374361436117,Metales no ferrosos,0.016194542143436765,Productos de caucho y plástico,0.015407151336641927,Otros productos químicos (excluye farmacéuticos),0.014417480015130067,Minería (no energía),3.022735750261776
Agricultura y forestal,0.4080841606876539,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.29585052693820046,Madera y productos de madera y corcho,0.015727100202201274,Textiles,0.014329913188495766,Productos de caucho y plástico,0.014060327055919322,Equipo médico e instrumentos ópticos y de precisión,2.948066220095962
Finanzas y seguros,0.37313230725698043,Productos minerales no metálicos,0.29259876564345483,Otros productos químicos (excluye farmacéuticos),0.014197504490886855,Bebidas,0.013809244861988689,"Molinería, panadería y pastas",0.013911731969643635,Hierro y acero,2.896378914972957
Bebidas,0.373109903640789,Madera y productos de madera y corcho,0.2784019538196515,Textiles,0.014046620782905882,Otros servicios,0.013624899578526216,Madera y productos de madera y corcho,0.013850045047469067,Agricultura y forestal,2.7371028832108064
Productos de caucho y plástico,0.3713044102132694,Correo y telecomunicaciones,0.22303641229583798,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),0.013339699497677793,Equipos de oficina (incluye equipo computacional),0.013526440287405841,Hierro y acero,0.01359629033172855,Construcción,2.6056477832956237
Equipo médico e instrumentos ópticos y de precisión,0.35687192997656403,"Molinería, panadería y pastas",0.2176873750051953,Hierro y acero,0.010326331925625558,"Pulpa de madera, papel, imprentas y editoriales",0.013463748977778066,Carne y derivados,0.012457351243231492,Productos farmacéuticos,2.4110186492433607
"Pulpa de madera, papel, imprentas y editoriales",0.3530289357533707,Minería (no energía),0.20703941414976276,Productos minerales no metálicos,0.00887951359808166,Productos fabricados de metal (excepto maquinarias y equipos),0.013169867903638392,Maquinarias y aparatos eléctricos,0.012352568756181983,Otros productos químicos (excluye farmacéuticos),2.2799644132052683
Textiles,0.34450651214708716,Maquinarias y aparatos eléctricos,0.19982273427770286,Correo y telecomunicaciones,0.008859354549256118,Minería (no energía),0.01280372234532084,"Pulpa de madera, papel, imprentas y editoriales",0.011207561468026454,Azúcar y productos de confitería,2.278758407583223
Productos de tabaco,0.33946966448463184,Carne y derivados,0.19264878496138899,Maquinarias y equipos (excluye maquinaria eléctrica),0.008488409884941256,Metales no ferrosos,0.012328082893227649,Transporte,0.011068690189342149,Maquinarias y aparatos eléctricos,1.9481097794163533
Otros productos químicos (excluye farmacéuticos),0.32150506778975485,Construcción,0.17962067284364436,"Coque, petróleo refinado y combustible nuclear",0.00712343924471366,Otros productos químicos (excluye farmacéuticos),0.011907085264377993,Textiles,0.010718041062313086,Productos de caucho y plástico,1.941426321187591
Calzado,0.30430082788224566,Maquinarias y equipos (excluye maquinaria eléctrica),0.17471186072587755,Construcción,0.006854382422048776,Electricidad y gas,0.011798448032990117,Productos farmacéuticos,0.010587140611737286,Textiles,1.9327687478469096
Minería (no energía),0.296058640013103,Azúcar y productos de confitería,0.15655917695397686,Minería (no energía),0.005984289934027744,Productos farmacéuticos,0.011767817165775516,Productos químicos básicos,0.009819869401553648,"Pulpa de madera, papel, imprentas y editoriales",1.8865131449767425
Maquinarias y aparatos eléctricos,0.2914830610475244,"Coque, petróleo refinado y combustible nuclear",0.15600067127242023,"Vehículos de motor, remolques y semirremolques",0.005613599537776379,Equipo médico e instrumentos ópticos y de precisión,0.01175719707566046,Azúcar y productos de confitería,0.00909183213347273,Productos químicos básicos,1.6890458333781377
Otros servicios,0.286750223217222,"Vehículos de motor, remolques y semirremolques",0.10690027465511388,Maquinarias y aparatos eléctricos,0.005304901564852924,Hierro y acero,0.01122241033996281,Electricidad y gas,0.009003905396256558,Transporte,1.6731084572540096
Productos farmacéuticos,0.2815500970963675,Confecciones,0.09838970894311863,Caza y pesca,0.0034929805657599737,Maquinarias y equipos (excluye maquinaria eléctrica),0.009433014651636111,Maquinarias y equipos (excluye maquinaria eléctrica),0.007835375526480658,Electricidad y gas,1.2736392951560311
Construcción,0.2669008502280209,Calzado,0.08452005210981393,Confecciones,0.0029782053940863758,Maquinarias y aparatos eléctricos,0.00922395342222466,Caza y pesca,0.007453863596594528,Maquinarias y equipos (excluye maquinaria eléctrica),1.1220981272321013
Electricidad y gas,0.26502213700143923,Caza y pesca,0.0615689826273835,Bebidas,0.0028523329323343364,Calzado,0.009072575278038009,Productos de tabaco,0.0061956476749655785,Finanzas y seguros,0.9097709832502971
