Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Servicios a empresas de todo tipo,20793.89842281552,Otros servicios,35811.64508132449,Otros servicios,41837.651401431416,Minería (energía),5006.747032293124,Minería (no energía),19059.724952106568,Otros servicios,36770.74951171875
Transporte,11102.489091236976,Minería (no energía),18985.84728883576,Servicios a empresas de todo tipo,22818.72347949455,Productos químicos básicos,2694.31084956516,Transporte,4450.680549645235,Minería (no energía),16767.76776123047
Minería (energía),7377.345574132674,Construcción,14703.59918094264,Minería (no energía),22069.423616650904,Transporte,2320.313052981033,Agricultura y forestal,2513.444732424192,Servicios a empresas de todo tipo,11503.359558105469
Productos químicos básicos,7167.000983796226,Transporte,10053.792929996223,Transporte,21156.282021233204,Otros servicios,1977.8535526552864,Hierro y acero,2293.75446090259,Transporte,8331.27490234375
Finanzas y seguros,7008.190173584761,Otros productos alimenticios,7466.950464884681,Construcción,16998.01194679931,Maquinarias y equipos (excluye maquinaria eléctrica),1263.3973411189863,Otros productos alimenticios,1946.8935134357232,Construcción,7536.188751220703
Otros servicios,6026.006320106931,Agricultura y forestal,5254.502072236312,Productos químicos básicos,11271.585992773227,Hierro y acero,974.8671405864908,Madera y productos de madera y corcho,1824.498054830855,Finanzas y seguros,6398.786743164063
Electricidad y gas,5949.874645417565,Textiles,4600.811770002184,Agricultura y forestal,11083.334873076614,Productos de caucho y plástico,840.4417236520508,Caza y pesca,1807.3005865467023,Agricultura y forestal,4065.9910278320312
Agricultura y forestal,5828.8328008403,Maquinarias y equipos (excluye maquinaria eléctrica),4492.804239040203,Minería (energía),10376.459964447566,"Coque, petróleo refinado y combustible nuclear",802.6589438978486,"Pulpa de madera, papel, imprentas y editoriales",1661.311094091755,Electricidad y gas,3495.155715942383
Hierro y acero,3450.808973856405,Productos químicos básicos,4104.585008977001,Otros productos alimenticios,10359.800596144083,Finanzas y seguros,674.6762931062076,Otros servicios,1535.694278925772,Correo y telecomunicaciones,2394.01517868042
"Pulpa de madera, papel, imprentas y editoriales",3261.1177628376195,Bebidas,4051.211330265543,Finanzas y seguros,9539.781748196108,Otros productos químicos (excluye farmacéuticos),629.9906578154895,Productos químicos básicos,1342.3581368660894,Otros productos alimenticios,2320.3045349121094
Minería (no energía),3083.576327815147,"Vehículos de motor, remolques y semirremolques",3934.2486727892656,Electricidad y gas,7896.563906082667,Maquinarias y aparatos eléctricos,566.0214066610766,Bebidas,948.7107426166772,Productos químicos básicos,2125.4327087402344
Otros productos alimenticios,2892.850131259404,Minería (energía),2999.114390314892,Maquinarias y equipos (excluye maquinaria eléctrica),6482.325456023522,Otros productos alimenticios,541.8299168857012,Metales no ferrosos,935.4020324358924,Minería (energía),1876.103558063507
Correo y telecomunicaciones,2854.1796914914858,Hierro y acero,2998.35177385246,Hierro y acero,6449.160747708865,Equipo médico e instrumentos ópticos y de precisión,509.7260591651721,Servicios a empresas de todo tipo,752.5386536520708,"Pulpa de madera, papel, imprentas y editoriales",1510.2478942871094
Productos de caucho y plástico,2753.009662239164,Correo y telecomunicaciones,2742.4863713252444,"Pulpa de madera, papel, imprentas y editoriales",5976.131370815582,Servicios a empresas de todo tipo,495.6436548119046,"Molinería, panadería y pastas",607.1379124509945,Bebidas,1503.2887725830078
Otros productos químicos (excluye farmacéuticos),2563.14054372017,"Pulpa de madera, papel, imprentas y editoriales",2715.013607977962,"Vehículos de motor, remolques y semirremolques",5675.345551287678,"Pulpa de madera, papel, imprentas y editoriales",460.9741315671392,"Coque, petróleo refinado y combustible nuclear",599.6181905577039,Caza y pesca,1156.9475021362305
"Coque, petróleo refinado y combustible nuclear",2433.7253142231903,"Molinería, panadería y pastas",2674.0811580128798,Correo y telecomunicaciones,5596.66606281673,Productos fabricados de metal (excepto maquinarias y equipos),384.820189011971,Otros productos químicos (excluye farmacéuticos),363.3138478993574,Madera y productos de madera y corcho,1123.0945434570312
Construcción,2294.4127658566704,Madera y productos de madera y corcho,2660.386109898088,Textiles,5382.405540466262,Productos farmacéuticos,345.1832396478952,Carne y derivados,335.2694076501457,Productos fabricados de metal (excepto maquinarias y equipos),1034.0133819580078
Maquinarias y equipos (excluye maquinaria eléctrica),1989.521216983318,Finanzas y seguros,2531.591574611346,Bebidas,4521.413084345267,Agricultura y forestal,326.5082739732678,"Vehículos de motor, remolques y semirremolques",323.8230858400145,"Molinería, panadería y pastas",839.0781097412109
Productos farmacéuticos,1923.6578750496692,Maquinarias y aparatos eléctricos,2367.676057517448,Productos de caucho y plástico,4326.593636190091,Textiles,294.4389594883644,Productos de caucho y plástico,305.48288927332896,Productos de caucho y plástico,833.0818939208984
"Vehículos de motor, remolques y semirremolques",1741.0968784984125,Caza y pesca,2130.493599392483,Madera y productos de madera y corcho,4140.717917654247,"Molinería, panadería y pastas",216.42425994958032,Maquinarias y equipos (excluye maquinaria eléctrica),296.32151049739866,Hierro y acero,801.7689971923828
Madera y productos de madera y corcho,1480.3318077561585,Servicios a empresas de todo tipo,2024.8250566790296,Otros productos químicos (excluye farmacéuticos),4023.747612699648,Madera y productos de madera y corcho,205.19097686645867,Productos farmacéuticos,245.76344182046745,Otros productos químicos (excluye farmacéuticos),775.783088684082
Productos minerales no metálicos,1130.883038089092,Electricidad y gas,1946.6892606651015,"Coque, petróleo refinado y combustible nuclear",3827.917043135216,Otro equipo de transporte,202.16844746925852,Finanzas y seguros,242.23708315119268,"Coque, petróleo refinado y combustible nuclear",717.3368377685547
Metales no ferrosos,1124.3731297739728,Productos fabricados de metal (excepto maquinarias y equipos),1815.6121886134304,"Molinería, panadería y pastas",3710.0363383016247,Correo y telecomunicaciones,161.59925546074126,Minería (energía),226.93371210269328,Textiles,665.747932434082
Maquinarias y aparatos eléctricos,1047.8610335982437,Productos de caucho y plástico,1573.5839739509274,Maquinarias y aparatos eléctricos,3415.537091115692,Equipos de oficina (incluye equipo computacional),157.30165672961726,Textiles,198.468786264858,Maquinarias y equipos (excluye maquinaria eléctrica),632.2587890625
"Molinería, panadería y pastas",1035.9551802887456,Otros productos químicos (excluye farmacéuticos),1460.6070689794774,Productos farmacéuticos,3024.1190881259186,Productos minerales no metálicos,147.45494765423797,Productos fabricados de metal (excepto maquinarias y equipos),144.75735307796486,Productos farmacéuticos,579.3901443481445
Productos fabricados de metal (excepto maquinarias y equipos),803.5832520151799,"Coque, petróleo refinado y combustible nuclear",1394.1917289120258,Caza y pesca,2785.2119673599527,Metales no ferrosos,142.20992081710975,Correo y telecomunicaciones,143.861457144834,Productos minerales no metálicos,526.3051071166992
Textiles,781.5937704640779,Equipos de oficina (incluye equipo computacional),1260.0358638956582,Productos fabricados de metal (excepto maquinarias y equipos),2619.195440628611,Aeronaves y naves espaciales,99.30455742353884,Maquinarias y aparatos eléctricos,113.73763478741571,Metales no ferrosos,503.21461486816406
Caza y pesca,654.7183679674696,Carne y derivados,1249.7881621961694,Equipos de oficina (incluye equipo computacional),1817.6947815902545,"Radio, televisión y equipos de telecomunicaciones",82.93379764286499,Equipos de oficina (incluye equipo computacional),91.53864771348364,Carne y derivados,381.7255363464356
Equipos de oficina (incluye equipo computacional),557.6589176945962,Calzado,1105.0485180446576,Carne y derivados,1733.9611952171508,Minería (no energía),73.21711976129362,Calzado,88.6038917968524,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),280.6242980957031
Carne y derivados,484.1730330209814,Productos farmacéuticos,1100.4612130762491,"Radio, televisión y equipos de telecomunicaciones",1494.4167562751982,Electricidad y gas,51.744688159816086,Otro equipo de transporte,81.03153415406129,Maquinarias y aparatos eléctricos,189.57395553588867
Bebidas,470.2017540797237,"Radio, televisión y equipos de telecomunicaciones",1035.954899270511,Otro equipo de transporte,1435.9640541827314,Bebidas,36.27478844460382,"Radio, televisión y equipos de telecomunicaciones",78.66363424711784,Otro equipo de transporte,180.66157722473145
"Radio, televisión y equipos de telecomunicaciones",458.4618570046872,Otro equipo de transporte,995.433330378688,Productos minerales no metálicos,1306.3560683198225,Caza y pesca,36.14680908452488,Productos minerales no metálicos,72.92375064474251,Calzado,159.48614120483398
Otro equipo de transporte,440.5307238040435,Aeronaves y naves espaciales,717.5636332248843,Metales no ferrosos,1298.442339624036,"Vehículos de motor, remolques y semirremolques",34.79635197811296,Equipo médico e instrumentos ópticos y de precisión,47.337155177475246,Aeronaves y naves espaciales,76.18803405761719
Aeronaves y naves espaciales,317.5575477698097,Equipo médico e instrumentos ópticos y de precisión,666.2813647128139,Calzado,1292.763762369214,Carne y derivados,31.65767765322869,Confecciones,43.41726205693253,Confecciones,71.37329769134521
Equipo médico e instrumentos ópticos y de precisión,294.8619443642254,Confecciones,500.5184273684692,Aeronaves y naves espaciales,1035.121180994694,Confecciones,24.242268720473668,Aeronaves y naves espaciales,42.681344378907525,Productos de tabaco,60.1508150100708
Calzado,187.7152443245564,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),302.63288480584043,Equipo médico e instrumentos ópticos y de precisión,961.1433090770392,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),15.77530798951092,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),31.882542211356828,Azúcar y productos de confitería,25.95909738540649
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),133.93054182840476,Productos minerales no metálicos,175.4730302307305,Confecciones,585.5418796130917,Calzado,15.648641544685937,Productos de tabaco,30.460244732210413,"Vehículos de motor, remolques y semirremolques",11.228467583656313
Confecciones,85.02345224462258,Metales no ferrosos,174.06920985006354,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),436.5634266342452,Azúcar y productos de confitería,8.08188742106473,Azúcar y productos de confitería,20.27369823502578,Equipos de oficina (incluye equipo computacional),6.963704764842987
Azúcar y productos de confitería,30.79600057198863,Productos de tabaco,131.5376579762889,Productos de tabaco,146.81141554620524,Construcción,0.285763844856104,Construcción,7.795123812131351,"Radio, televisión y equipos de telecomunicaciones",0.0
Productos de tabaco,15.273757569916324,Azúcar y productos de confitería,79.49008521950927,Azúcar y productos de confitería,110.2860857914979,Productos de tabaco,5.3878078496438775e-05,Electricidad y gas,0.0,Equipo médico e instrumentos ópticos y de precisión,0.0
