Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otros servicios,19394.792022483285,Otros servicios,68393.18420248217,Otros servicios,87787.97622496546,Otros servicios,2637.998532905088,Minería (energía),6468.697771831345,Otros servicios,55513.94946289063
Servicios a empresas de todo tipo,11772.93788750602,Construcción,16962.22354785605,Construcción,19056.16526678482,Construcción,1322.4214430807367,"Coque, petróleo refinado y combustible nuclear",1940.3202351327675,Agricultura y forestal,11073.567644119265
Agricultura y forestal,9333.476764711751,Agricultura y forestal,6946.164738669445,Agricultura y forestal,16279.641503381195,Transporte,854.3335145552683,Otros productos alimenticios,1826.3935023645245,Servicios a empresas de todo tipo,9282.360641479492
Transporte,7313.919976099298,Minería (energía),6706.599399680636,Transporte,13542.61760519772,Productos químicos básicos,784.4507996777842,Agricultura y forestal,1814.7313910748612,Construcción,8317.660736083984
Finanzas y seguros,5894.148780826017,Transporte,6228.697629098424,Servicios a empresas de todo tipo,12858.8044414338,"Vehículos de motor, remolques y semirremolques",722.2624940011735,Confecciones,940.5008446856264,Minería (energía),7836.371726989746
Electricidad y gas,4912.400241389436,Otros productos alimenticios,5374.232640793087,Minería (energía),9909.89780870095,Agricultura y forestal,720.5807957268482,Productos químicos básicos,889.9672458107059,Transporte,6434.728073120117
Otros productos alimenticios,3302.79623972366,Correo y telecomunicaciones,4069.2850412925513,Finanzas y seguros,9432.436066377591,Otros productos químicos (excluye farmacéuticos),598.5596565902697,"Vehículos de motor, remolques y semirremolques",732.1384249091924,Finanzas y seguros,5779.241073608398
"Pulpa de madera, papel, imprentas y editoriales",3238.506667583974,Finanzas y seguros,3538.2872855515743,Otros productos alimenticios,8677.028880516746,"Molinería, panadería y pastas",548.4112830513691,Hierro y acero,708.6862133301411,Electricidad y gas,4194.578979492188
Minería (energía),3203.2984090203126,Confecciones,3504.5260539563888,Electricidad y gas,7805.094249333081,Productos de caucho y plástico,526.6088441794143,Minería (no energía),658.0073273493568,Correo y telecomunicaciones,3645.463897705078
