Demanda Intermedia,Demanda Intermedia,Demanda Final,Demanda Final,Producción Final,Producción Final,Importaciones,Importaciones,Exportaciones,Exportaciones,Valor Agregado,Valor Agregado
Sector,Demanda Intermedia,Sector,Demanda Final,Sector,Producción Final,Sector,Importaciones,Sector,Exportaciones,Sector,Valor Agregado
Otros servicios,1786.63910094314,Otros servicios,8387.420826118123,Otros servicios,10174.059927061262,"Coque, petróleo refinado y combustible nuclear",702.5895813944405,Carne y derivados,783.4380955970817,Otros servicios,6677.220581054688
Agricultura y forestal,1448.5363871021582,Construcción,1465.7488788007502,Construcción,2345.883142224738,Transporte,379.9410958524248,Transporte,574.0297028471126,Agricultura y forestal,1373.244478225708
Construcción,880.1342634239879,Carne y derivados,1151.428186798603,Agricultura y forestal,2232.5973944421958,Otros servicios,300.1941251526366,Otros productos alimenticios,555.1309414160672,Construcción,878.0188493728638
Finanzas y seguros,724.8878583300753,Transporte,1109.8349581717844,Transporte,1738.2189279542288,Construcción,170.6684435257195,Servicios a empresas de todo tipo,294.05984815564494,Finanzas y seguros,867.6709594726562
Transporte,628.3839697824445,Agricultura y forestal,784.0610073400371,Carne y derivados,1353.761620052228,Agricultura y forestal,155.5579871306213,Agricultura y forestal,260.63045151252595,Transporte,816.1570873260498
"Coque, petróleo refinado y combustible nuclear",598.789044774034,Otros productos alimenticios,782.8594095990132,Finanzas y seguros,1179.5381908799495,Productos de caucho y plástico,111.91238656351122,"Coque, petróleo refinado y combustible nuclear",259.5325162891884,Servicios a empresas de todo tipo,568.2494616508484
Servicios a empresas de todo tipo,590.6392959666562,Finanzas y seguros,454.6503325498743,Otros productos alimenticios,983.2501818394592,Otros productos alimenticios,103.91833135275972,Calzado,258.6626278190875,Correo y telecomunicaciones,519.8135356903076
Correo y telecomunicaciones,283.27284312493884,Correo y telecomunicaciones,454.43746224700345,"Coque, petróleo refinado y combustible nuclear",973.860727451276,Productos químicos básicos,102.5688592975826,Otros servicios,240.54575422096383,Electricidad y gas,411.1282768249512
Electricidad y gas,262.4330276380873,"Molinería, panadería y pastas",452.3765657045704,Servicios a empresas de todo tipo,912.1030694061028,Calzado,86.55832527521599,Finanzas y seguros,209.741227894565,Otros productos alimenticios,357.1400697231293
"Pulpa de madera, papel, imprentas y editoriales",210.5779975215093,"Coque, petróleo refinado y combustible nuclear",375.0716826772419,Correo y telecomunicaciones,737.7103053719424,Textiles,67.19187141886945,Textiles,201.32850854255528,Carne y derivados,218.9499797821045
Carne y derivados,202.33343325362503,Electricidad y gas,335.7390786582799,Electricidad y gas,598.1721062963672,"Pulpa de madera, papel, imprentas y editoriales",63.612084590424814,"Molinería, panadería y pastas",169.74057055357332,"Coque, petróleo refinado y combustible nuclear",139.4710578918457
Otros productos alimenticios,200.39077224044604,Servicios a empresas de todo tipo,321.4637734394466,"Molinería, panadería y pastas",545.2439191751839,Productos farmacéuticos,61.384040681524674,Confecciones,105.21616221313938,"Molinería, panadería y pastas",130.35945653915405
Productos químicos básicos,167.78209688599395,Calzado,277.85510643745386,"Pulpa de madera, papel, imprentas y editoriales",318.5120633968711,Otros productos químicos (excluye farmacéuticos),55.40456159012088,Bebidas,84.79782407937758,"Pulpa de madera, papel, imprentas y editoriales",117.02180033922195
Productos minerales no metálicos,164.66698233360086,Textiles,227.283422007224,Calzado,304.30865799183124,Electricidad y gas,48.0315965871638,Madera y productos de madera y corcho,82.67494362872019,Textiles,108.34223079681396
Productos de caucho y plástico,150.63322719854975,Confecciones,217.2370109441439,Bebidas,296.2522552598598,Finanzas y seguros,46.35623029364484,"Pulpa de madera, papel, imprentas y editoriales",79.02546069744265,Bebidas,105.75025916099548
Productos fabricados de metal (excepto maquinarias y equipos),147.5196396502012,Bebidas,205.396376717262,Textiles,295.78570237248124,Correo y telecomunicaciones,42.17309698005444,Productos de caucho y plástico,77.44110662032449,Productos de caucho y plástico,94.80521988868712
Otros productos químicos (excluye farmacéuticos),116.65990369094035,Productos de caucho y plástico,139.38056613462624,Productos de caucho y plástico,290.01379333317595,"Vehículos de motor, remolques y semirremolques",41.9780918039805,Productos químicos básicos,75.15533624618072,Confecciones,94.15031623840332
"Molinería, panadería y pastas",92.8673534706136,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),134.9575065723754,Productos químicos básicos,266.8396216274936,Servicios a empresas de todo tipo,39.98349031721997,Productos farmacéuticos,67.92886625851943,Madera y productos de madera y corcho,88.94489988684654
Bebidas,90.8558785425978,"Pulpa de madera, papel, imprentas y editoriales",107.9340658753618,Confecciones,259.89847776690624,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),39.84534242906136,Otros productos químicos (excluye farmacéuticos),64.7724414120105,Productos fabricados de metal (excepto maquinarias y equipos),69.09056693315506
Productos farmacéuticos,88.06390122160275,Productos químicos básicos,99.0575247414996,Productos minerales no metálicos,195.93912866881664,Productos fabricados de metal (excepto maquinarias y equipos),35.418820800241264,"Vehículos de motor, remolques y semirremolques",59.62758203572649,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),68.73118814826012
Madera y productos de madera y corcho,87.83084606911162,Productos farmacéuticos,83.47522210548767,Productos fabricados de metal (excepto maquinarias y equipos),191.77162257086331,Confecciones,33.22831526607021,Metales no ferrosos,53.20001517623089,Productos minerales no metálicos,68.60478603839874
Textiles,68.50228036525728,Madera y productos de madera y corcho,81.19525856463535,Otros productos químicos (excluye farmacéuticos),189.6638127398964,Bebidas,26.941247536082564,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),45.692105779593234,Metales no ferrosos,62.4536375887692
Metales no ferrosos,58.897486286698765,Otros productos químicos (excluye farmacéuticos),73.00390904895602,Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),180.04972885394943,Carne y derivados,26.925231243746765,Productos de tabaco,36.36777865001932,Productos farmacéuticos,55.89378190040589
Caza y pesca,48.76173069785935,Azúcar y productos de confitería,70.16592999585333,Productos farmacéuticos,171.5391233270904,Productos minerales no metálicos,23.46680557835328,Hierro y acero,32.109908142447004,Otros productos químicos (excluye farmacéuticos),54.86103764176369
Minería (no energía),48.023151740775454,"Vehículos de motor, remolques y semirremolques",67.91547614994967,Madera y productos de madera y corcho,169.02610463374697,"Molinería, panadería y pastas",21.773708457239728,Productos minerales no metálicos,27.468642051725624,Calzado,46.60634322464466
Otras industrias manufactureras n.c.p.; reciclaje (incluye muebles),45.09222228157402,Metales no ferrosos,59.74471411828839,Metales no ferrosos,118.64220040498716,Otro equipo de transporte,21.362593842493997,Azúcar y productos de confitería,25.427646766553405,Azúcar y productos de confitería,46.59028774499893
